dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.477352 0.649311 1.04658 0.279335 0.151794 0.310236 0.139241 0.0516998 25.9348 20.0125 399.669 169.077 408.38 499.11 499.11 1315.87 1406.6 311.966 221.237 551.639 794.152 484.21 43.2459 171.916 157.5 157.5 14.4152 0.477355 1.19524 0.270493 0.134709 556.33 794.152 484.21 47.9366 0.0780253 20.6724
0.477285 0.649183 1.04655 0.279298 0.15176 0.310242 0.139235 0.0516793 25.9406 20.0152 399.677 169.091 408.345 499.102 499.102 1315.79 1406.55 311.959 221.202 551.537 794.073 484.176 43.2399 171.888 157.475 157.475 14.4132 0.477285 1.19549 0.27056 0.134731 556.228 794.073 484.176 47.9302 0.0778368 20.6783
0.477219 0.649056 1.04653 0.279261 0.151727 0.310248 0.139229 0.0516589 25.9463 20.0179 399.684 169.105 408.311 499.095 499.095 1315.72 1406.5 311.952 221.168 551.437 793.993 484.142 43.234 171.86 157.449 157.449 14.4113 0.477219 1.19574 0.270627 0.134754 556.127 793.993 484.142 47.9238 0.0776525 20.6842
0.477152 0.648928 1.0465 0.279223 0.151694 0.310254 0.139223 0.0516384 25.9521 20.0206 399.692 169.119 408.276 499.087 499.087 1315.64 1406.45 311.945 221.133 551.336 793.913 484.108 43.228 171.833 157.424 157.424 14.4093 0.477152 1.19599 0.270695 0.134777 556.026 793.913 484.108 47.9174 0.0774684 20.6901
0.477086 0.648801 1.04647 0.279186 0.15166 0.31026 0.139217 0.051618 25.9578 20.0234 399.699 169.133 408.241 499.08 499.08 1315.56 1406.4 311.938 221.099 551.236 793.833 484.074 43.2221 171.805 157.398 157.398 14.4073 0.477086 1.19624 0.270762 0.134799 555.925 793.833 484.074 47.911 0.0772844 20.6959
0.47702 0.648673 1.04644 0.279149 0.151627 0.310267 0.13921 0.0515976 25.9636 20.0261 399.707 169.147 408.206 499.072 499.072 1315.48 1406.35 311.931 221.065 551.136 793.754 484.04 43.2161 171.778 157.372 157.372 14.4053 0.47702 1.19649 0.270829 0.134822 555.824 793.754 484.04 47.9046 0.0771006 20.7018
0.476954 0.648546 1.04641 0.279111 0.151593 0.310273 0.139204 0.0515772 25.9693 20.0288 399.714 169.16 408.171 499.064 499.064 1315.41 1406.3 311.923 221.031 551.036 793.674 484.007 43.2102 171.75 157.347 157.347 14.4033 0.476954 1.19674 0.270897 0.134845 555.723 793.674 484.007 47.8982 0.076917 20.7077
0.476888 0.648419 1.04638 0.279074 0.15156 0.310279 0.139198 0.0515568 25.9751 20.0315 399.722 169.174 408.137 499.057 499.057 1315.33 1406.25 311.916 220.996 550.935 793.594 483.973 43.2043 171.722 157.321 157.321 14.4014 0.476888 1.19698 0.270964 0.134867 555.623 793.594 483.973 47.8918 0.0767336 20.7136
0.476822 0.648291 1.04635 0.279037 0.151527 0.310285 0.139192 0.0515364 25.9808 20.0342 399.73 169.188 408.102 499.049 499.049 1315.25 1406.2 311.909 220.962 550.835 793.514 483.939 43.1984 171.695 157.295 157.295 14.3994 0.476822 1.19723 0.271031 0.13489 555.522 793.514 483.939 47.8855 0.0765503 20.7194
0.476756 0.648164 1.04633 0.278999 0.151494 0.310291 0.139186 0.0515161 25.9866 20.037 399.737 169.202 408.067 499.041 499.041 1315.18 1406.15 311.902 220.928 550.735 793.435 483.905 43.1925 171.667 157.27 157.27 14.3974 0.476756 1.19748 0.271098 0.134912 555.422 793.435 483.905 47.8791 0.0763672 20.7253
