dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.350475 0.442208 0.88419 0.0107029 0.106009 0.244125 0.10562 0.03457 46.813 33.7891 450.997 233.467 330.791 422.61 422.61 1084.19 1176.01 283.859 192.04 373.162 476.465 343.594 29.0935 73.0432 63.3455 63.3454 9.69778 0.350479 0.755142 0.24177 0.106877 376.336 476.465 343.594 32.2677 0.00356952 20.3169
0.350424 0.442085 0.884142 0.0107052 0.10598 0.244123 0.105613 0.0345559 46.8311 33.7991 450.997 233.497 330.759 422.601 422.601 1084.12 1175.96 283.851 192.009 373.097 476.407 343.561 29.0892 73.0229 63.3266 63.3266 9.69634 0.350428 0.755241 0.241816 0.106887 376.27 476.407 343.561 32.2628 0.0033606 20.3213
0.350373 0.441961 0.884094 0.0107074 0.105951 0.244121 0.105607 0.0345419 46.8492 33.8091 450.997 233.528 330.727 422.591 422.592 1084.05 1175.91 283.843 191.978 373.031 476.349 343.528 29.0849 73.0026 63.3077 63.3077 9.69491 0.350378 0.75534 0.241862 0.106898 376.204 476.349 343.528 32.258 0.00315194 20.3257
0.350321 0.441837 0.884045 0.0107096 0.105922 0.244119 0.1056 0.0345278 46.8673 33.8191 450.997 233.559 330.695 422.582 422.582 1083.97 1175.86 283.835 191.947 372.966 476.291 343.495 29.0805 72.9823 63.2889 63.2888 9.69347 0.350327 0.755439 0.241907 0.106908 376.139 476.291 343.495 32.2532 0.00294355 20.3302
0.35027 0.441714 0.883997 0.0107118 0.105892 0.244117 0.105594 0.0345137 46.8855 33.8291 450.998 233.59 330.663 422.573 422.573 1083.9 1175.81 283.827 191.916 372.901 476.232 343.462 29.0762 72.962 63.27 63.27 9.69203 0.350276 0.755538 0.241953 0.106918 376.073 476.232 343.462 32.2484 0.00273545 20.3346
0.350219 0.44159 0.883949 0.010714 0.105863 0.244115 0.105588 0.0344997 46.9036 33.8392 450.998 233.621 330.631 422.564 422.564 1083.83 1175.76 283.819 191.886 372.836 476.174 343.429 29.0719 72.9417 63.2511 63.2511 9.6906 0.350225 0.755637 0.241999 0.106928 376.008 476.174 343.429 32.2436 0.00252765 20.339
0.350168 0.441467 0.883901 0.0107162 0.105834 0.244113 0.105581 0.0344857 46.9218 33.8492 450.998 233.652 330.599 422.555 422.555 1083.75 1175.71 283.811 191.855 372.772 476.116 343.396 29.0676 72.9214 63.2323 63.2323 9.68916 0.350175 0.755735 0.242045 0.106938 375.943 476.116 343.396 32.2388 0.0023202 20.3434
0.350117 0.441343 0.883852 0.0107184 0.105805 0.244111 0.105575 0.0344716 46.9399 33.8592 450.998 233.683 330.567 422.546 422.546 1083.68 1175.66 283.803 191.824 372.707 476.057 343.363 29.0633 72.9012 63.2134 63.2134 9.68773 0.350124 0.755834 0.24209 0.106948 375.877 476.057 343.363 32.234 0.00211312 20.3478
0.350066 0.44122 0.883804 0.0107206 0.105776 0.244109 0.105568 0.0344576 46.9581 33.8693 450.998 233.714 330.535 422.537 422.537 1083.61 1175.61 283.795 191.793 372.642 475.999 343.33 29.059 72.8809 63.1946 63.1946 9.6863 0.350074 0.755932 0.242136 0.106959 375.812 475.999 343.33 32.2292 0.00190645 20.3522
0.350016 0.441096 0.883756 0.0107227 0.105747 0.244107 0.105562 0.0344436 46.9763 33.8793 450.998 233.745 330.504 422.528 422.528 1083.54 1175.56 283.787 191.762 372.577 475.941 343.297 29.0547 72.8606 63.1758 63.1757 9.68486 0.350024 0.75603 0.242182 0.106969 375.747 475.941 343.297 32.2244 0.00170026 20.3566
0.349965 0.440973 0.883707 0.0107249 0.105717 0.244105 0.105556 0.0344296 46.9945 33.8894 450.998 233.776 330.472 422.519 422.519 1083.46 1175.51 283.779 191.731 372.513 475.882 343.264 29.0504 72.8403 63.1569 63.1569 9.68343 0.349974 0.756128 0.242227 0.106979 375.682 475.882 343.264 32.2196 0.00149466 20.361
0.349914 0.440849 0.883659 0.0107271 0.105688 0.244103 0.105549 0.0344156 47.0127 33.8994 450.999 233.806 330.44 422.51 422.51 1083.39 1175.46 283.771 191.701 372.448 475.824 343.231 29.0462 72.8201 63.1381 63.138 9.682 0.349924 0.756226 0.242273 0.106989 375.617 475.824 343.231 32.2148 0.00128979 20.3654
0.349861 0.440726 0.883611 0.0107292 0.105659 0.244101 0.105543 0.0344017 47.0309 33.9095 450.999 233.838 330.408 422.501 422.501 1083.32 1175.41 283.763 191.67 372.38 475.766 343.198 29.0419 72.7998 63.1192 63.1192 9.68057 0.349861 0.756323 0.242318 0.106999 375.548 475.766 343.198 32.21 0.00105884 20.3697
0.34981 0.440603 0.883562 0.0107313 0.10563 0.244099 0.105536 0.0343877 47.0491 33.9196 450.999 233.868 330.376 422.492 422.492 1083.24 1175.36 283.755 191.639 372.316 475.707 343.165 29.0376 72.7795 63.1004 63.1004 9.67915 0.349811 0.756421 0.242364 0.107009 375.483 475.707 343.165 32.2052 0.000851918 20.3741
0.349759 0.44048 0.883514 0.0107335 0.105601 0.244097 0.10553 0.0343737 47.0673 33.9297 450.999 233.899 330.344 422.483 422.483 1083.17 1175.31 283.747 191.608 372.251 475.649 343.132 29.0333 72.7593 63.0815 63.0815 9.67772 0.34976 0.756518 0.242409 0.107019 375.418 475.649 343.132 32.2004 0.000645449 20.3785
0.349709 0.440356 0.883465 0.0107356 0.105572 0.244095 0.105524 0.0343598 47.0856 33.9398 450.999 233.93 330.312 422.474 422.474 1083.1 1175.26 283.739 191.578 372.186 475.591 343.099 29.029 72.739 63.0627 63.0627 9.67629 0.34971 0.756615 0.242454 0.107029 375.353 475.591 343.099 32.1957 0.000439959 20.3829
0.349658 0.440233 0.883417 0.0107378 0.105543 0.244093 0.105517 0.0343458 47.1038 33.9498 450.999 233.961 330.281 422.465 422.465 1083.03 1175.21 283.731 191.547 372.122 475.533 343.066 29.0247 72.7188 63.0439 63.0439 9.67486 0.349661 0.756713 0.2425 0.107039 375.288 475.533 343.066 32.1909 0.000237772 20.3872
0.349608 0.44011 0.883368 0.0107399 0.105514 0.244091 0.105511 0.0343319 47.1221 33.96 451 233.992 330.249 422.456 422.456 1082.95 1175.16 283.723 191.516 372.058 475.474 343.033 29.0205 72.6985 63.0251 63.0251 9.67344 0.349611 0.75681 0.242545 0.107049 375.223 475.474 343.033 32.1861 3.18939e-05 20.3916
0.351246 0.444068 0.884909 0.0106688 0.106449 0.244152 0.105716 0.0347824 46.5428 33.6399 450.995 233.005 331.271 422.745 422.745 1085.29 1176.76 283.979 192.505 374.144 477.34 344.089 29.1586 73.3482 63.6288 63.6288 9.71947 0.351246 0.753634 0.241077 0.106722 377.325 477.34 344.089 32.3402 0.0067258 20.2503
0.351298 0.444192 0.884957 0.0106665 0.106478 0.244154 0.105723 0.0347966 46.5248 33.63 450.995 232.974 331.303 422.754 422.754 1085.36 1176.81 283.987 192.536 374.21 477.398 344.122 29.1629 73.3686 63.6477 63.6477 9.72092 0.3513 0.753533 0.241031 0.106711 377.392 477.398 344.122 32.3451 0.00694281 20.2458
0.35135 0.444316 0.885005 0.0106642 0.106507 0.244156 0.105729 0.0348108 46.5069 33.6201 450.995 232.943 331.335 422.763 422.763 1085.43 1176.86 283.995 192.567 374.276 477.457 344.155 29.1673 73.389 63.6666 63.6666 9.72238 0.351352 0.753431 0.240984 0.106701 377.459 477.457 344.155 32.35 0.0071555 20.2414
0.351402 0.44444 0.885053 0.0106619 0.106537 0.244157 0.105735 0.0348251 46.489 33.6102 450.995 232.912 331.367 422.772 422.772 1085.51 1176.91 284.003 192.598 374.342 477.515 344.188 29.1716 73.4093 63.6855 63.6855 9.72383 0.351404 0.753329 0.240938 0.10669 377.525 477.515 344.188 32.3548 0.00736841 20.2369
0.351453 0.444565 0.8851 0.0106595 0.106566 0.244159 0.105742 0.0348394 46.4711 33.6003 450.995 232.882 331.399 422.781 422.781 1085.58 1176.96 284.011 192.629 374.408 477.573 344.221 29.176 73.4297 63.7044 63.7044 9.72529 0.351455 0.753227 0.240891 0.10668 377.591 477.573 344.221 32.3597 0.00758153 20.2324
0.351505 0.444689 0.885148 0.0106572 0.106595 0.244161 0.105748 0.0348536 46.4532 33.5905 450.995 232.851 331.431 422.79 422.79 1085.65 1177.01 284.019 192.66 374.474 477.632 344.254 29.1804 73.4501 63.7233 63.7233 9.72674 0.351507 0.753125 0.240845 0.106669 377.658 477.632 344.254 32.3646 0.00779486 20.228
0.351557 0.444813 0.885196 0.0106548 0.106625 0.244163 0.105755 0.0348679 46.4353 33.5806 450.994 232.82 331.463 422.798 422.798 1085.72 1177.06 284.027 192.691 374.54 477.69 344.287 29.1847 73.4705 63.7423 63.7423 9.7282 0.351559 0.753023 0.240798 0.106659 377.724 477.69 344.287 32.3694 0.00800839 20.2235
0.351609 0.444938 0.885243 0.0106525 0.106654 0.244164 0.105761 0.0348822 46.4175 33.5707 450.994 232.79 331.495 422.807 422.807 1085.8 1177.11 284.035 192.722 374.606 477.748 344.32 29.1891 73.4908 63.7612 63.7612 9.72966 0.351611 0.75292 0.240752 0.106648 377.791 477.748 344.32 32.3743 0.00822214 20.219
0.351661 0.445062 0.885291 0.0106501 0.106684 0.244166 0.105768 0.0348965 46.3996 33.5609 450.994 232.759 331.527 422.816 422.816 1085.87 1177.16 284.043 192.754 374.672 477.806 344.353 29.1935 73.5112 63.7801 63.7801 9.73112 0.351663 0.752818 0.240705 0.106638 377.858 477.806 344.353 32.3792 0.0084361 20.2145
0.351713 0.445186 0.885339 0.0106477 0.106713 0.244168 0.105774 0.0349108 46.3818 33.5511 450.994 232.728 331.559 422.825 422.825 1085.94 1177.21 284.051 192.785 374.738 477.865 344.386 29.1979 73.5316 63.7991 63.799 9.73258 0.351715 0.752715 0.240658 0.106627 377.924 477.865 344.386 32.3841 0.00865027 20.21
0.351765 0.445311 0.885386 0.0106454 0.106742 0.244169 0.105781 0.0349251 46.3639 33.5412 450.994 232.698 331.591 422.834 422.834 1086.02 1177.26 284.059 192.816 374.805 477.923 344.419 29.2023 73.552 63.818 63.818 9.73404 0.351766 0.752612 0.240611 0.106616 377.991 477.923 344.419 32.3889 0.00886464 20.2056
0.351817 0.445435 0.885434 0.010643 0.106772 0.244171 0.105787 0.0349394 46.3461 33.5314 450.994 232.667 331.623 422.843 422.843 1086.09 1177.31 284.067 192.847 374.871 477.981 344.452 29.2067 73.5724 63.8369 63.8369 9.7355 0.351818 0.752509 0.240565 0.106606 378.058 477.981 344.452 32.3938 0.00907923 20.2011
0.351869 0.44556 0.885481 0.0106406 0.106801 0.244173 0.105794 0.0349538 46.3283 33.5216 450.994 232.636 331.656 422.852 422.852 1086.16 1177.36 284.075 192.878 374.937 478.04 344.485 29.211 73.5928 63.8559 63.8558 9.73697 0.35187 0.752406 0.240518 0.106595 378.125 478.04 344.485 32.3987 0.00929402 20.1966
0.351921 0.445684 0.885529 0.0106382 0.106831 0.244175 0.1058 0.0349681 46.3105 33.5117 450.994 232.606 331.688 422.861 422.861 1086.24 1177.41 284.083 192.91 375.003 478.098 344.518 29.2154 73.6132 63.8748 63.8748 9.73843 0.351922 0.752302 0.240471 0.106585 378.191 478.098 344.518 32.4036 0.00950903 20.1921
0.351973 0.445809 0.885576 0.0106358 0.10686 0.244176 0.105807 0.0349825 46.2927 33.5019 450.994 232.575 331.72 422.87 422.87 1086.31 1177.46 284.091 192.941 375.07 478.156 344.551 29.2198 73.6336 63.8938 63.8937 9.7399 0.351974 0.752199 0.240424 0.106574 378.258 478.156 344.551 32.4085 0.00972424 20.1876
0.352025 0.445934 0.885624 0.0106334 0.10689 0.244178 0.105813 0.0349968 46.2749 33.4921 450.994 232.544 331.752 422.879 422.879 1086.38 1177.51 284.099 192.972 375.136 478.215 344.584 29.2242 73.654 63.9127 63.9127 9.74136 0.352027 0.752095 0.240377 0.106563 378.325 478.215 344.584 32.4134 0.00993966 20.1831
0.352077 0.446058 0.885671 0.010631 0.106919 0.244179 0.10582 0.0350112 46.2571 33.4823 450.993 232.514 331.784 422.888 422.888 1086.46 1177.56 284.107 193.003 375.203 478.273 344.617 29.2286 73.6745 63.9316 63.9316 9.74283 0.352079 0.751991 0.24033 0.106553 378.392 478.273 344.617 32.4183 0.0101553 20.1786
0.352129 0.446183 0.885718 0.0106286 0.106948 0.244181 0.105826 0.0350256 46.2393 33.4725 450.993 232.483 331.816 422.897 422.897 1086.53 1177.61 284.115 193.035 375.269 478.331 344.65 29.233 73.6949 63.9506 63.9506 9.7443 0.352131 0.751887 0.240283 0.106542 378.459 478.331 344.65 32.4232 0.0103711 20.1741
0.352181 0.446308 0.885766 0.0106261 0.106978 0.244183 0.105832 0.03504 46.2216 33.4627 450.993 232.452 331.848 422.906 422.906 1086.6 1177.66 284.123 193.066 375.336 478.389 344.683 29.2374 73.7153 63.9696 63.9695 9.74576 0.352183 0.751783 0.240236 0.106531 378.526 478.389 344.683 32.4281 0.0105872 20.1695
0.352234 0.446432 0.885813 0.0106237 0.107007 0.244184 0.105839 0.0350544 46.2038 33.4529 450.993 232.422 331.88 422.915 422.915 1086.68 1177.71 284.131 193.097 375.402 478.448 344.716 29.2418 73.7357 63.9885 63.9885 9.74723 0.352235 0.751679 0.240189 0.10652 378.593 478.448 344.716 32.433 0.0108035 20.165
0.352286 0.446557 0.885861 0.0106213 0.107037 0.244186 0.105845 0.0350688 46.1861 33.4432 450.993 232.391 331.913 422.924 422.924 1086.75 1177.76 284.14 193.128 375.469 478.506 344.749 29.2463 73.7562 64.0075 64.0075 9.7487 0.352287 0.751575 0.240142 0.10651 378.661 478.506 344.749 32.4379 0.0110199 20.1605
0.352338 0.446682 0.885908 0.0106188 0.107066 0.244188 0.105852 0.0350833 46.1684 33.4334 450.993 232.361 331.945 422.933 422.933 1086.82 1177.81 284.148 193.16 375.536 478.564 344.782 29.2507 73.7766 64.0264 64.0264 9.75017 0.35234 0.75147 0.240095 0.106499 378.728 478.564 344.782 32.4428 0.0112366 20.156
0.35239 0.446807 0.885955 0.0106164 0.107096 0.244189 0.105858 0.0350977 46.1506 33.4236 450.993 232.33 331.977 422.942 422.942 1086.9 1177.86 284.156 193.191 375.602 478.623 344.815 29.2551 73.797 64.0454 64.0454 9.75165 0.352392 0.751365 0.240047 0.106488 378.795 478.623 344.815 32.4477 0.0114535 20.1515
0.352443 0.446932 0.886002 0.0106139 0.107125 0.244191 0.105865 0.0351121 46.1329 33.4139 450.993 232.3 332.009 422.95 422.95 1086.97 1177.91 284.164 193.222 375.669 478.681 344.848 29.2595 73.8175 64.0644 64.0644 9.75312 0.352444 0.751261 0.24 0.106477 378.862 478.681 344.848 32.4526 0.0116706 20.1469
0.352495 0.447057 0.88605 0.0106114 0.107155 0.244192 0.105871 0.0351266 46.1152 33.4041 450.993 232.269 332.041 422.959 422.959 1087.04 1177.96 284.172 193.254 375.736 478.739 344.881 29.2639 73.8379 64.0833 64.0833 9.75459 0.352497 0.751156 0.239953 0.106467 378.929 478.739 344.881 32.4576 0.0118879 20.1424
