dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.388922 0.508765 0.946725 0.0349143 0.119843 0.265372 0.116259 0.0393096 37.7621 27.8943 446.018 207.773 353.401 445.824 445.824 1152.63 1245.05 293.243 200.82 423.643 546.69 384.976 33.2947 99.8526 88.7544 88.7544 11.0982 0.388922 0.872604 0.251688 0.116606 427.276 546.69 384.976 36.9278 0.0332228 20.637
0.38887 0.508648 0.94668 0.0349159 0.119816 0.265371 0.116253 0.0392952 37.7734 27.9004 446.018 207.796 353.37 445.815 445.815 1152.56 1245 293.235 200.79 423.573 546.633 384.944 33.2902 99.8306 88.734 88.7339 11.0967 0.388873 0.872756 0.251744 0.116623 427.205 546.633 384.943 36.9228 0.0330196 20.6423
0.388818 0.50853 0.946635 0.0349174 0.119788 0.26537 0.116246 0.0392808 37.7847 27.9065 446.018 207.818 353.339 445.805 445.805 1152.48 1244.95 293.227 200.761 423.503 546.575 384.912 33.2857 99.8086 88.7134 88.7133 11.0952 0.38882 0.872905 0.2518 0.116639 427.134 546.575 384.912 36.9179 0.0328138 20.6476
0.388766 0.508413 0.94659 0.0349188 0.11976 0.265369 0.11624 0.0392664 37.796 27.9126 446.018 207.84 353.308 445.796 445.796 1152.41 1244.9 293.219 200.731 423.432 546.517 384.88 33.2813 99.7866 88.6929 88.6928 11.0937 0.388768 0.873054 0.251856 0.116656 427.064 546.517 384.88 36.913 0.0326081 20.6528
0.388714 0.508296 0.946545 0.0349203 0.119733 0.265368 0.116233 0.0392521 37.8073 27.9188 446.018 207.863 353.277 445.786 445.786 1152.34 1244.85 293.211 200.702 423.362 546.459 384.849 33.2768 99.7646 88.6724 88.6723 11.0922 0.388716 0.873203 0.251912 0.116672 426.993 546.459 384.848 36.908 0.0324027 20.658
0.388661 0.508179 0.9465 0.0349217 0.119705 0.265367 0.116227 0.0392377 37.8187 27.9249 446.019 207.885 353.246 445.777 445.777 1152.27 1244.8 293.203 200.672 423.292 546.401 384.817 33.2724 99.7426 88.6519 88.6518 11.0907 0.388664 0.873351 0.251968 0.116689 426.922 546.401 384.817 36.9031 0.0321974 20.6633
0.388609 0.508061 0.946454 0.0349231 0.119678 0.265366 0.11622 0.0392234 37.83 27.931 446.019 207.908 353.215 445.767 445.767 1152.2 1244.75 293.195 200.643 423.222 546.344 384.785 33.2679 99.7206 88.6314 88.6313 11.0893 0.388612 0.8735 0.252024 0.116705 426.852 546.344 384.785 36.8982 0.0319924 20.6685
0.388557 0.507944 0.946409 0.0349245 0.11965 0.265365 0.116214 0.039209 37.8413 27.9371 446.019 207.93 353.184 445.758 445.758 1152.13 1244.7 293.187 200.613 423.152 546.286 384.754 33.2635 99.6986 88.6109 88.6108 11.0878 0.38856 0.873648 0.25208 0.116722 426.781 546.286 384.753 36.8932 0.0317875 20.6737
0.388505 0.507827 0.946364 0.0349259 0.119623 0.265364 0.116207 0.0391947 37.8527 27.9433 446.019 207.952 353.153 445.748 445.748 1152.05 1244.65 293.179 200.584 423.082 546.228 384.722 33.2591 99.6766 88.5904 88.5903 11.0863 0.388508 0.873796 0.252136 0.116738 426.711 546.228 384.722 36.8883 0.0315828 20.6789
0.388453 0.50771 0.946319 0.0349273 0.119595 0.265363 0.116201 0.0391804 37.864 27.9494 446.019 207.975 353.122 445.739 445.739 1151.98 1244.6 293.171 200.554 423.012 546.17 384.69 33.2546 99.6547 88.5699 88.5698 11.0848 0.388456 0.873944 0.252191 0.116755 426.64 546.17 384.69 36.8834 0.0313784 20.6841
