dens densu densd denss densp densn dense densv xmu xmd xms xm muu mud mus mup mun mue muv E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.536874 0.714374 1.07719 0.517185 0.172109 0.347079 0.156054 0.0586953 22.3569 17.5911 358.086 150.334 448.732 542.014 542.014 1439.48 1532.76 323.83 230.548 647.972 996.37 567.044 50.6033 236.235 219.367 219.367 16.8677 0.536878 1.41054 0.303814 0.154894 653.447 996.37 567.044 56.0785 0.0706323 21.9761
0.536806 0.714252 1.07717 0.517148 0.172072 0.347088 0.156049 0.0586728 22.3609 17.5927 358.093 150.345 448.696 542.007 542.007 1439.4 1532.71 323.825 230.514 647.86 996.289 567.008 50.5972 236.204 219.338 219.338 16.8657 0.536806 1.41081 0.303876 0.154915 653.335 996.289 567.008 56.072 0.0704778 21.9814
0.536739 0.714131 1.07715 0.517112 0.172036 0.347098 0.156045 0.0586503 22.3649 17.5944 358.1 150.355 448.66 542 542 1439.32 1532.66 323.819 230.48 647.75 996.208 566.971 50.5911 236.172 219.309 219.309 16.8636 0.536739 1.41107 0.303939 0.154937 653.224 996.208 566.971 56.0655 0.0703283 21.9868
0.536672 0.714009 1.07713 0.517075 0.171999 0.347107 0.156041 0.0586279 22.3689 17.5961 358.107 150.366 448.624 541.993 541.993 1439.24 1532.61 323.814 230.445 647.64 996.128 566.935 50.585 236.141 219.279 219.279 16.8616 0.536672 1.41134 0.304002 0.154958 653.114 996.128 566.935 56.059 0.0701789 21.9921
0.536605 0.713888 1.07711 0.517038 0.171963 0.347117 0.156037 0.0586054 22.3729 17.5978 358.114 150.376 448.588 541.986 541.986 1439.16 1532.56 323.809 230.411 647.53 996.047 566.898 50.5789 236.11 219.25 219.25 16.8596 0.536605 1.41161 0.304065 0.154979 653.004 996.047 566.898 56.0525 0.0700297 21.9975
0.536539 0.713767 1.07708 0.517001 0.171926 0.347126 0.156033 0.058583 22.3769 17.5994 358.121 150.387 448.552 541.979 541.979 1439.08 1532.51 323.803 230.376 647.421 995.966 566.862 50.5729 236.078 219.221 219.221 16.8576 0.536539 1.41187 0.304128 0.155001 652.894 995.966 566.862 56.0461 0.0698805 22.0028
0.536472 0.713646 1.07706 0.516964 0.17189 0.347136 0.156028 0.0585606 22.3808 17.6011 358.128 150.397 448.516 541.972 541.972 1439 1532.46 323.798 230.342 647.311 995.886 566.825 50.5668 236.047 219.191 219.191 16.8555 0.536472 1.41214 0.304192 0.155022 652.784 995.886 566.825 56.0396 0.0697315 22.0082
0.536406 0.713524 1.07704 0.516927 0.171854 0.347145 0.156024 0.0585383 22.3848 17.6028 358.135 150.408 448.48 541.965 541.965 1438.93 1532.41 323.792 230.308 647.201 995.805 566.789 50.5608 236.016 219.162 219.162 16.8535 0.536406 1.4124 0.304255 0.155043 652.674 995.805 566.789 56.0332 0.0695826 22.0135
0.536339 0.713403 1.07702 0.51689 0.171817 0.347154 0.15602 0.0585159 22.3888 17.6045 358.142 150.418 448.444 541.958 541.958 1438.85 1532.36 323.787 230.274 647.092 995.724 566.752 50.5547 235.984 219.133 219.133 16.8515 0.536339 1.41267 0.304318 0.155065 652.564 995.724 566.752 56.0267 0.0694337 22.0189
0.536273 0.713282 1.07699 0.516853 0.171781 0.347164 0.156016 0.0584936 22.3928 17.6061 358.149 150.429 448.408 541.951 541.951 1438.77 1532.31 323.782 230.239 646.982 995.644 566.716 50.5486 235.953 219.104 219.104 16.8495 0.536273 1.41294 0.304381 0.155086 652.454 995.644 566.716 56.0203 0.069285 22.0242
0.536206 0.713161 1.07697 0.516815 0.171744 0.347173 0.156011 0.0584712 22.3968 17.6078 358.156 150.439 448.372 541.944 541.944 1438.69 1532.26 323.776 230.205 646.873 995.563 566.679 50.5426 235.922 219.074 219.074 16.8475 0.536206 1.4132 0.304443 0.155107 652.344 995.563 566.679 56.0138 0.0691364 22.0296
0.53614 0.71304 1.07695 0.516778 0.171708 0.347183 0.156007 0.0584489 22.4008 17.6095 358.164 150.449 448.336 541.937 541.937 1438.61 1532.21 323.771 230.171 646.764 995.483 566.643 50.5366 235.89 219.045 219.045 16.8455 0.53614 1.41347 0.304506 0.155129 652.235 995.483 566.643 56.0074 0.0689879 22.0349
0.536074 0.712919 1.07693 0.516741 0.171672 0.347192 0.156003 0.0584266 22.4048 17.6112 358.171 150.46 448.301 541.93 541.93 1438.53 1532.16 323.766 230.136 646.655 995.402 566.606 50.5305 235.859 219.016 219.016 16.8434 0.536074 1.41374 0.304569 0.15515 652.125 995.402 566.606 56.001 0.0688395 22.0402
0.536007 0.712798 1.07691 0.516704 0.171635 0.347201 0.155999 0.0584043 22.4088 17.6128 358.178 150.47 448.265 541.923 541.923 1438.45 1532.11 323.76 230.102 646.545 995.321 566.569 50.5245 235.828 218.986 218.986 16.8414 0.536007 1.414 0.304632 0.155171 652.016 995.321 566.569 55.9945 0.0686912 22.0456
0.535941 0.712677 1.07688 0.516667 0.171599 0.347211 0.155994 0.0583821 22.4128 17.6145 358.185 150.481 448.229 541.916 541.916 1438.37 1532.06 323.755 230.068 646.436 995.241 566.533 50.5185 235.797 218.957 218.957 16.8394 0.535941 1.41427 0.304695 0.155192 651.906 995.241 566.533 55.9881 0.068543 22.0509
0.535875 0.712556 1.07686 0.516629 0.171563 0.34722 0.15599 0.0583598 22.4168 17.6162 358.192 150.491 448.193 541.909 541.909 1438.29 1532.01 323.749 230.034 646.327 995.16 566.497 50.5125 235.765 218.928 218.928 16.8374 0.535875 1.41453 0.304758 0.155214 651.797 995.16 566.497 55.9817 0.068395 22.0563
0.535809 0.712435 1.07684 0.516592 0.171527 0.347229 0.155986 0.0583376 22.4208 17.6179 358.199 150.502 448.157 541.902 541.902 1438.22 1531.96 323.744 230 646.218 995.079 566.46 50.5064 235.734 218.899 218.899 16.8354 0.535809 1.4148 0.304821 0.155235 651.687 995.079 566.46 55.9753 0.068247 22.0616
0.535743 0.712315 1.07682 0.516555 0.17149 0.347239 0.155982 0.0583153 22.4248 17.6196 358.206 150.512 448.121 541.894 541.894 1438.14 1531.91 323.739 229.965 646.11 994.999 566.424 50.5004 235.703 218.869 218.869 16.8334 0.535743 1.41506 0.304884 0.155256 651.578 994.999 566.424 55.9688 0.0680991 22.067
0.535676 0.712194 1.07679 0.516518 0.171454 0.347248 0.155977 0.0582931 22.4288 17.6213 358.213 150.523 448.085 541.887 541.887 1438.06 1531.86 323.733 229.931 646.001 994.918 566.387 50.4944 235.672 218.84 218.84 16.8314 0.535676 1.41533 0.304947 0.155277 651.469 994.918 566.387 55.9624 0.0679514 22.0723
0.53561 0.712073 1.07677 0.51648 0.171418 0.347257 0.155973 0.058271 22.4328 17.6229 358.22 150.533 448.049 541.88 541.88 1437.98 1531.81 323.728 229.897 645.892 994.837 566.351 50.4884 235.64 218.811 218.811 16.8294 0.53561 1.41559 0.30501 0.155299 651.36 994.837 566.351 55.956 0.0678037 22.0776
0.535544 0.711952 1.07675 0.516443 0.171382 0.347267 0.155969 0.0582488 22.4368 17.6246 358.227 150.544 448.014 541.873 541.873 1437.9 1531.76 323.723 229.863 645.783 994.757 566.314 50.4824 235.609 218.782 218.782 16.8274 0.535544 1.41586 0.305073 0.15532 651.251 994.757 566.314 55.9496 0.0676562 22.083
0.535478 0.711832 1.07673 0.516405 0.171346 0.347276 0.155965 0.0582266 22.4408 17.6263 358.234 150.554 447.978 541.866 541.866 1437.82 1531.71 323.717 229.829 645.675 994.676 566.278 50.4764 235.578 218.752 218.752 16.8254 0.535478 1.41613 0.305136 0.155341 651.142 994.676 566.278 55.9432 0.0675087 22.0883
