dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.00249881 1.07799e-06 0.00249799 8.25726e-07 0 935.469 941.219 5.74988 931.304 0.00819614 0.00552895 -0.0022308 2.35027 2.35027 3.57469e-06 0.00189197 0.0018908 1.17313e-06
0.00254877 1.11274e-06 0.00254791 8.65733e-07 0 935.4 941.24 5.84056 931.151 0.00835878 0.00563947 -0.00227532 2.39729 2.39729 3.80655e-06 0.00194574 0.00194449 1.24982e-06
0.00259873 1.1486e-06 0.00259783 9.06859e-07 0 935.33 941.261 5.93093 930.998 0.00852136 0.00575 -0.00231985 2.44431 2.44431 4.04862e-06 0.00199989 0.00199856 1.3299e-06
0.00264869 1.1856e-06 0.00264774 9.49115e-07 0 935.261 941.282 6.02098 930.846 0.00868391 0.00586053 -0.00236437 2.49133 2.49133 4.30115e-06 0.00205441 0.002053 1.41346e-06
0.00269865 1.22375e-06 0.00269766 9.92511e-07 0 935.192 941.303 6.11074 930.693 0.0088464 0.00597105 -0.00240888 2.53836 2.53835 4.56439e-06 0.00210931 0.00210781 1.50058e-06
0.00274861 1.26307e-06 0.00274758 1.03706e-06 0 935.123 941.323 6.20019 930.541 0.00900885 0.00608158 -0.00245339 2.58538 2.58538 4.83859e-06 0.00216457 0.00216298 1.59135e-06
0.00279857 1.30356e-06 0.00279749 1.08276e-06 0 935.054 941.343 6.28936 930.388 0.00917126 0.0061921 -0.0024979 2.63241 2.6324 5.12401e-06 0.00222019 0.00221851 1.68586e-06
0.00284854 1.34524e-06 0.00284741 1.12963e-06 0 934.985 941.363 6.37825 930.236 0.00933362 0.00630262 -0.0025424 2.67943 2.67943 5.42089e-06 0.00227617 0.00227439 1.78417e-06
0.0028985 1.38814e-06 0.00289732 1.17768e-06 0 934.916 941.382 6.46686 930.083 0.00949594 0.00641314 -0.0025869 2.72646 2.72645 5.7295e-06 0.0023325 0.00233061 1.88639e-06
0.00294846 1.43226e-06 0.00294723 1.22692e-06 0 934.847 941.402 6.55521 929.931 0.00965821 0.00652366 -0.0026314 2.77349 2.77348 6.05009e-06 0.00238918 0.00238718 1.9926e-06
0.00299842 1.47761e-06 0.00299714 1.27735e-06 0 934.778 941.421 6.64329 929.779 0.00982043 0.00663418 -0.00267589 2.82051 2.82051 6.38292e-06 0.0024462 0.00244409 2.10288e-06
0.00304838 1.52421e-06 0.00304705 1.32899e-06 0 934.709 941.44 6.73111 929.626 0.00998261 0.0067447 -0.00272037 2.86754 2.86754 6.72825e-06 0.00250355 0.00250134 2.21731e-06
0.00309834 1.57208e-06 0.00309696 1.38184e-06 0 934.64 941.459 6.81868 929.474 0.0101447 0.00685521 -0.00276485 2.91457 2.91457 7.08635e-06 0.00256124 0.00255891 2.336e-06
0.0031483 1.62122e-06 0.00314686 1.43592e-06 0 934.571 941.477 6.90601 929.322 0.0103068 0.00696573 -0.00280933 2.96161 2.9616 7.45746e-06 0.00261927 0.00261681 2.45902e-06
0.00319826 1.67166e-06 0.00319677 1.49123e-06 0 934.503 941.496 6.99309 929.17 0.0104689 0.00707624 -0.0028538 3.00864 3.00863 7.84187e-06 0.00267761 0.00267503 2.58646e-06
0.00324822 1.72339e-06 0.00324667 1.54779e-06 0 934.434 941.514 7.07994 929.018 0.0106309 0.00718675 -0.00289827 3.05567 3.05566 8.23983e-06 0.00273629 0.00273357 2.71842e-06
0.00329818 1.77644e-06 0.00329657 1.6056e-06 0 934.365 941.532 7.16655 928.866 0.0107928 0.00729726 -0.00294273 3.10271 3.1027 8.65161e-06 0.00279528 0.00279242 2.85497e-06
0.00334814 1.83081e-06 0.00334647 1.66466e-06 0 934.297 941.55 7.25294 928.713 0.0109547 0.00740777 -0.00298719 3.14974 3.14973 9.07749e-06 0.00285459 0.00285159 2.99621e-06
