dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.250632 0.20757 0.699162 0 0.0544752 0.168838 0.00285341 0 127.994 83.9697 458.054 400.938 274.252 360.839 360.839 909.342 995.93 86.5876 241.357 301.019 209.494 0.185306 8.2546 8.19279 8.09718e-05 0.0617644 0.346107
0.250673 0.20767 0.699227 0 0.0544853 0.168843 0.00285289 0 127.937 83.9346 458.049 400.906 274.258 360.841 360.841 909.358 995.94 86.5824 241.398 301.07 209.509 0.185261 8.2571 8.19531 8.09967e-05 0.0617493 0.346259
0.250714 0.20777 0.699293 0 0.0544954 0.168849 0.00285237 0 127.881 83.8996 458.044 400.875 274.265 360.842 360.842 909.373 995.95 86.5771 241.439 301.121 209.524 0.185215 8.25961 8.19783 8.10216e-05 0.0617341 0.346411
0.250756 0.20787 0.699358 0 0.0545055 0.168855 0.00285184 0 127.825 83.8646 458.039 400.843 274.272 360.844 360.844 909.388 995.96 86.5718 241.481 301.172 209.539 0.18517 8.26212 8.20035 8.10466e-05 0.061719 0.346563
0.250797 0.20797 0.699424 0 0.0545157 0.16886 0.00285132 0 127.769 83.8297 458.034 400.811 274.279 360.846 360.845 909.404 995.97 86.5665 241.522 301.223 209.553 0.185125 8.26463 8.20288 8.10715e-05 0.0617039 0.346715
0.250838 0.20807 0.699489 0 0.0545258 0.168866 0.00285079 0 127.713 83.7948 458.029 400.779 274.286 360.847 360.847 909.419 995.98 86.5611 241.563 301.274 209.568 0.185079 8.26713 8.2054 8.10964e-05 0.0616887 0.346867
0.25088 0.208169 0.699554 0 0.0545359 0.168871 0.00285027 0 127.658 83.76 458.024 400.748 274.293 360.849 360.849 909.434 995.99 86.5558 241.604 301.325 209.583 0.185034 8.26964 8.20792 8.11214e-05 0.0616736 0.347018
0.250921 0.208269 0.699619 0 0.054546 0.168877 0.00284974 0 127.602 83.7252 458.019 400.716 274.3 360.85 360.85 909.449 996 86.5505 241.645 301.375 209.598 0.184988 8.27215 8.21045 8.11463e-05 0.0616584 0.34717
0.250962 0.208368 0.699684 0 0.0545561 0.168883 0.00284922 0 127.546 83.6905 458.014 400.684 274.307 360.852 360.852 909.465 996.01 86.5452 241.686 301.426 209.613 0.184943 8.27466 8.21297 8.11713e-05 0.0616433 0.347322
0.251004 0.208467 0.699749 0 0.0545663 0.168888 0.00284869 0 127.49 83.6558 458.009 400.653 274.313 360.853 360.853 909.48 996.02 86.5399 241.727 301.477 209.627 0.184897 8.27717 8.2155 8.11962e-05 0.0616281 0.347474
