dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.401411 0 0 0 0.0516667 0.349717 0.0324102 0.0191977 58.1041 31.1515 401.247 208.6 308.95 503.585 503.585 1121.48 1316.12 194.636 420.698 649.5 412.782 7.86828 107.607 105.431 0.00104199 2.17646 0
0.401411 0.297394 1.04923 0.267427 0.0516667 0.349717 0.0324102 0.0191977 58.1041 31.1515 401.247 208.6 308.95 503.585 503.585 1121.48 1316.12 194.636 420.698 649.5 412.782 7.86828 107.607 105.431 0.00104199 2.17646 0.000201191
0.401422 0.297414 1.04924 0.267445 0.0516714 0.349718 0.0324079 0.0191957 58.0991 31.1493 401.243 208.595 308.956 503.587 503.587 1121.5 1316.13 194.631 420.713 649.519 412.788 7.86744 107.611 105.435 0.00104203 2.17622 0.000240183
0.401431 0.297434 1.04925 0.267462 0.051676 0.349718 0.0324055 0.0191938 58.094 31.1471 401.24 208.591 308.963 503.589 503.589 1121.51 1316.14 194.626 420.725 649.539 412.795 7.8666 107.615 105.439 0.00104208 2.17597 0.000269638
0.401442 0.297453 1.04926 0.26748 0.0516807 0.349719 0.0324032 0.0191918 58.089 31.1449 401.236 208.587 308.969 503.591 503.591 1121.53 1316.15 194.622 420.739 649.559 412.801 7.86577 107.619 105.443 0.00104212 2.17573 0.000305594
0.401454 0.297473 1.04927 0.267498 0.0516854 0.34972 0.0324009 0.0191899 58.0839 31.1427 401.233 208.582 308.975 503.592 503.592 1121.54 1316.16 194.617 420.756 649.579 412.807 7.86493 107.623 105.448 0.00104216 2.17549 0.000353873
0.40146 0.297493 1.04928 0.267515 0.0516901 0.349721 0.0323985 0.0191879 58.0789 31.1405 401.23 208.578 308.982 503.594 503.594 1121.56 1316.17 194.612 420.763 649.598 412.814 7.86409 107.627 105.452 0.0010422 2.17525 0.000360208
0.40147 0.297512 1.04929 0.267533 0.0516948 0.349722 0.0323962 0.0191859 58.0738 31.1384 401.226 208.574 308.988 503.596 503.596 1121.57 1316.18 194.608 420.775 649.618 412.82 7.86326 107.631 105.456 0.00104224 2.17501 0.000387693
0.401484 0.297532 1.0493 0.267551 0.0516994 0.349723 0.0323938 0.019184 58.0688 31.1362 401.223 208.569 308.995 503.598 503.598 1121.59 1316.19 194.603 420.796 649.638 412.827 7.86242 107.635 105.46 0.00104229 2.17477 0.0004504
0.40149 0.297551 1.04931 0.26757 0.0517039 0.349724 0.0323917 0.0191821 58.0638 31.134 401.219 208.565 309.001 503.6 503.6 1121.6 1316.2 194.598 420.802 649.658 412.833 7.86164 107.639 105.465 0.00104233 2.17454 0.000452737
0.401501 0.297572 1.04932 0.267586 0.0517088 0.349725 0.0323892 0.01918 58.0587 31.1318 401.216 208.561 309.008 503.601 503.601 1121.62 1316.21 194.593 420.817 649.677 412.839 7.86075 107.643 105.469 0.00104237 2.17429 0.000493695
0.401509 0.297591 1.04933 0.267604 0.0517135 0.349725 0.0323868 0.0191781 58.0537 31.1296 401.212 208.556 309.014 503.603 503.603 1121.63 1316.22 194.589 420.827 649.697 412.846 7.85991 107.647 105.473 0.00104241 2.17404 0.000512356
