dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.311474 0.189372 0.83551 0 0.050224 0.255605 0.013752 0.00454624 122.372 71.5083 456.762 281.992 276.05 422.307 422.307 974.408 1120.66 146.257 309.979 366.611 296.879 2.1046 39.0789 38.5073 0.000380575 0.571642 0.157684
0.311594 0.189759 0.835828 0 0.0502701 0.255642 0.0137457 0.00454192 122.15 71.3834 456.745 281.887 276.107 422.342 422.342 974.555 1120.79 146.235 310.114 366.852 296.966 2.10306 39.1179 38.5467 0.000380964 0.571237 0.158047
0.311714 0.190147 0.836145 0 0.0503162 0.255679 0.0137394 0.00453759 121.929 71.2589 456.729 281.782 276.163 422.376 422.376 974.702 1120.91 146.213 310.249 367.093 297.052 2.10151 39.1568 38.586 0.000381353 0.57083 0.15841
0.311835 0.190533 0.836461 0 0.0503625 0.255716 0.0137331 0.00453323 121.708 71.1348 456.713 281.677 276.22 422.41 422.41 974.849 1121.04 146.191 310.384 367.333 297.139 2.09995 39.1958 38.6254 0.000381742 0.570421 0.158775
0.311955 0.190919 0.836777 0 0.0504087 0.255753 0.0137268 0.00452885 121.487 71.011 456.696 281.572 276.276 422.444 422.444 974.997 1121.16 146.168 310.519 367.573 297.225 2.09838 39.2348 38.6648 0.000382131 0.570011 0.15914
0.312076 0.191305 0.837092 0 0.0504551 0.25579 0.0137204 0.00452446 121.268 70.8875 456.68 281.468 276.333 422.479 422.479 975.144 1121.29 146.146 310.654 367.813 297.312 2.09681 39.2738 38.7042 0.000382521 0.569599 0.159506
0.312196 0.19169 0.837406 0 0.0505015 0.255827 0.0137141 0.00452005 121.048 70.7644 456.664 281.363 276.39 422.513 422.513 975.292 1121.41 146.123 310.789 368.052 297.398 2.09523 39.3128 38.7436 0.00038291 0.569185 0.159873
0.312317 0.192074 0.837719 0 0.050548 0.255864 0.0137076 0.00451562 120.829 70.6416 456.648 281.258 276.447 422.547 422.547 975.44 1121.54 146.1 310.924 368.291 297.485 2.09365 39.3518 38.7831 0.0003833 0.56877 0.16024
0.312437 0.192458 0.838032 0 0.0505945 0.2559 0.0137012 0.00451117 120.611 70.5191 456.632 281.154 276.504 422.581 422.581 975.588 1121.66 146.077 311.06 368.529 297.571 2.09206 39.3909 38.8226 0.00038369 0.568353 0.160609
0.312558 0.192841 0.838344 0 0.0506411 0.255937 0.0136947 0.00450671 120.393 70.397 456.616 281.049 276.561 422.615 422.615 975.736 1121.79 146.054 311.195 368.767 297.657 2.09046 39.43 38.862 0.000384081 0.567934 0.160978
0.312679 0.193223 0.838655 0 0.0506878 0.255973 0.0136882 0.00450222 120.176 70.2752 456.6 280.945 276.618 422.649 422.649 975.884 1121.91 146.031 311.33 369.004 297.744 2.08886 39.469 38.9015 0.000384471 0.567514 0.161347
0.3128 0.193605 0.838966 0 0.0507345 0.256009 0.0136817 0.00449772 119.959 70.1538 456.585 280.84 276.675 422.683 422.683 976.032 1122.04 146.008 311.466 369.241 297.83 2.08725 39.5081 38.9411 0.000384861 0.567092 0.161718
