dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.62417 0.617782 1.12802 0.605098 0.134867 0.379801 0.0102033 0.00223346 24.305 17.0339 341.884 151.97 425.212 557.619 557.619 1408.04 1540.45 132.407 747.122 1015.09 560.942 1.28621 214.38 214.02 0.0021152 0.360499 0.407125
0.624194 0.617813 1.12802 0.605101 0.134876 0.379797 0.0102012 0.00223221 24.3038 17.0335 341.884 151.968 425.221 557.619 557.619 1408.06 1540.46 132.398 747.159 1015.1 560.95 1.28578 214.387 214.026 0.00211526 0.360388 0.407182
0.624217 0.617845 1.12802 0.605103 0.134886 0.379793 0.0101992 0.00223096 24.3027 17.0332 341.883 151.965 425.231 557.62 557.62 1408.08 1540.47 132.389 747.195 1015.12 560.958 1.28534 214.393 214.033 0.00211533 0.360276 0.407239
0.624241 0.617876 1.12802 0.605106 0.134896 0.379789 0.0101971 0.00222972 24.3015 17.0329 341.883 151.963 425.24 557.62 557.62 1408.1 1540.48 132.38 747.232 1015.13 560.966 1.2849 214.399 214.039 0.00211539 0.360165 0.407295
0.624265 0.617908 1.12803 0.605109 0.134906 0.379786 0.010195 0.00222847 24.3004 17.0325 341.882 151.96 425.249 557.62 557.62 1408.12 1540.49 132.371 747.268 1015.15 560.974 1.28446 214.405 214.045 0.00211545 0.360054 0.407352
0.624288 0.617939 1.12803 0.605112 0.134915 0.379782 0.010193 0.00222723 24.2992 17.0322 341.882 151.958 425.259 557.621 557.621 1408.14 1540.5 132.362 747.304 1015.17 560.982 1.28402 214.412 214.052 0.00211551 0.359943 0.407409
0.624312 0.617971 1.12803 0.605114 0.134925 0.379778 0.0101909 0.00222598 24.298 17.0319 341.882 151.955 425.268 557.621 557.621 1408.16 1540.51 132.353 747.341 1015.18 560.989 1.28358 214.418 214.058 0.00211558 0.359832 0.407466
0.624336 0.618002 1.12803 0.605117 0.134935 0.379774 0.0101888 0.00222474 24.2969 17.0315 341.881 151.953 425.277 557.621 557.621 1408.18 1540.52 132.344 747.377 1015.2 560.997 1.28315 214.424 214.064 0.00211564 0.359721 0.407523
0.624359 0.618034 1.12803 0.60512 0.134945 0.37977 0.0101868 0.00222349 24.2957 17.0312 341.881 151.95 425.286 557.622 557.622 1408.19 1540.53 132.335 747.414 1015.21 561.005 1.28271 214.43 214.071 0.0021157 0.35961 0.40758
0.624383 0.618065 1.12803 0.605122 0.134954 0.379766 0.0101847 0.00222225 24.2946 17.0309 341.88 151.948 425.296 557.622 557.622 1408.21 1540.54 132.326 747.45 1015.23 561.013 1.28227 214.437 214.077 0.00211576 0.359499 0.407636
