dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.398183 0.345208 1.01202 0.0235223 0.0727477 0.301273 0.0148277 0.0053001 55.5829 33.875 448.368 218.846 315.413 465.388 465.388 1096.21 1246.19 149.975 414.474 509.717 374.096 2.37563 81.7372 81.0941 0.000801469 0.643044 0.280208
0.398333 0.345494 1.01216 0.0236058 0.0728133 0.30128 0.0148106 0.00528802 55.5208 33.8446 448.349 218.784 315.493 465.411 465.411 1096.4 1246.32 149.918 414.661 509.911 374.177 2.37126 81.7869 81.145 0.000801972 0.641889 0.280787
0.398483 0.345779 1.0123 0.0236893 0.0728789 0.301288 0.0147936 0.00527593 55.4588 33.8142 448.33 218.723 315.573 465.434 465.434 1096.58 1246.44 149.861 414.848 510.105 374.259 2.3669 81.8367 81.196 0.000802476 0.640734 0.281367
0.398633 0.346065 1.01244 0.0237729 0.0729446 0.301295 0.0147765 0.00526384 55.3969 33.7838 448.311 218.661 315.653 465.456 465.456 1096.76 1246.57 149.803 415.036 510.299 374.34 2.36253 81.8866 81.247 0.000802979 0.639578 0.281948
0.398784 0.34635 1.01258 0.0238566 0.0730104 0.301302 0.0147595 0.00525175 55.3351 33.7535 448.293 218.599 315.733 465.478 465.478 1096.94 1246.69 149.745 415.224 510.494 374.421 2.35816 81.9364 81.298 0.000803483 0.638423 0.28253
0.398935 0.346636 1.01272 0.0239402 0.0730763 0.30131 0.0147424 0.00523966 55.2734 33.7233 448.274 218.537 315.813 465.501 465.501 1097.13 1246.82 149.687 415.412 510.688 374.502 2.3538 81.9863 81.349 0.000803987 0.637268 0.283113
0.399086 0.346922 1.01285 0.0240239 0.0731422 0.301317 0.0147253 0.00522756 55.2118 33.6931 448.255 218.476 315.894 465.523 465.523 1097.31 1246.94 149.63 415.6 510.882 374.584 2.34943 82.0361 81.4 0.000804492 0.636114 0.283696
0.399237 0.347209 1.01299 0.0241077 0.0732082 0.301324 0.0147082 0.00521546 55.1503 33.663 448.236 218.414 315.974 465.546 465.546 1097.49 1247.07 149.572 415.789 511.076 374.665 2.34506 82.086 81.4511 0.000804996 0.634959 0.284281
0.399389 0.347495 1.01313 0.0241915 0.0732742 0.301331 0.0146911 0.00520335 55.0889 33.6329 448.217 218.352 316.054 465.568 465.568 1097.68 1247.19 149.514 415.978 511.27 374.746 2.34069 82.1359 81.5021 0.000805501 0.633804 0.284866
0.39954 0.347782 1.01327 0.0242753 0.0733403 0.301338 0.014674 0.00519125 55.0276 33.6029 448.198 218.291 316.135 465.59 465.59 1097.86 1247.31 149.456 416.167 511.464 374.827 2.33633 82.1859 81.5532 0.000806006 0.63265 0.285452
0.399692 0.348069 1.01341 0.0243591 0.0734065 0.301345 0.0146569 0.00517914 54.9663 33.5729 448.18 218.229 316.215 465.613 465.613 1098.04 1247.44 149.398 416.356 511.658 374.909 2.33196 82.2358 81.6043 0.000806511 0.631495 0.28604
0.399844 0.348356 1.01355 0.024443 0.0734728 0.301352 0.0146398 0.00516703 54.9052 33.543 448.161 218.168 316.295 465.635 465.635 1098.23 1247.57 149.339 416.546 511.853 374.99 2.32759 82.2858 81.6555 0.000807016 0.630341 0.286628
0.399997 0.348644 1.01369 0.024527 0.0735391 0.301358 0.0146226 0.00515492 54.8442 33.5131 448.142 218.106 316.376 465.657 465.657 1098.41 1247.69 149.281 416.736 512.047 375.071 2.32322 82.3358 81.7066 0.000807522 0.629187 0.287217
0.400149 0.348931 1.01382 0.0246109 0.0736055 0.301365 0.0146055 0.0051428 54.7832 33.4833 448.123 218.044 316.457 465.679 465.679 1098.59 1247.82 149.223 416.926 512.241 375.152 2.31885 82.3858 81.7578 0.000808028 0.628033 0.287807
0.400302 0.349219 1.01396 0.0246949 0.0736719 0.301372 0.0145883 0.00513068 54.7224 33.4535 448.104 217.983 316.537 465.701 465.701 1098.78 1247.94 149.164 417.117 512.436 375.234 2.31448 82.4358 81.8089 0.000808533 0.626879 0.288398
