dens densp densn dense densm mup mun mue nup nun xm vsigma vomega vrho E Eh El P Ph Pl S Sh Sl U Uh Ul T
0.001 2.44199e-06 0.000997598 2.44134e-06 2.96519e-46 932.022 939.824 7.80225 930.361 937.329 935.909 0.00329204 0.00221276 -0.000889239 0.940841 0.940824 1.66322e-05 0.00110275 0.00109724 5.50767e-06 0.0020026 0.00199709 2.96951e-06 0.940841 0.940824 1.66322e-05 1.04123
0.002 8.47122e-06 0.00199154 8.45902e-06 5.07126e-30 928.362 940.101 11.739 925.038 935.113 932.84 0.00656006 0.00442538 -0.00177178 1.8835 1.88341 8.76566e-05 0.00327414 0.00324501 2.91354e-05 0.00401854 0.0039894 1.06708e-05 1.8835 1.88341 8.76566e-05 1.63922
0.003 1.76159e-05 0.00298251 1.75105e-05 1.98277e-23 925.353 940.269 14.9165 920.363 932.793 929.792 0.00980666 0.0066377 -0.00264834 2.82758 2.82735 0.000232059 0.00615161 0.0060744 7.72173e-05 0.00605529 0.00597807 2.25298e-05 2.82758 2.82735 0.000232059 2.13406
0.004 2.96622e-05 0.00397069 2.93736e-05 1.06802e-19 922.696 940.385 17.6894 916.038 930.423 926.762 0.0130331 0.00884958 -0.00351901 3.77283 3.77236 0.000463664 0.00960485 0.00945049 0.000154363 0.00811763 0.00796327 3.82831e-05 3.77283 3.77236 0.000463664 2.57097
0.005 4.408e-05 0.00495595 4.40558e-05 3.06586e-17 920.247 940.47 20.2237 911.919 928.026 923.75 0.0162404 0.0110609 -0.00438331 4.7185 4.71771 0.000797295 0.0135609 0.0132954 0.000265514 0.0102078 0.00994224 5.78852e-05 4.71851 4.71771 0.000797295 2.96862
0.006 6.12785e-05 0.00593872 6.12763e-05 1.77849e-15 917.985 940.537 22.5519 907.984 925.614 920.756 0.0194293 0.0132715 -0.0052417 5.6653 5.66406 0.00123954 0.0179811 0.0175682 0.000412866 0.0123318 0.011919 8.10497e-05 5.6653 5.66406 0.00123954 3.33751
0.007 8.12595e-05 0.00691922 8.09319e-05 3.88754e-14 915.87 940.593 24.7223 904.195 923.195 917.778 0.0226004 0.0154813 -0.00609414 6.61333 6.61153 0.00179832 0.0228397 0.0222407 0.000599066 0.014493 0.013894 0.00010765 6.61333 6.61153 0.00179832 3.68389
0.008 0.000103331 0.00789687 0.000103192 4.48346e-13 913.849 940.64 26.7915 900.496 920.771 914.817 0.0257544 0.0176901 -0.00693971 7.56139 7.5589 0.00248848 0.0281111 0.027282 0.000829051 0.0166919 0.0158629 0.000137808 7.56139 7.5589 0.00248848 4.01182
0.009 0.000127899 0.00887219 0.000127837 3.29333e-12 911.924 940.683 28.7588 896.892 918.347 911.871 0.0288918 0.0198979 -0.00777879 8.51028 8.50697 0.0033133 0.0337878 0.0326839 0.00110393 0.0189329 0.017829 0.000171302 8.51029 8.50697 0.0033133 4.32446
0.01 0.000154868 0.00984518 0.000154838 1.74069e-11 910.081 940.723 30.642 893.368 915.924 908.94 0.0320129 0.0221044 -0.00861113 9.45989 9.45561 0.00428049 0.0398607 0.0384345 0.00142625 0.0212183 0.0197921 0.000208087 9.4599 9.45561 0.00428049 4.62405
0.011 0.000184176 0.0108158 0.000184161 7.17528e-11 908.309 940.762 32.453 889.913 913.505 906.024 0.0351184 0.0243097 -0.00943654 10.4102 10.4048 0.00539702 0.0463234 0.044525 0.00179836 0.0235503 0.021752 0.000248112 10.4102 10.4048 0.00539702 4.91233
0.012 0.000215778 0.0117842 0.000215769 2.43845e-10 906.6 940.801 34.201 886.519 911.09 903.122 0.0382086 0.0265136 -0.0102548 11.361 11.3544 0.00666933 0.0531714 0.050949 0.00222238 0.0259311 0.0237087 0.000291327 11.361 11.3544 0.00666933 5.19068
0.013 0.000249632 0.0127504 0.000249626 7.10874e-10 904.948 940.841 35.8931 883.179 908.681 900.234 0.041284 0.0287159 -0.0110658 12.3125 12.3044 0.00810342 0.0604015 0.0577012 0.00270032 0.0283627 0.0256623 0.000337689 12.3125 12.3044 0.00810342 5.46023
0.014 0.000285704 0.0137143 0.000285699 1.83047e-09 903.346 940.881 37.5348 879.888 906.278 897.36 0.0443448 0.0309167 -0.0118693 13.2645 13.2548 0.00970494 0.0680115 0.0647774 0.00323405 0.0308469 0.0276129 0.000387157 13.2645 13.2548 0.00970494 5.72188
0.015 0.000323958 0.014676 0.000323952 4.25584e-09 901.792 940.923 39.131 876.643 903.881 894.499 0.0473915 0.0331158 -0.0126652 14.2171 14.2057 0.0114792 0.0759994 0.0721741 0.00382532 0.0333856 0.0295603 0.000439694 14.2171 14.2057 0.0114792 5.97642
0.016 0.000364362 0.0156356 0.000364352 9.08698e-09 900.281 940.967 40.6854 873.438 901.491 891.652 0.0504243 0.0353132 -0.0134533 15.1703 15.1569 0.0134312 0.0843639 0.0798881 0.00447576 0.0359805 0.0315047 0.000495272 15.1703 15.1569 0.0134312 6.2245
0.017 0.000406883 0.0165931 0.000406864 1.80563e-08 898.811 941.012 42.2014 870.272 899.109 888.816 0.0534437 0.0375087 -0.0142334 16.124 16.1084 0.0155658 0.0931038 0.0879168 0.00518691 0.038633 0.0334461 0.000553867 16.124 16.1084 0.0155658 6.46667
0.018 0.000451491 0.0175485 0.000451457 3.37436e-08 897.377 941.059 43.6817 867.142 896.734 885.994 0.0564499 0.0397023 -0.0150054 17.0782 17.0603 0.0178874 0.102218 0.0962576 0.0059602 0.0413447 0.0353845 0.000615463 17.0782 17.0603 0.0178874 6.70343
0.019 0.000498154 0.0185018 0.000498094 5.98144e-08 895.98 941.109 45.1288 864.045 894.367 883.183 0.0594433 0.0418939 -0.0157691 18.0329 18.0125 0.0204004 0.111705 0.104908 0.00679697 0.0441169 0.0373199 0.000680053 18.0329 18.0125 0.0204004 6.9352
0.02 0.000546844 0.0194532 0.000546742 1.0127e-07 894.615 941.16 46.5446 860.979 892.007 880.384 0.062424 0.0440835 -0.0165245 18.9881 18.965 0.023109 0.121564 0.113865 0.00769844 0.0469508 0.0392524 0.00074764 18.9881 18.965 0.023109 7.16234
0.021 0.00059753 0.0204025 0.000597365 1.64706e-07 893.282 941.213 47.931 857.943 889.656 877.597 0.0653924 0.0462711 -0.0172713 19.9439 19.9178 0.0260173 0.131793 0.123127 0.00866576 0.0498475 0.0411818 0.000818233 19.9439 19.9178 0.0260173 7.38517
0.022 0.000650185 0.0213498 0.000649926 2.58555e-07 891.979 941.269 49.2896 854.934 887.312 874.82 0.0683488 0.0484565 -0.0180095 20.9001 20.871 0.029129 0.142391 0.132691 0.00969996 0.0528081 0.0431081 0.000891856 20.9001 20.871 0.029129 7.60398
0.023 0.000704781 0.0222952 0.000704387 3.93327e-07 890.704 941.326 50.6216 851.952 884.977 872.056 0.0712934 0.0506397 -0.018739 21.8568 21.8244 0.0324481 0.153357 0.142555 0.010802 0.0558335 0.0450315 0.000968538 21.8568 21.8244 0.0324481 7.81902
0.024 0.000761291 0.0232387 0.000760709 5.81811e-07 889.457 941.385 51.9283 848.994 882.65 869.301 0.0742264 0.0528207 -0.0194595 22.814 22.778 0.0359783 0.164688 0.152715 0.0119728 0.0589244 0.0469517 0.00104832 22.814 22.778 0.0359783 8.03052
0.025 0.000819691 0.0241803 0.000818851 8.39251e-07 888.235 941.446 53.2108 846.061 880.331 866.558 0.0771481 0.0549995 -0.0201711 23.7717 23.732 0.0397234 0.176382 0.16317 0.013213 0.0620817 0.0488687 0.00113125 23.7717 23.732 0.0397234 8.23868
0.026 0.000879955 0.02512 0.000878772 1.18348e-06 887.039 941.509 54.4699 843.151 878.02 863.825 0.0800588 0.0571761 -0.0208736 24.7299 24.6862 0.043687 0.188438 0.173915 0.0145233 0.0653059 0.0507826 0.00121739 24.7299 24.6862 0.043687 8.44367
0.027 0.000942062 0.0260579 0.000940427 1.63501e-06 885.867 941.573 55.7065 840.263 875.718 861.102 0.0829586 0.0593503 -0.0215669 25.6885 25.6406 0.0478727 0.200852 0.184948 0.0159044 0.0685976 0.0526932 0.0013068 25.6885 25.6406 0.0478727 8.64565
0.028 0.00100622 0.0269946 0.00100368 2.21642e-06 884.721 941.64 56.9196 837.398 873.424 858.389 0.0858477 0.0615223 -0.0222512 26.6483 26.596 0.0522782 0.213632 0.196278 0.0173549 0.0719564 0.0546015 0.00139945 26.6484 26.5961 0.0522782 8.84467
0.029 0.00107192 0.0279288 0.00106868 2.95482e-06 883.594 941.708 58.1135 834.551 871.137 855.686 0.0887264 0.0636919 -0.0229259 27.6078 27.5509 0.0569195 0.226755 0.207876 0.0188791 0.0753843 0.0565052 0.00149563 27.6078 27.5509 0.0569195 9.04107
0.03 0.00113941 0.0288613 0.00113527 3.87822e-06 882.49 941.777 59.2869 831.724 868.859 852.992 0.0915949 0.0658592 -0.0235911 28.5677 28.506 0.0617937 0.240228 0.219753 0.0204753 0.0788807 0.0584055 0.00159531 28.5678 28.506 0.0617937 9.23486
0.031 0.00120865 0.0297919 0.0012034 5.01765e-06 881.407 941.847 60.4403 828.916 866.589 850.308 0.0944534 0.0680243 -0.0242469 29.5282 29.4613 0.0669044 0.254048 0.231904 0.0221437 0.0824459 0.0603021 0.00169857 29.5282 29.4613 0.0669044 9.42614
0.032 0.00127965 0.0307209 0.00127303 6.40651e-06 880.345 941.919 61.5741 826.127 864.327 847.633 0.097302 0.070187 -0.0248931 30.489 30.4168 0.0722551 0.268212 0.244328 0.0238847 0.0860798 0.0621951 0.00180549 30.4891 30.4168 0.0722551 9.61501
0.033 0.00135237 0.0316481 0.0013441 8.08031e-06 879.304 941.993 62.6889 823.356 862.072 844.968 0.100141 0.0723474 -0.0255296 31.4504 31.3725 0.0778494 0.282717 0.257019 0.0256983 0.0897827 0.0640844 0.00191615 31.4504 31.3725 0.0778494 9.80157
0.034 0.00142681 0.0325736 0.00141655 1.00764e-05 878.282 942.067 63.7849 820.602 859.826 842.311 0.10297 0.0745055 -0.0261565 32.4121 32.3284 0.0836906 0.29756 0.269976 0.0275845 0.0935543 0.0659699 0.00203063 32.4122 32.3285 0.0836906 9.98588
0.035 0.00150294 0.0334975 0.00149035 1.24337e-05 877.28 942.143 64.8626 817.865 857.587 839.663 0.105791 0.0766614 -0.0267736 33.3744 33.2846 0.0897821 0.312737 0.283194 0.0295433 0.0973948 0.0678515 0.002149 33.3744 33.2846 0.0897821 10.168
0.036 0.00158077 0.0344196 0.00156542 1.51925e-05 876.297 942.219 65.9223 815.145 855.357 837.023 0.108602 0.078815 -0.0273809 34.337 34.2409 0.0961273 0.328246 0.296671 0.0315747 0.101304 0.0697291 0.00227134 34.337 34.2409 0.0961273 10.3481
0.037 0.00166026 0.0353401 0.00164173 1.83936e-05 875.333 942.297 66.9644 812.441 853.134 834.392 0.111404 0.0809664 -0.0279784 35.3001 35.1974 0.102729 0.344082 0.310403 0.0336787 0.105281 0.0716027 0.0023977 35.3001 35.1974 0.102729 10.5262
0.038 0.00174142 0.0362589 0.00171921 2.20788e-05 874.387 942.376 67.9892 809.753 850.918 831.769 0.114197 0.0831156 -0.0285661 36.2637 36.1541 0.109591 0.360244 0.324389 0.0358549 0.109327 0.0734722 0.00252814 36.2637 36.1541 0.109591 10.7023
0.039 0.00182422 0.037176 0.00179781 2.62899e-05 873.459 942.456 68.9969 807.08 848.711 829.154 0.116982 0.0852626 -0.0291439 37.2276 37.1109 0.116715 0.376728 0.338624 0.0381032 0.113441 0.0753376 0.0026627 37.2277 37.1109 0.116715 10.8765
0.04 0.00190866 0.0380916 0.00187749 3.10683e-05 872.548 942.536 69.9879 804.422 846.511 826.547 0.119758 0.0874076 -0.0297117 38.192 38.0679 0.124105 0.393531 0.353108 0.0404234 0.117622 0.0771989 0.00280144 38.1921 38.068 0.124105 11.0489
0.041 0.00199473 0.0390055 0.00195817 3.64552e-05 871.655 942.618 70.9624 801.779 844.318 823.948 0.122526 0.0895504 -0.0302696 39.1569 39.0251 0.131763 0.410653 0.367838 0.0428152 0.121871 0.0790559 0.00294437 39.1569 39.0251 0.131763 11.2196
0.042 0.00208241 0.0399178 0.00203982 4.24907e-05 870.779 942.7 71.9207 799.15 842.133 821.356 0.125286 0.0916912 -0.0308176 40.1221 39.9824 0.139691 0.42809 0.382811 0.0452783 0.126187 0.0809087 0.00309152 40.1221 39.9824 0.139691 11.3885
0.043 0.00217169 0.0408285 0.00212239 4.92138e-05 869.92 942.783 72.8631 796.535 839.955 818.773 0.128038 0.0938301 -0.0313556 41.0878 40.9399 0.147892 0.44584 0.398028 0.0478123 0.13057 0.0827573 0.00324291 41.0878 40.9399 0.147892 11.5558
0.044 0.00226256 0.0417376 0.00220582 5.6662e-05 869.077 942.867 73.7899 793.933 837.784 816.196 0.130782 0.0959669 -0.0318837 42.0539 41.8975 0.156367 0.463903 0.413486 0.050417 0.135019 0.0846017 0.00339853 42.0539 41.8975 0.156367 11.7215
0.045 0.00235501 0.0426452 0.00229006 6.48712e-05 868.25 942.951 74.7014 791.345 835.621 813.627 0.133518 0.0981019 -0.0324018 43.0204 42.8553 0.165119 0.482277 0.429185 0.0530919 0.139534 0.0864418 0.00355838 43.0204 42.8553 0.165119 11.8857
0.046 0.00244902 0.0435511 0.00237508 7.38752e-05 867.439 943.037 75.5977 788.769 833.465 811.065 0.136246 0.100235 -0.03291 43.9873 43.8131 0.174148 0.500962 0.445125 0.0558368 0.144115 0.0882777 0.00372244 43.9873 43.8132 0.174148 12.0484
0.047 0.00254459 0.0444555 0.00246082 8.37057e-05 866.643 943.123 76.4792 786.206 831.315 808.51 0.138967 0.102366 -0.0334083 44.9546 44.7712 0.183456 0.519957 0.461306 0.0586513 0.148761 0.0901095 0.0038907 44.9546 44.7712 0.183456 12.2097
0.048 0.00264169 0.0453584 0.00254724 9.43921e-05 865.863 943.209 77.3461 783.656 829.173 805.962 0.14168 0.104496 -0.0338967 45.9224 45.7293 0.193044 0.539263 0.477728 0.0615349 0.153472 0.091937 0.00406312 45.9224 45.7293 0.193044 12.3695
0.049 0.00274032 0.0462598 0.0026343 0.000105962 865.098 943.297 78.1988 781.117 827.037 803.421 0.144387 0.106624 -0.0343752 46.8905 46.6876 0.202913 0.55888 0.494393 0.0644873 0.158248 0.0937605 0.00423967 46.8905 46.6876 0.202913 12.5281
0.05 0.00284046 0.0471597 0.00272197 0.000118439 864.347 943.385 79.0374 778.59 824.909 800.887 0.147086 0.10875 -0.0348439 47.859 47.646 0.213064 0.57881 0.511302 0.0675082 0.163088 0.0955798 0.0044203 47.8591 47.646 0.213064 12.6854
0.051 0.00294209 0.048058 0.00281019 0.000131845 863.611 943.473 79.8623 776.074 822.787 798.359 0.149778 0.110875 -0.0353028 48.828 48.6045 0.223496 0.599054 0.528457 0.0705971 0.167992 0.0973951 0.00460498 48.828 48.6045 0.223496 12.8415
0.052 0.00304519 0.0489549 0.00289895 0.000146201 862.889 943.563 80.6737 773.569 820.671 795.838 0.152463 0.112999 -0.035752 49.7973 49.5631 0.234209 0.619613 0.54586 0.0737538 0.17296 0.0992065 0.00479364 49.7974 49.5631 0.234209 12.9964
0.053 0.00314975 0.0498503 0.00298819 0.000161523 862.181 943.653 81.4719 771.075 818.563 793.323 0.155141 0.11512 -0.0361914 50.7671 50.5219 0.245205 0.640491 0.563514 0.0769779 0.177992 0.101014 0.00498622 50.7671 50.5219 0.245205 13.1502
0.054 0.00325576 0.0507443 0.0030779 0.000177825 861.486 943.744 82.2571 768.591 816.461 790.814 0.157812 0.117241 -0.0366213 51.7372 51.4808 0.256482 0.661691 0.581422 0.0802691 0.183087 0.102817 0.00518268 51.7373 51.4808 0.256482 13.3029
0.055 0.00336319 0.0516369 0.00316803 0.00019512 860.805 943.835 83.0297 766.117 814.365 788.312 0.160477 0.11936 -0.0370415 52.7078 52.4397 0.26804 0.683215 0.599588 0.083627 0.188244 0.104617 0.00538294 52.7078 52.4398 0.26804 13.4546
0.056 0.00347202 0.0525281 0.00325857 0.000213416 860.138 943.927 83.7898 763.653 812.275 785.816 0.163136 0.121478 -0.0374523 53.6787 53.3988 0.279878 0.705068 0.618016 0.0870513 0.193464 0.106413 0.00558694 53.6787 53.3989 0.279878 13.6054
0.057 0.00358223 0.0534178 0.00334948 0.000232723 859.483 944.02 84.5378 761.199 810.192 783.326 0.165787 0.123595 -0.0378536 54.6501 54.3581 0.291995 0.727253 0.636712 0.0905418 0.198747 0.108205 0.00579461 54.6501 54.3581 0.291995 13.7552
0.058 0.00369381 0.0543063 0.00344073 0.000253044 858.84 944.114 85.274 758.754 808.116 780.841 0.168433 0.125711 -0.0382455 55.6218 55.3174 0.304391 0.749777 0.655679 0.0940981 0.204092 0.109994 0.00600589 55.6218 55.3174 0.304391 13.9041
0.059 0.00380673 0.0551933 0.00353232 0.000274383 858.211 944.209 85.9985 756.318 806.045 778.363 0.171072 0.127826 -0.0386281 56.5939 56.2768 0.317064 0.772643 0.674923 0.09772 0.209499 0.111779 0.00622071 56.5939 56.2768 0.317064 14.0521
0.06 0.00392097 0.0560791 0.0036242 0.00029674 857.593 944.305 86.7116 753.891 803.98 775.891 0.173705 0.129939 -0.0390015 57.5664 57.2364 0.330013 0.795857 0.694449 0.101407 0.214968 0.113561 0.00643899 57.5664 57.2364 0.330013 14.1994
0.061 0.00403651 0.0569635 0.00371637 0.000320116 856.988 944.401 87.4136 751.473 801.922 773.424 0.176332 0.132052 -0.0393658 58.5393 58.1961 0.343237 0.819425 0.714266 0.10516 0.220499 0.115339 0.00666067 58.5393 58.1961 0.343237 14.3458
0.062 0.00415333 0.0578467 0.0038088 0.000344509 856.394 944.499 88.1047 749.063 799.87 770.963 0.178953 0.134164 -0.039721 59.5126 59.1558 0.356734 0.843354 0.734377 0.108977 0.226091 0.117114 0.00688568 59.5126 59.1558 0.356734 14.4916
0.063 0.0042714 0.0587286 0.00390147 0.000369913 855.812 944.598 88.7852 746.661 797.823 768.507 0.181568 0.136276 -0.0400672 60.4863 60.1157 0.370502 0.86765 0.754792 0.112858 0.231744 0.118886 0.00711396 60.4863 60.1158 0.370502 14.6367
0.064 0.00439071 0.0596093 0.00399437 0.000396324 855.242 944.697 89.4553 744.267 795.783 766.057 0.184177 0.138386 -0.0404046 61.4603 61.0758 0.38454 0.892321 0.775516 0.116804 0.237459 0.120655 0.00734544 61.4603 61.0758 0.38454 14.7811
0.065 0.00451124 0.0604888 0.00408748 0.000423735 854.683 944.798 90.1153 741.881 793.748 763.613 0.186781 0.140496 -0.0407331 62.4348 62.0359 0.398846 0.917373 0.796558 0.120815 0.243235 0.12242 0.00758005 62.4348 62.0359 0.398846 14.9249
0.066 0.00463295 0.0613671 0.00418079 0.000452139 854.135 944.9 90.7653 739.503 791.719 761.174 0.189378 0.142606 -0.041053 63.4096 62.9962 0.413418 0.942815 0.817926 0.124889 0.249071 0.124182 0.00781773 63.4096 62.9962 0.413418 15.0681
0.067 0.00475582 0.0622442 0.00427428 0.000481527 853.598 945.003 91.4056 737.131 789.696 758.74 0.19197 0.144714 -0.0413643 64.3848 63.9566 0.428255 0.968654 0.839627 0.129027 0.254969 0.125942 0.00805842 64.3848 63.9566 0.428255 15.2108
0.068 0.00487985 0.0631202 0.00436794 0.000511888 853.071 945.108 92.0365 734.768 787.679 756.311 0.194557 0.146823 -0.041667 65.3605 64.9171 0.443354 0.994899 0.86167 0.133229 0.260927 0.127698 0.00830207 65.3605 64.9171 0.443354 15.3529
0.069 0.00500499 0.063995 0.00446176 0.000543213 852.556 945.214 92.658 732.411 785.667 753.888 0.197138 0.148931 -0.0419614 66.3365 65.8777 0.458714 1.02156 0.884065 0.137494 0.266946 0.129451 0.00854861 66.3365 65.8777 0.458714 15.4945
0.07 0.00513124 0.0648688 0.00455573 0.00057549 852.051 945.321 93.2706 730.061 783.661 751.469 0.199713 0.151038 -0.0422474 67.3129 66.8385 0.474332 1.04864 0.906821 0.141823 0.273025 0.131202 0.00879799 67.3129 66.8385 0.474332 15.6357
0.071 0.00525856 0.0657415 0.00464984 0.000608707 851.556 945.43 93.8742 727.717 781.661 749.056 0.202283 0.153146 -0.0425252 68.2896 67.7994 0.490207 1.07616 0.929946 0.146215 0.279164 0.13295 0.00905015 68.2896 67.7994 0.490207 15.7764
0.072 0.00538694 0.0666131 0.00474408 0.000642852 851.071 945.54 94.4693 725.381 779.666 746.648 0.204848 0.155253 -0.042795 69.2668 68.7605 0.506336 1.10412 0.95345 0.150669 0.285364 0.134695 0.00930505 69.2668 68.7605 0.506336 15.9168
0.073 0.00551636 0.0674837 0.00483844 0.000677912 850.597 945.652 95.0558 723.051 777.676 744.244 0.207408 0.15736 -0.0430567 70.2444 69.7217 0.522718 1.13253 0.977344 0.155187 0.291625 0.136437 0.00956264 70.2444 69.7217 0.522718 16.0567
0.074 0.00564679 0.0683532 0.00493291 0.000713873 850.132 945.766 95.6341 720.727 775.692 741.846 0.209962 0.159467 -0.0433105 71.2223 70.683 0.539351 1.1614 1.00164 0.159768 0.297945 0.138177 0.00982287 71.2224 70.683 0.539351 16.1963
0.075 0.00577822 0.0692218 0.00502749 0.000750723 849.677 945.882 96.2044 718.409 773.714 739.452 0.212511 0.161574 -0.0435565 72.2007 71.6445 0.556233 1.19075 1.02634 0.164411 0.304325 0.139914 0.0100857 72.2007 71.6445 0.556233 16.3355
0.076 0.00591062 0.0700894 0.00512216 0.000788446 849.232 945.999 96.7667 716.098 771.741 737.063 0.215055 0.16368 -0.0437949 73.1795 72.6061 0.573361 1.22058 1.05146 0.169117 0.310766 0.141649 0.0103511 73.1795 72.6061 0.573361 16.4744
0.077 0.00604397 0.070956 0.00521693 0.00082703 848.797 946.118 97.3213 713.792 769.774 734.679 0.217594 0.165787 -0.0440256 74.1586 73.5679 0.590735 1.2509 1.07702 0.173885 0.317266 0.143381 0.010619 74.1586 73.5679 0.590735 16.613
0.078 0.00617826 0.0718218 0.00531179 0.00086646 848.371 946.239 97.8684 711.493 767.811 732.299 0.220128 0.167894 -0.0442488 75.1381 74.5298 0.608351 1.28173 1.10301 0.178715 0.323826 0.145111 0.0108894 75.1381 74.5298 0.608351 16.7513
0.079 0.00631347 0.0726866 0.00540673 0.000906723 847.954 946.362 98.4081 709.199 765.855 729.924 0.222658 0.170002 -0.0444647 76.1181 75.4919 0.626209 1.31307 1.12946 0.183608 0.330446 0.146838 0.0111622 76.1181 75.4919 0.626209 16.8894
0.08 0.00644957 0.0735504 0.00550176 0.000947804 847.547 946.488 98.9406 706.911 763.903 727.554 0.225182 0.172109 -0.0446732 77.0984 76.4541 0.644306 1.34494 1.15638 0.188563 0.337126 0.148563 0.0114374 77.0984 76.4541 0.644306 17.0272
0.081 0.00658655 0.0744135 0.00559685 0.000989688 847.149 946.615 99.466 704.628 761.957 725.188 0.227701 0.174217 -0.0448746 78.0792 77.4165 0.662641 1.37735 1.18377 0.193581 0.343866 0.150285 0.011715 78.0792 77.4165 0.662641 17.1648
0.082 0.00672439 0.0752756 0.00569202 0.00103236 846.76 946.745 99.9846 702.351 760.016 722.827 0.230216 0.176325 -0.0450689 79.0603 78.3791 0.681212 1.41031 1.21165 0.19866 0.350665 0.152005 0.0119949 79.0603 78.3791 0.681212 17.3021
0.083 0.00686308 0.0761369 0.00578726 0.00107581 846.38 946.877 100.496 700.079 758.08 720.47 0.232726 0.178433 -0.0452562 80.0419 79.3418 0.700017 1.44383 1.24003 0.203801 0.357524 0.153723 0.0122772 80.0419 79.3418 0.700017 17.4393
0.084 0.00700259 0.0769974 0.00588256 0.00112003 846.009 947.011 101.002 697.813 756.15 718.118 0.235231 0.180542 -0.0454367 81.0238 80.3048 0.719055 1.47792 1.26892 0.209005 0.364443 0.155438 0.0125617 81.0238 80.3048 0.719055 17.5762
0.085 0.00714292 0.0778571 0.00597792 0.00116499 845.647 947.148 101.5 695.552 754.225 715.77 0.237732 0.182651 -0.0456104 82.0062 81.2679 0.738324 1.5126 1.29833 0.21427 0.371422 0.157152 0.0128485 82.0062 81.2679 0.738324 17.713
0.086 0.00728405 0.078716 0.00607335 0.00121069 845.294 947.287 101.993 693.297 752.304 713.426 0.240228 0.184761 -0.0457774 82.989 82.2311 0.757822 1.54787 1.32828 0.219597 0.37846 0.158862 0.0131375 82.989 82.2311 0.757822 17.8497
0.087 0.00742595 0.0795741 0.00616883 0.00125711 844.95 947.429 102.479 691.046 750.39 711.087 0.242719 0.186871 -0.0459378 83.9722 83.1946 0.777549 1.58376 1.35877 0.224986 0.385558 0.160571 0.0134288 83.9722 83.1946 0.777549 17.9862
0.088 0.00756863 0.0804314 0.00626438 0.00130424 844.614 947.573 102.959 688.801 748.48 708.752 0.245206 0.188981 -0.0460918 84.9558 84.1583 0.797502 1.62027 1.38983 0.230437 0.392715 0.162278 0.0137222 84.9558 84.1583 0.797502 18.1225
0.089 0.00771205 0.081288 0.00635997 0.00135207 844.287 947.721 103.433 686.561 746.575 706.421 0.247688 0.191093 -0.0462394 85.9398 85.1221 0.817681 1.65741 1.42146 0.23595 0.399932 0.163982 0.0140178 85.9398 85.1221 0.817681 18.2587
0.09 0.00785622 0.0821438 0.00645563 0.00140059 843.969 947.871 103.902 684.325 744.676 704.094 0.250166 0.193205 -0.0463807 86.9242 86.0862 0.838084 1.6952 1.45368 0.241525 0.407209 0.165684 0.0143156 86.9242 86.0862 0.838084 18.3948
0.091 0.00800111 0.0829989 0.00655134 0.00144977 843.659 948.024 104.365 682.095 742.781 701.771 0.25264 0.195317 -0.0465159 87.9091 87.0504 0.85871 1.73365 1.48649 0.247161 0.414546 0.167384 0.0146155 87.9091 87.0504 0.85871 18.5308
0.092 0.00814672 0.0838533 0.0066471 0.00149962 843.358 948.179 104.822 679.87 740.892 699.453 0.255109 0.197431 -0.046645 88.8944 88.0149 0.879557 1.77278 1.51992 0.252859 0.421942 0.169082 0.0149176 88.8944 88.0149 0.879557 18.6667
0.093 0.00829304 0.084707 0.00674292 0.00155012 843.065 948.338 105.274 677.649 739.008 697.139 0.257573 0.199545 -0.0467681 89.8801 88.9795 0.900625 1.81259 1.55397 0.25862 0.429398 0.170778 0.0152217 89.8801 88.9795 0.900625 18.8025
0.094 0.00844004 0.08556 0.00683879 0.00160125 842.78 948.5 105.72 675.434 737.129 694.828 0.260034 0.20166 -0.0468854 90.8663 89.9444 0.921913 1.8531 1.58866 0.264442 0.436914 0.172472 0.0155279 90.8663 89.9444 0.921913 18.9382
0.095 0.00858773 0.0864123 0.00693471 0.00165301 842.503 948.665 106.162 673.223 735.255 692.522 0.26249 0.203776 -0.0469968 91.8529 90.9095 0.943419 1.89432 1.62399 0.270326 0.44449 0.174164 0.0158363 91.8529 90.9095 0.943419 19.0738
0.096 0.00873608 0.0872639 0.00703069 0.00170539 842.235 948.833 106.598 671.017 733.386 690.22 0.264942 0.205892 -0.0471026 92.8399 91.8748 0.965142 1.93627 1.66 0.276272 0.452125 0.175853 0.0161467 92.8399 91.8748 0.965142 19.2094
0.097 0.0088851 0.0881149 0.00712673 0.00175837 841.976 949.004 107.029 668.816 731.522 687.921 0.26739 0.20801 -0.0472028 93.8274 92.8403 0.987083 1.97895 1.69667 0.28228 0.459821 0.177541 0.0164591 93.8274 92.8403 0.987083 19.3449
0.098 0.00903477 0.0889652 0.00722282 0.00181195 841.724 949.179 107.455 666.62 729.663 685.627 0.269833 0.210128 -0.0472975 94.8153 93.8061 1.00924 2.02239 1.73404 0.28835 0.467577 0.179226 0.0167736 94.8153 93.8061 1.00924 19.4804
0.099 0.00918509 0.0898149 0.00731896 0.00186612 841.48 949.357 107.877 664.428 727.809 683.336 0.272272 0.212247 -0.0473867 95.8037 94.7721 1.03161 2.0666 1.77212 0.294483 0.475392 0.18091 0.0170902 95.8037 94.7721 1.03161 19.6158
