dens densp densn dense densv mup mun mue muv nup nun xm vsigma vomega vrho E Eh El P Ph Pl S Sh Sl U Uh Ul T
0.001 0.000217132 0.000783532 0.000216562 0.000183449 938.356 939.871 36.5483 35.0329 936.516 937.556 935.905 0.0032958 0.00221278 -0.000506568 0.950925 0.940196 0.0107297 0.00386059 0.000240466 0.00362012 0.00459094 0.000970818 2.87992e-05 0.950927 0.940197 0.0107297 0.279733
0.002 0.000431557 0.0015685 0.000431531 0.000368509 937.485 940.094 46.3379 43.7289 933.806 935.461 932.829 0.00657185 0.00442551 -0.00101585 1.90658 1.87951 0.0270645 0.00951477 0.000422263 0.0090925 0.0109854 0.00189285 0.000106989 1.90658 1.87951 0.0270645 0.432524
0.003 0.000664315 0.0023357 0.000664287 0.000535709 936.619 940.146 53.1244 49.5969 931.086 933.212 929.77 0.00982965 0.00663815 -0.00149288 2.86588 2.81936 0.0465192 0.0157895 0.000359287 0.0154302 0.018271 0.00284078 0.000159082 2.86588 2.81936 0.0465192 0.566489
0.004 0.000891095 0.00310891 0.000891094 0.000708906 935.714 940.143 58.8327 54.4031 928.333 930.903 926.727 0.0130698 0.00885065 -0.00198015 3.82747 3.7592 0.0682683 0.0229165 6.06234e-05 0.0228559 0.0266651 0.00380921 0.000190793 3.82747 3.7592 0.0682683 0.691956
0.005 0.00113281 0.00386762 0.00113242 0.000867578 934.844 940.079 63.4997 58.2643 925.601 928.545 923.701 0.0162933 0.011063 -0.00244082 4.79127 4.69924 0.0920294 0.0300472 -0.000584413 0.0306316 0.0353767 0.00474511 0.000254673 4.79128 4.69925 0.0920294 0.799932
0.006 0.001369 0.00463121 0.00136881 0.00103119 933.957 939.999 67.7294 61.6876 922.858 926.168 920.689 0.0195005 0.0132751 -0.0029095 5.75597 5.63855 0.117422 0.0376882 -0.00149675 0.0391849 0.044868 0.00568303 0.00031685 5.75597 5.63855 0.117422 0.90278
0.007 0.001609 0.00539111 0.0016089 0.0011911 933.083 939.898 71.4987 64.683 920.123 923.774 917.692 0.0226918 0.015487 -0.00337061 6.72206 6.57775 0.144313 0.0454388 -0.00271569 0.0481545 0.0547648 0.0066103 0.000389627 6.72206 6.57775 0.144313 0.99865
0.008 0.00185229 0.00614778 0.00185223 0.00134777 932.22 939.783 74.9153 67.3519 917.396 921.368 914.71 0.0258679 0.0176986 -0.00382486 7.68932 7.51675 0.172561 0.0532507 -0.00423537 0.057486 0.0650161 0.00753012 0.000469833 7.68932 7.51676 0.172561 1.08936
0.009 0.00209988 0.00690016 0.00209985 0.00150015 931.371 939.655 78.0927 69.809 914.681 918.955 911.742 0.029029 0.0199099 -0.00427022 8.65759 8.45552 0.202073 0.0612318 -0.00606051 0.0672923 0.0757323 0.00843992 0.000560057 8.65759 8.45552 0.202073 1.17522
0.01 0.00234947 0.00765055 0.00234945 0.00165055 930.532 939.521 81.0751 72.0869 911.973 916.537 908.787 0.0321757 0.0221208 -0.00471068 9.62677 9.39405 0.232724 0.0693971 -0.00815749 0.0775546 0.0869086 0.00935399 0.000645992 9.62677 9.39405 0.232724 1.25926
0.011 0.00259877 0.00840125 0.00259875 0.00180125 929.7 939.385 83.8708 74.1852 909.27 914.12 905.846 0.0353081 0.0243314 -0.00515016 10.5968 10.3324 0.264425 0.077642 -0.010501 0.0881431 0.0984101 0.0102671 0.000732934 10.5968 10.3324 0.264425 1.34113
0.012 0.00285283 0.00914718 0.00285282 0.00194718 928.883 939.243 86.5101 76.1506 906.58 911.701 902.917 0.0384268 0.0265416 -0.00557953 11.5675 11.2704 0.297158 0.0859635 -0.0131175 0.099081 0.110263 0.011182 0.000818027 11.5675 11.2704 0.297158 1.42118
0.013 0.00310801 0.009892 0.003108 0.002092 928.078 939.1 88.9972 77.9746 903.9 909.283 900.001 0.041532 0.0287514 -0.00600514 12.539 12.2081 0.330853 0.0942624 -0.0159767 0.110239 0.122328 0.0120886 0.00091135 12.539 12.2081 0.330853 1.49843
0.014 0.00336475 0.0106353 0.00336475 0.00223525 927.283 938.958 91.3949 79.7205 901.228 906.868 897.098 0.044624 0.0309607 -0.00642609 13.5111 13.1456 0.365457 0.102779 -0.0190651 0.121844 0.134837 0.0129927 0.00100727 13.5111 13.1456 0.365457 1.57389
0.015 0.00362347 0.0113765 0.00362347 0.00237654 926.5 938.815 93.6664 81.3519 898.566 904.457 894.207 0.0477033 0.0331696 -0.00684153 14.4838 14.0829 0.400928 0.11125 -0.0223698 0.13362 0.147519 0.0138989 0.00110105 14.4838 14.0829 0.400928 1.64837
0.016 0.00388387 0.0121161 0.00388387 0.00251613 925.73 938.673 95.8584 82.9151 895.915 902.049 891.327 0.05077 0.035378 -0.00725187 15.4571 15.0199 0.437244 0.119863 -0.0258877 0.145751 0.160549 0.0147978 0.0012022 15.4571 15.0199 0.437244 1.72071
0.017 0.00414569 0.0128543 0.00414569 0.00265431 924.97 938.533 97.9605 84.3976 893.272 899.645 888.459 0.0538244 0.0375859 -0.00765744 16.4309 15.9566 0.474353 0.128517 -0.0295937 0.158111 0.173809 0.0156983 0.00130165 16.4309 15.9566 0.474353 1.79229
0.018 0.00440903 0.013591 0.00440903 0.00279097 924.222 938.395 99.9885 85.8158 890.64 897.246 885.602 0.056867 0.0397932 -0.00805798 17.4053 16.893 0.512241 0.137253 -0.0334857 0.170739 0.187333 0.0165941 0.00140594 17.4053 16.893 0.512241 1.86232
0.019 0.00467396 0.014326 0.00467396 0.00292604 923.486 938.259 101.948 87.1749 888.017 894.852 882.756 0.0598978 0.042 -0.00845326 18.3801 17.8292 0.550873 0.146074 -0.0375469 0.183621 0.201111 0.0174901 0.00150988 18.3801 17.8292 0.550873 1.93159
0.02 0.00493998 0.01506 0.00493998 0.00306002 922.761 938.126 103.843 88.478 885.404 892.464 879.921 0.0629171 0.0442063 -0.00884404 19.3554 18.7651 0.590228 0.15497 -0.0417671 0.196737 0.215118 0.0183814 0.00161855 19.3554 18.7651 0.590228 1.99953
0.021 0.00520754 0.0157925 0.00520753 0.00319247 922.047 937.996 105.68 89.731 882.799 890.082 877.096 0.0659253 0.046412 -0.00922947 20.3311 19.7008 0.63028 0.163949 -0.0461332 0.210082 0.229356 0.0192737 0.00172634 20.3311 19.7008 0.63028 2.06691
0.022 0.0054762 0.0165238 0.0054762 0.0033238 921.344 937.869 107.464 90.94 880.205 887.705 874.282 0.0689225 0.0486171 -0.00961019 21.3073 20.6363 0.671013 0.173035 -0.0506363 0.223671 0.243833 0.0201618 0.00183819 21.3073 20.6363 0.671013 2.1332
0.023 0.00574616 0.0172538 0.00574616 0.00345384 920.652 937.744 109.196 92.1042 877.619 885.334 871.477 0.0719091 0.0508216 -0.00998578 22.2839 21.5715 0.712405 0.182192 -0.0552644 0.237456 0.258505 0.0210489 0.00195108 22.2839 21.5715 0.712405 2.19881
0.024 0.00601712 0.0179829 0.00601712 0.00358288 919.971 937.624 110.883 93.231 875.043 882.97 868.683 0.0748851 0.0530255 -0.0103567 23.2608 22.5064 0.754436 0.19147 -0.0600035 0.251474 0.273408 0.0219345 0.00206552 23.2608 22.5064 0.754436 2.26374
0.025 0.00628933 0.0187107 0.00628933 0.00371067 919.301 937.506 112.526 94.321 872.475 880.612 865.898 0.0778508 0.0552288 -0.0107224 24.2382 23.4411 0.797097 0.200842 -0.0648492 0.265691 0.288509 0.0228175 0.00218248 24.2382 23.4411 0.797097 2.32792
0.026 0.00656252 0.0194375 0.00656252 0.00383748 918.641 937.392 114.128 95.3773 869.916 878.26 863.123 0.0808065 0.0574315 -0.0110832 25.216 24.3756 0.840365 0.210328 -0.0697858 0.280113 0.303813 0.0236994 0.00230057 25.216 24.3756 0.840365 2.39155
0.027 0.00683667 0.0201633 0.00683667 0.00396333 917.992 937.281 115.692 96.4023 867.366 875.915 860.357 0.0837524 0.0596336 -0.0114393 26.1941 25.3099 0.884228 0.219932 -0.0748048 0.294737 0.319316 0.0245791 0.0024209 26.1941 25.3099 0.884228 2.45455
0.028 0.00711187 0.0208881 0.00711187 0.00408813 917.353 937.174 117.219 97.3976 864.825 873.575 857.599 0.0866885 0.0618351 -0.0117902 27.1726 26.2439 0.928673 0.22965 -0.0798974 0.309548 0.335005 0.0254573 0.0025427 27.1726 26.2439 0.928673 2.51702
0.029 0.00738795 0.0216121 0.00738795 0.00421205 916.724 937.071 118.713 98.3658 862.292 871.243 854.851 0.0896153 0.0640359 -0.0121363 28.1514 27.1777 0.973686 0.239502 -0.085052 0.324554 0.350888 0.0263339 0.00266608 28.1514 27.1777 0.973686 2.57901
0.03 0.00766491 0.0223351 0.00766491 0.00433509 916.105 936.971 120.174 99.308 859.767 868.917 852.112 0.0925327 0.0662361 -0.0124774 29.1305 28.1113 1.01926 0.249485 -0.0902605 0.339745 0.366954 0.0272085 0.00279151 29.1305 28.1113 1.01926 2.64048
0.031 0.00794342 0.0230574 0.00794271 0.0044573 915.496 936.874 121.604 100.226 857.251 866.597 849.381 0.0954411 0.0684356 -0.0128136 30.1108 29.0454 1.06537 0.259605 -0.0955088 0.355114 0.383195 0.0280812 0.00291827 30.1108 29.0454 1.06537 2.70142
0.032 0.00822198 0.0237788 0.00822134 0.00457867 914.897 936.781 123.005 101.121 854.743 864.284 846.658 0.0983406 0.0706346 -0.0131449 31.0905 29.9785 1.11202 0.269869 -0.100796 0.370664 0.399617 0.0289528 0.00304669 31.0906 29.9785 1.11202 2.76207
0.033 0.00850134 0.0244993 0.00850076 0.00469925 914.308 936.692 124.379 101.995 852.242 861.977 843.944 0.101231 0.0728329 -0.0134713 32.0706 30.9114 1.15919 0.28028 -0.106109 0.386389 0.416212 0.0298226 0.00317692 32.0706 30.9115 1.15919 2.82231
0.034 0.00878146 0.0252192 0.00878094 0.00481907 913.728 936.606 125.726 102.848 849.75 859.677 841.237 0.104113 0.0750306 -0.0137927 33.051 31.8441 1.20688 0.290844 -0.11144 0.402283 0.432974 0.0306909 0.00330871 33.0511 31.8442 1.20688 2.88217
0.035 0.00906229 0.0259383 0.00906182 0.00493819 913.157 936.524 127.048 103.682 847.265 857.383 838.539 0.106987 0.0772276 -0.0141092 34.0317 32.7767 1.25507 0.301568 -0.116778 0.418347 0.449904 0.0315576 0.00344202 34.0318 32.7767 1.25507 2.94169
0.036 0.00934381 0.0266567 0.00934338 0.00505663 912.596 936.445 128.346 104.497 844.788 855.096 835.848 0.109853 0.079424 -0.0144208 35.0128 33.709 1.30375 0.312459 -0.122116 0.434575 0.466998 0.0324227 0.00357698 35.0128 33.7091 1.30375 3.00087
0.037 0.009626 0.0273745 0.00962561 0.00517439 912.044 936.37 129.621 105.295 842.318 852.815 833.165 0.11271 0.0816199 -0.0147274 35.9942 34.6412 1.35292 0.323518 -0.127447 0.450965 0.484251 0.0332862 0.0037135 35.9942 34.6413 1.35292 3.05975
0.038 0.00990882 0.0280916 0.00990847 0.00529153 911.502 936.299 130.874 106.077 839.855 850.54 830.489 0.11556 0.0838151 -0.0150292 36.9758 35.5732 1.40257 0.334754 -0.13276 0.467514 0.501662 0.0341482 0.00385152 36.9758 35.5733 1.40257 3.11833
0.039 0.0101923 0.0288081 0.0101919 0.00540808 910.968 936.23 132.106 106.843 837.4 848.272 827.821 0.118401 0.0860097 -0.0153261 37.9578 36.5051 1.45269 0.346173 -0.138048 0.484221 0.519229 0.0350086 0.00399112 37.9578 36.5051 1.45269 3.17663
0.04 0.0104763 0.0295241 0.010476 0.00552404 910.443 936.166 133.318 107.595 834.952 846.01 825.16 0.121235 0.0882037 -0.0156182 38.94 37.4368 1.50327 0.357777 -0.143304 0.501081 0.536949 0.0358675 0.00413228 38.9401 37.4368 1.50327 3.23466
0.041 0.0107608 0.0302395 0.0107606 0.00563945 909.927 936.104 134.509 108.332 832.512 843.754 822.506 0.124062 0.0903971 -0.0159054 39.9226 38.3683 1.55431 0.369574 -0.148519 0.518093 0.554818 0.0367249 0.00427493 39.9226 38.3683 1.55431 3.29245
0.042 0.0110459 0.0309544 0.0110457 0.00575433 909.42 936.046 135.682 109.056 830.078 841.504 819.858 0.126881 0.0925899 -0.0161877 40.9054 39.2997 1.60579 0.381569 -0.153685 0.535254 0.572835 0.0375807 0.00441908 40.9055 39.2997 1.60579 3.35001
0.043 0.0113315 0.0316688 0.0113313 0.00586872 908.921 935.992 136.837 109.766 827.651 839.261 817.218 0.129693 0.0947822 -0.0164652 41.8886 40.2309 1.65772 0.393767 -0.158796 0.552563 0.590998 0.0384351 0.00456475 41.8886 40.2309 1.65772 3.40735
0.044 0.0116176 0.0323826 0.0116174 0.00598262 908.431 935.94 137.975 110.465 825.23 837.023 814.584 0.132498 0.096974 -0.0167379 42.872 41.1619 1.71008 0.406173 -0.163843 0.570016 0.609304 0.0392879 0.00471193 42.872 41.162 1.71008 3.46447
0.045 0.0119041 0.0330961 0.0119039 0.00609605 907.949 935.893 139.095 111.151 822.817 834.792 811.957 0.135296 0.0991651 -0.0170058 43.8557 42.0929 1.76287 0.418793 -0.168818 0.587612 0.627751 0.0401393 0.00486058 43.8558 42.0929 1.76287 3.5214
0.046 0.0121911 0.0338091 0.0121909 0.00620906 907.475 935.848 140.199 111.826 820.41 832.567 809.336 0.138087 0.101356 -0.017269 44.8397 43.0237 1.81608 0.431633 -0.173715 0.605348 0.646337 0.0409891 0.00501072 44.8398 43.0237 1.81608 3.57814
0.047 0.0124785 0.0345217 0.0124784 0.00632164 907.01 935.806 141.288 112.491 818.009 830.348 806.722 0.140872 0.103546 -0.0175274 45.824 43.9543 1.86971 0.444697 -0.178526 0.623224 0.665061 0.0418375 0.00516234 45.824 43.9543 1.86971 3.63471
0.048 0.0127663 0.0352338 0.0127662 0.00643383 906.552 935.768 142.361 113.145 815.615 828.135 804.113 0.143649 0.105736 -0.017781 46.8086 44.8848 1.92374 0.457991 -0.183244 0.641236 0.68392 0.0426845 0.00531543 46.8086 44.8849 1.92374 3.6911
0.049 0.0130545 0.0359457 0.0130544 0.00654563 906.103 935.733 143.419 113.789 813.227 825.927 801.511 0.146421 0.107925 -0.01803 47.7934 45.8152 1.97818 0.471521 -0.187861 0.659383 0.702913 0.0435299 0.00546999 47.7934 45.8153 1.97818 3.74735
0.05 0.0133431 0.0366571 0.0133429 0.00665707 905.662 935.702 144.463 114.424 810.845 823.726 798.915 0.149186 0.110113 -0.0182742 48.7786 46.7455 2.03302 0.485292 -0.192371 0.677663 0.722037 0.0443739 0.005626 48.7786 46.7455 2.03302 3.80344
0.051 0.0136319 0.0373682 0.0136318 0.00676817 905.229 935.673 145.493 115.049 808.47 821.53 796.324 0.151944 0.112301 -0.0185138 49.764 47.6757 2.08826 0.499309 -0.196766 0.696074 0.741291 0.0452164 0.00578347 49.764 47.6757 2.08826 3.85939
0.052 0.0139212 0.038079 0.0139211 0.00687894 904.803 935.648 146.51 115.666 806.1 819.34 793.74 0.154697 0.114489 -0.0187488 50.7496 48.6058 2.14388 0.513577 -0.201038 0.714616 0.760673 0.0460575 0.00594239 50.7497 48.6058 2.14388 3.91522
0.053 0.0142107 0.0387894 0.0142106 0.0069894 904.385 935.626 147.514 116.274 803.737 817.156 791.161 0.157443 0.116676 -0.0189792 51.7356 49.5357 2.19989 0.528103 -0.205182 0.733285 0.780182 0.0468972 0.00610277 51.7356 49.5357 2.19989 3.97091
0.054 0.0145005 0.0394996 0.0145004 0.00709957 903.975 935.606 148.505 116.873 801.379 814.977 788.588 0.160184 0.118863 -0.019205 52.7218 50.4656 2.25628 0.542892 -0.209189 0.752081 0.799816 0.0477354 0.00626458 52.7218 50.4656 2.25628 4.0265
0.055 0.0147906 0.0402095 0.0147906 0.00720945 903.572 935.59 149.484 117.465 799.027 812.804 786.02 0.162918 0.12105 -0.0194262 53.7083 51.3953 2.31304 0.557948 -0.213054 0.771002 0.819574 0.0485721 0.00642783 53.7084 51.3953 2.31304 4.08197
0.056 0.015081 0.0409191 0.0150809 0.00731907 903.177 935.578 150.45 118.05 796.681 810.637 783.457 0.165647 0.123236 -0.019643 54.6951 52.325 2.37018 0.573278 -0.216768 0.790046 0.839453 0.0494074 0.00659253 54.6952 52.325 2.37018 4.13734
0.057 0.0153716 0.0416284 0.0153716 0.00742843 902.789 935.568 151.406 118.627 794.34 808.475 780.9 0.16837 0.125421 -0.0198552 55.6822 53.2545 2.42768 0.588887 -0.220325 0.809212 0.859454 0.0502413 0.00675865 55.6822 53.2545 2.42768 4.19261
0.058 0.0156625 0.0423376 0.0156624 0.00753756 902.409 935.561 152.349 119.197 792.005 806.319 778.348 0.171088 0.127607 -0.020063 56.6696 54.184 2.48554 0.604781 -0.223718 0.828499 0.879573 0.0510737 0.00692621 56.6696 54.184 2.48554 4.24779
0.059 0.0159536 0.0430465 0.0159535 0.00764646 902.035 935.557 153.282 119.76 789.676 804.168 775.801 0.1738 0.129792 -0.0202664 57.6572 55.1134 2.54376 0.620965 -0.226941 0.847905 0.89981 0.0519048 0.0070952 57.6572 55.1134 2.54376 4.30289
0.06 0.0162449 0.0437552 0.0162449 0.00775514 901.669 935.557 154.204 120.317 787.352 802.022 773.26 0.176507 0.131976 -0.0204654 58.6451 56.0427 2.60233 0.637444 -0.229985 0.867429 0.920164 0.0527343 0.00726561 58.6451 56.0428 2.60233 4.35791
0.061 0.0165364 0.0444636 0.0165364 0.00786363 901.31 935.559 155.116 120.867 785.033 799.882 770.723 0.179209 0.134161 -0.02066 59.6332 56.972 2.66125 0.654226 -0.232844 0.88707 0.940632 0.0535625 0.00743746 59.6333 56.972 2.66125 4.41286
0.062 0.0168281 0.0451719 0.0168281 0.00797192 900.958 935.564 156.017 121.411 782.72 797.747 768.191 0.181905 0.136345 -0.0208504 60.6217 57.9012 2.72052 0.671314 -0.235511 0.906825 0.961215 0.0543892 0.00761072 60.6217 57.9012 2.72052 4.46774
0.063 0.01712 0.04588 0.01712 0.00808003 900.613 935.573 156.908 121.949 780.411 795.618 765.664 0.184597 0.138529 -0.0210365 61.6104 58.8303 2.78013 0.688715 -0.23798 0.926695 0.98191 0.0552146 0.00778541 61.6104 58.8303 2.78013 4.52256
0.064 0.0174121 0.046588 0.017412 0.00818797 900.275 935.584 157.79 122.481 778.108 793.494 763.141 0.187283 0.140712 -0.0212183 62.5994 59.7594 2.84008 0.706435 -0.240243 0.946678 1.00272 0.0560385 0.00796152 62.5995 59.7594 2.84008 4.57732
0.065 0.0177043 0.0472958 0.0177043 0.00829575 899.944 935.599 158.662 123.007 775.81 791.374 760.624 0.189964 0.142895 -0.0213959 63.5887 60.6884 2.90036 0.724479 -0.242294 0.966773 1.02363 0.0568609 0.00813904 63.5887 60.6884 2.90036 4.63203
0.066 0.0179967 0.0480034 0.0179966 0.00840338 899.619 935.616 159.525 123.528 773.518 789.261 758.11 0.192641 0.145078 -0.0215694 64.5783 61.6173 2.96098 0.742853 -0.244124 0.986978 1.04466 0.057682 0.00831799 64.5783 61.6173 2.96098 4.68668
0.067 0.0182892 0.0487109 0.0182891 0.00851086 899.302 935.636 160.379 124.044 771.23 787.152 755.602 0.195312 0.147261 -0.0217388 65.5682 62.5462 3.02192 0.761564 -0.245728 1.00729 1.06579 0.0585016 0.00849836 65.5682 62.5462 3.02192 4.7413
0.068 0.0185818 0.0494182 0.0185818 0.00861822 898.99 935.66 161.224 124.555 768.947 785.048 753.098 0.197979 0.149444 -0.021904 66.5583 63.4751 3.08319 0.780616 -0.247099 1.02772 1.08703 0.0593198 0.00868014 66.5583 63.4751 3.08319 4.79587
0.069 0.0188746 0.0501254 0.0188746 0.00872544 898.686 935.686 162.061 125.061 766.669 782.95 750.598 0.200642 0.151626 -0.0220653 67.5487 64.4039 3.14478 0.800016 -0.248229 1.04825 1.10838 0.0601366 0.00886334 67.5487 64.4039 3.14478 4.85041
0.07 0.0191675 0.0508326 0.0191674 0.00883256 898.388 935.716 162.889 125.561 764.395 780.856 748.102 0.203299 0.153808 -0.0222225 68.5394 65.3327 3.20669 0.81977 -0.249112 1.06888 1.12983 0.060952 0.00904796 68.5394 65.3327 3.20669 4.90492
0.071 0.0194605 0.0515396 0.0194604 0.00893955 898.097 935.748 163.709 126.057 762.127 778.768 745.611 0.205952 0.155991 -0.0223758 69.5304 66.2615 3.26892 0.839884 -0.24974 1.08962 1.15139 0.061766 0.00923399 69.5304 66.2615 3.26892 4.9594
0.072 0.0197536 0.0522465 0.0197535 0.00904645 897.812 935.783 164.521 126.549 759.863 776.684 743.123 0.208601 0.158173 -0.0225251 70.5217 67.1902 3.33146 0.860364 -0.250106 1.11047 1.17305 0.0625785 0.00942144 70.5217 67.1902 3.33146 5.01385
0.073 0.0200468 0.0529533 0.0200468 0.00915325 897.533 935.822 165.325 127.036 757.604 774.605 740.64 0.211246 0.160354 -0.0226706 71.5132 68.1189 3.39431 0.881216 -0.250204 1.13142 1.19481 0.0633897 0.0096103 71.5132 68.1189 3.39431 5.06829
0.074 0.0203401 0.05366 0.02034 0.00925996 897.261 935.863 166.121 127.519 755.349 772.531 738.161 0.213886 0.162536 -0.0228123 72.5051 69.0476 3.45746 0.902446 -0.250026 1.15247 1.21667 0.0641994 0.00980059 72.5051 69.0476 3.45746 5.1227
0.075 0.0206334 0.0543666 0.0206334 0.00936658 896.995 935.908 166.91 127.997 753.1 770.462 735.686 0.216522 0.164718 -0.0229501 73.4972 69.9763 3.52092 0.924061 -0.249564 1.17363 1.23863 0.0650077 0.00999228 73.4972 69.9763 3.52092 5.17711
0.076 0.0209269 0.0550731 0.0209269 0.00947313 896.735 935.955 167.691 128.471 750.854 768.398 733.215 0.219154 0.166899 -0.0230842 74.4896 70.905 3.58469 0.946066 -0.248813 1.19488 1.26069 0.0658146 0.0101854 74.4896 70.905 3.58469 5.2315
0.077 0.0212204 0.0557796 0.0212204 0.00957959 896.481 936.005 168.466 128.941 748.613 766.339 730.748 0.221781 0.169081 -0.0232147 75.4824 71.8336 3.64875 0.968469 -0.247765 1.21623 1.28285 0.0666201 0.0103799 75.4824 71.8336 3.64875 5.28588
0.078 0.021514 0.056486 0.021514 0.00968599 896.233 936.059 169.233 129.408 746.377 764.284 728.284 0.224405 0.171262 -0.0233414 76.4754 72.7623 3.71311 0.991275 -0.246412 1.23769 1.30511 0.0674241 0.0105759 76.4754 72.7623 3.71311 5.34027
0.079 0.0218077 0.0571923 0.0218077 0.00979233 895.992 936.115 169.993 129.87 744.145 762.235 725.824 0.227024 0.173444 -0.0234646 77.4687 73.6909 3.77776 1.01449 -0.244747 1.25924 1.32746 0.0682267 0.0107732 77.4687 73.6909 3.77776 5.39465
0.08 0.0221014 0.0578986 0.0221014 0.0098986 895.757 936.175 170.747 130.329 741.917 760.19 723.368 0.22964 0.175625 -0.0235842 78.4623 74.6196 3.84271 1.03812 -0.242763 1.28089 1.34991 0.069028 0.010972 78.4623 74.6196 3.84271 5.44903
0.081 0.0223952 0.0586048 0.0223952 0.0100048 895.527 936.237 171.493 130.783 739.694 758.149 720.916 0.232252 0.177807 -0.0237002 79.4562 75.5482 3.90795 1.06218 -0.240453 1.30263 1.37246 0.0698277 0.0111722 79.4562 75.5483 3.90795 5.50341
0.082 0.022689 0.059311 0.022689 0.010111 895.304 936.303 172.234 131.235 737.475 756.113 718.467 0.23486 0.179988 -0.0238128 80.4504 76.4769 3.97347 1.08666 -0.23781 1.32447 1.3951 0.0706261 0.0113739 80.4504 76.4769 3.97347 5.55781
0.083 0.0229829 0.0600171 0.0229829 0.0102171 895.086 936.371 172.968 131.683 735.26 754.082 716.021 0.237464 0.18217 -0.0239219 81.4449 77.4056 4.03928 1.11158 -0.234825 1.34641 1.41783 0.0714231 0.0115769 81.4449 77.4056 4.03928 5.61221
0.084 0.0232768 0.0607232 0.0232768 0.0103232 894.874 936.443 173.695 132.127 733.049 752.056 713.579 0.240065 0.184351 -0.0240277 82.4397 78.3343 4.10537 1.13695 -0.231491 1.36844 1.44066 0.0722186 0.0117814 82.4397 78.3343 4.10537 5.66663
0.085 0.0235708 0.0614292 0.0235708 0.0104292 894.668 936.517 174.417 132.568 730.843 750.034 711.141 0.242661 0.186533 -0.0241301 83.4348 79.2631 4.17174 1.16276 -0.227802 1.39056 1.46358 0.0730127 0.0119873 83.4348 79.2631 4.17174 5.72106
0.086 0.0238648 0.0621352 0.0238648 0.0105352 894.468 936.595 175.133 133.005 728.64 748.016 708.706 0.245255 0.188715 -0.0242291 84.4302 80.1918 4.23839 1.18903 -0.223749 1.41278 1.48659 0.0738054 0.0121946 84.4302 80.1918 4.23839 5.7755
0.087 0.0241589 0.0628411 0.0241589 0.0106411 894.273 936.676 175.842 133.44 726.442 746.004 706.274 0.247844 0.190896 -0.024325 85.426 81.1206 4.30532 1.21576 -0.219325 1.43509 1.50969 0.0745966 0.0124034 85.426 81.1206 4.30532 5.82997
0.088 0.024453 0.063547 0.024453 0.010747 894.085 936.76 176.546 133.871 724.248 743.995 703.846 0.25043 0.193078 -0.0244176 86.422 82.0495 4.37253 1.24297 -0.214522 1.45749 1.53288 0.0753865 0.0126135 86.422 82.0495 4.37253 5.88446
0.089 0.0247471 0.0642529 0.0247471 0.0108529 893.901 936.847 177.244 134.299 722.058 741.992 701.421 0.253013 0.19526 -0.024507 87.4184 82.9783 4.44 1.27065 -0.209333 1.47998 1.55616 0.0761748 0.0128251 87.4184 82.9783 4.44 5.93898
0.09 0.0250413 0.0649587 0.0250413 0.0109587 893.724 936.937 177.937 134.724 719.872 739.992 698.999 0.255592 0.197442 -0.0245934 88.415 83.9073 4.50775 1.29882 -0.20375 1.50257 1.57953 0.0769618 0.0130382 88.415 83.9073 4.50775 5.99352
0.091 0.0253355 0.0656645 0.0253355 0.0110645 893.552 937.031 178.624 135.146 717.69 737.997 696.58 0.258168 0.199625 -0.0246766 89.412 84.8362 4.57577 1.32747 -0.197765 1.52524 1.60299 0.0777473 0.0132526 89.412 84.8362 4.57577 6.04809
0.092 0.0256297 0.0663703 0.0256297 0.0111703 893.385 937.127 179.306 135.564 715.512 736.007 694.164 0.260741 0.201807 -0.0247568 90.4093 85.7652 4.64406 1.35663 -0.19137 1.548 1.62653 0.0785314 0.0134685 90.4093 85.7652 4.64406 6.10269
0.093 0.025924 0.067076 0.025924 0.011276 893.224 937.227 179.983 135.98 713.338 734.021 691.752 0.26331 0.203989 -0.024834 91.4069 86.6943 4.71261 1.38629 -0.184558 1.57085 1.65016 0.0793141 0.0136859 91.4069 86.6943 4.71261 6.15733
0.094 0.0262183 0.0677817 0.0262183 0.0113817 893.069 937.33 180.654 136.393 711.168 732.04 689.343 0.265876 0.206172 -0.0249083 92.4048 87.6234 4.78142 1.41647 -0.17732 1.59379 1.67388 0.0800953 0.0139047 92.4048 87.6234 4.78142 6.212
0.095 0.0265126 0.0684874 0.0265126 0.0114874 892.919 937.436 181.321 136.804 709.001 730.063 686.936 0.268439 0.208355 -0.0249797 93.4031 88.5526 4.8505 1.44717 -0.169648 1.61681 1.69769 0.0808751 0.0141249 93.4031 88.5526 4.8505 6.26671
0.096 0.026807 0.069193 0.026807 0.011593 892.774 937.545 181.982 137.211 706.839 728.09 684.533 0.270998 0.210538 -0.0250482 94.4017 89.4818 4.91984 1.47839 -0.161535 1.63993 1.72158 0.0816535 0.0143465 94.4017 89.4818 4.91984 6.32145
0.097 0.0271014 0.0698987 0.0271013 0.0116987 892.635 937.657 182.638 137.616 704.681 726.121 682.132 0.273555 0.212721 -0.0251139 95.4006 90.4112 4.98944 1.51015 -0.152972 1.66313 1.74556 0.0824304 0.0145696 95.4006 90.4112 4.98944 6.37624
0.098 0.0273958 0.0706042 0.0273958 0.0118042 892.501 937.773 183.29 138.018 702.526 724.158 679.735 0.276108 0.214904 -0.0251768 96.3998 91.3406 5.0593 1.54246 -0.143951 1.68641 1.76962 0.0832059 0.0147941 96.3998 91.3406 5.0593 6.43107
