dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.0100014 0.0199986 0 1.40205e-06 0 306.056 304.198 505.786 320.388 327.24 327.24 6.85162 974.868 319.354 325.171 327.24 9.60857 9.60857 7.22453e-06 0.140106 0.140104 2.3818e-06
0.0100795 0.0100809 0.0201576 0 1.42331e-06 0 306.009 304.137 505.767 320.421 327.307 327.307 6.88588 975.034 319.378 325.222 327.307 9.68608 9.68608 7.37054e-06 0.141772 0.141769 2.4302e-06
0.010159 0.0101605 0.0203166 0 1.44472e-06 0 305.962 304.076 505.749 320.453 327.373 327.373 6.92004 975.199 319.402 325.271 327.373 9.76361 9.7636 7.51833e-06 0.143441 0.143438 2.4792e-06
0.0102385 0.01024 0.0204755 0 1.46628e-06 0 305.916 304.015 505.731 320.485 327.439 327.439 6.95411 975.363 319.426 325.321 327.439 9.84114 9.84113 7.6679e-06 0.145115 0.145113 2.52878e-06
0.010318 0.0103195 0.0206345 0 1.48799e-06 0 305.869 303.953 505.712 320.517 327.505 327.505 6.98808 975.526 319.449 325.371 327.505 9.91869 9.91868 7.81925e-06 0.146796 0.146793 2.57896e-06
0.0103975 0.010399 0.0207935 0 1.50985e-06 0 305.822 303.892 505.694 320.548 327.57 327.57 7.02196 975.689 319.473 325.42 327.57 9.99625 9.99624 7.97239e-06 0.148482 0.148479 2.62974e-06
0.010477 0.0104785 0.0209525 0 1.53187e-06 0 305.776 303.831 505.676 320.58 327.636 327.636 7.05574 975.851 319.496 325.468 327.636 10.0738 10.0738 8.12733e-06 0.150174 0.150171 2.68111e-06
0.0105565 0.0105581 0.0211114 0 1.55403e-06 0 305.729 303.77 505.658 320.611 327.701 327.701 7.08942 976.013 319.519 325.517 327.701 10.1514 10.1514 8.28408e-06 0.151872 0.151869 2.73309e-06
0.010636 0.0106376 0.0212704 0 1.57634e-06 0 305.682 303.709 505.639 320.642 327.765 327.765 7.12302 976.173 319.542 325.565 327.765 10.229 10.229 8.44264e-06 0.153575 0.153572 2.78567e-06
0.0107155 0.0107171 0.0214294 0 1.59881e-06 0 305.635 303.648 505.621 320.673 327.83 327.83 7.15652 976.334 319.565 325.613 327.83 10.3066 10.3066 8.60303e-06 0.155284 0.155281 2.83886e-06
0.010795 0.0107966 0.0215884 0 1.62142e-06 0 305.589 303.586 505.603 320.704 327.894 327.894 7.18993 976.493 319.588 325.661 327.894 10.3842 10.3842 8.76524e-06 0.156998 0.156995 2.89265e-06
0.0108745 0.0108761 0.0217474 0 1.64418e-06 0 305.542 303.525 505.584 320.735 327.958 327.958 7.22326 976.652 319.61 325.709 327.958 10.4619 10.4619 8.92929e-06 0.158718 0.158715 2.94706e-06
0.010954 0.0109557 0.0219063 0 1.6671e-06 0 305.495 303.464 505.566 320.766 328.022 328.022 7.25649 976.81 319.632 325.756 328.022 10.5395 10.5395 9.09519e-06 0.160444 0.160441 3.00209e-06
0.0110335 0.0110352 0.0220653 0 1.69016e-06 0 305.448 303.403 505.548 320.796 328.086 328.086 7.28964 976.967 319.655 325.803 328.086 10.6172 10.6172 9.26294e-06 0.162174 0.162171 3.05773e-06
0.011113 0.0111147 0.0222243 0 1.71338e-06 0 305.402 303.342 505.53 320.826 328.149 328.149 7.3227 977.124 319.677 325.85 328.149 10.6949 10.6949 9.43254e-06 0.163911 0.163908 3.11399e-06
0.0111925 0.0111942 0.0223833 0 1.73674e-06 0 305.355 303.281 505.511 320.856 328.212 328.212 7.35567 977.28 319.698 325.897 328.212 10.7726 10.7725 9.60402e-06 0.165653 0.165649 3.17087e-06
0.011272 0.0112738 0.0225422 0 1.76025e-06 0 305.308 303.22 505.493 320.886 328.275 328.275 7.38856 977.436 319.72 325.943 328.275 10.8503 10.8502 9.77737e-06 0.1674 0.167397 3.22837e-06
0.0113515 0.0113533 0.0227012 0 1.78392e-06 0 305.262 303.159 505.475 320.916 328.337 328.337 7.42136 977.591 319.742 325.989 328.337 10.928 10.928 9.9526e-06 0.169152 0.169149 3.2865e-06
