dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.010001 0.019999 0 1.01823e-06 0 306.056 304.198 505.786 319.698 325.861 325.861 6.16273 971.421 319.354 325.172 325.861 9.59134 9.59133 4.72224e-06 0.122869 0.122867 1.55283e-06
0.0100795 0.0100805 0.020158 0 1.03266e-06 0 306.009 304.137 505.767 319.725 325.917 325.917 6.19152 971.559 319.378 325.222 325.917 9.66857 9.66857 4.81141e-06 0.124259 0.124257 1.58236e-06
0.010159 0.0101601 0.020317 0 1.04719e-06 0 305.963 304.076 505.749 319.752 325.972 325.972 6.22022 971.696 319.402 325.272 325.972 9.74581 9.74581 4.90154e-06 0.125651 0.125649 1.61219e-06
0.0102385 0.0102396 0.0204759 0 1.0618e-06 0 305.916 304.014 505.731 319.778 326.027 326.027 6.24881 971.833 319.425 325.321 326.027 9.82307 9.82306 4.99261e-06 0.127046 0.127044 1.64235e-06
0.010318 0.0103191 0.0206349 0 1.07649e-06 0 305.869 303.953 505.712 319.805 326.082 326.082 6.27731 971.969 319.449 325.371 326.082 9.90034 9.90033 5.08463e-06 0.128445 0.128443 1.67282e-06
0.0103975 0.0103986 0.0207939 0 1.09126e-06 0 305.822 303.892 505.694 319.831 326.137 326.137 6.30571 972.105 319.473 325.42 326.137 9.97761 9.97761 5.1776e-06 0.129847 0.129845 1.7036e-06
0.010477 0.0104781 0.0209529 0 1.10613e-06 0 305.776 303.831 505.676 319.857 326.191 326.191 6.33402 972.239 319.496 325.469 326.191 10.0549 10.0549 5.27152e-06 0.131253 0.131251 1.73471e-06
0.0105565 0.0105576 0.0211119 0 1.12107e-06 0 305.729 303.77 505.658 319.883 326.245 326.245 6.36224 972.373 319.519 325.517 326.245 10.1322 10.1322 5.3664e-06 0.132662 0.132661 1.76613e-06
0.010636 0.0106371 0.0212709 0 1.1361e-06 0 305.682 303.709 505.639 319.909 326.299 326.299 6.39036 972.507 319.542 325.566 326.299 10.2095 10.2095 5.46223e-06 0.134075 0.134073 1.79786e-06
0.0107155 0.0107167 0.0214299 0 1.15121e-06 0 305.635 303.648 505.621 319.934 326.353 326.353 6.41839 972.639 319.565 325.614 326.353 10.2868 10.2868 5.55902e-06 0.135491 0.13549 1.82992e-06
0.010795 0.0107962 0.0215888 0 1.16641e-06 0 305.589 303.586 505.603 319.96 326.406 326.406 6.44633 972.771 319.587 325.662 326.406 10.3642 10.3642 5.65677e-06 0.136911 0.136909 1.8623e-06
0.0108745 0.0108757 0.0217478 0 1.18169e-06 0 305.542 303.525 505.584 319.985 326.459 326.459 6.47418 972.903 319.61 325.709 326.459 10.4415 10.4415 5.75548e-06 0.138334 0.138332 1.895e-06
0.010954 0.0109552 0.0219068 0 1.19705e-06 0 305.495 303.464 505.566 320.01 326.512 326.512 6.50195 973.033 319.632 325.756 326.512 10.5188 10.5188 5.85516e-06 0.13976 0.139758 1.92802e-06
0.0110335 0.0110347 0.0220658 0 1.2125e-06 0 305.449 303.403 505.548 320.035 326.564 326.564 6.52962 973.163 319.654 325.804 326.564 10.5962 10.5962 5.95581e-06 0.14119 0.141188 1.96136e-06
0.011113 0.0111142 0.0222248 0 1.22803e-06 0 305.402 303.342 505.53 320.059 326.617 326.617 6.55721 973.293 319.676 325.85 326.617 10.6736 10.6736 6.05742e-06 0.142623 0.142621 1.99503e-06
0.0111925 0.0111937 0.0223838 0 1.24364e-06 0 305.355 303.281 505.511 320.084 326.669 326.669 6.58471 973.422 319.698 325.897 326.669 10.751 10.751 6.16001e-06 0.144059 0.144057 2.02901e-06
0.011272 0.0112733 0.0225427 0 1.25934e-06 0 305.308 303.22 505.493 320.108 326.721 326.721 6.61213 973.55 319.72 325.943 326.721 10.8284 10.8283 6.26356e-06 0.145498 0.145496 2.06333e-06
0.0113515 0.0113528 0.0227017 0 1.27511e-06 0 305.262 303.158 505.475 320.133 326.772 326.772 6.63946 973.677 319.741 325.99 326.772 10.9058 10.9058 6.3681e-06 0.146941 0.146939 2.09796e-06
0.011431 0.0114323 0.0228607 0 1.29097e-06 0 305.215 303.097 505.457 320.157 326.824 326.824 6.66672 973.804 319.763 326.035 326.824 10.9832 10.9832 6.47361e-06 0.148387 0.148385 2.13293e-06
0.0115105 0.0115118 0.0230197 0 1.30691e-06 0 305.168 303.036 505.438 320.181 326.875 326.875 6.69388 973.93 319.784 326.081 326.875 11.0606 11.0606 6.5801e-06 0.149835 0.149833 2.16822e-06
0.01159 0.0115913 0.0231787 0 1.32294e-06 0 305.121 302.975 505.42 320.205 326.926 326.926 6.72097 974.056 319.805 326.127 326.926 11.138 11.138 6.68757e-06 0.151287 0.151285 2.20383e-06
0.0116695 0.0116708 0.0233377 0 1.33904e-06 0 305.075 302.914 505.402 320.228 326.976 326.976 6.74798 974.181 319.826 326.172 326.976 11.2155 11.2155 6.79603e-06 0.152742 0.15274 2.23978e-06
0.011749 0.0117504 0.0234966 0 1.35523e-06 0 305.028 302.853 505.384 320.252 327.027 327.027 6.7749 974.306 319.847 326.217 327.027 11.2929 11.2929 6.90548e-06 0.1542 0.154198 2.27605e-06
0.0118285 0.0118299 0.0236556 0 1.37149e-06 0 304.981 302.792 505.365 320.275 327.077 327.077 6.80175 974.43 319.868 326.262 327.077 11.3704 11.3704 7.01591e-06 0.155661 0.155659 2.31265e-06
0.011908 0.0119094 0.0238146 0 1.38784e-06 0 304.935 302.731 505.347 320.299 327.127 327.127 6.82852 974.553 319.888 326.306 327.127 11.4479 11.4478 7.12733e-06 0.157125 0.157123 2.34958e-06
0.0119875 0.0119889 0.0239736 0 1.40427e-06 0 304.888 302.67 505.329 320.322 327.177 327.177 6.85521 974.676 319.908 326.35 327.177 11.5253 11.5253 7.23974e-06 0.158592 0.15859 2.38685e-06
0.012067 0.0120684 0.0241326 0 1.42078e-06 0 304.841 302.609 505.311 320.345 327.227 327.227 6.88182 974.798 319.929 326.395 327.227 11.6028 11.6028 7.35315e-06 0.160062 0.16006 2.42444e-06
0.0121465 0.0121479 0.0242916 0 1.43738e-06 0 304.794 302.547 505.293 320.368 327.276 327.276 6.90836 974.92 319.949 326.438 327.276 11.6803 11.6803 7.46756e-06 0.161535 0.161532 2.46236e-06
0.012226 0.0122275 0.0244505 0 1.45405e-06 0 304.748 302.486 505.274 320.39 327.325 327.325 6.93483 975.041 319.969 326.482 327.325 11.7578 11.7578 7.58296e-06 0.16301 0.163008 2.50062e-06
0.0123055 0.012307 0.0246095 0 1.4708e-06 0 304.701 302.425 505.256 320.413 327.374 327.374 6.96121 975.161 319.989 326.526 327.374 11.8354 11.8354 7.69936e-06 0.164489 0.164486 2.53921e-06
0.012385 0.0123865 0.0247685 0 1.48764e-06 0 304.654 302.364 505.238 320.435 327.423 327.423 6.98753 975.281 320.008 326.569 327.423 11.9129 11.9129 7.81677e-06 0.16597 0.165968 2.57814e-06
