dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.012226 0.012227 0.024451 0 9.8355e-07 0 304.748 302.486 505.274 319.547 325.639 325.639 6.09245 970.826 319.969 326.482 325.639 11.7321 11.7321 4.50974e-06 0.137244 0.137243 1.48249e-06
0.0123055 0.0123065 0.02461 0 9.93786e-07 0 304.701 302.425 505.256 319.564 325.677 325.677 6.11337 970.919 319.988 326.526 325.677 11.8093 11.8093 4.57221e-06 0.138386 0.138385 1.50317e-06
0.012385 0.012386 0.024769 0 1.00406e-06 0 304.654 302.364 505.238 319.581 325.715 325.715 6.13421 971.011 320.008 326.569 325.715 11.8864 11.8864 4.6351e-06 0.139529 0.139528 1.52399e-06
0.0124645 0.0124655 0.024928 0 1.01436e-06 0 304.608 302.303 505.22 319.598 325.753 325.753 6.15497 971.103 320.028 326.612 325.753 11.9636 11.9636 4.69841e-06 0.140673 0.140671 1.54495e-06
0.012544 0.012545 0.025087 0 1.0247e-06 0 304.561 302.242 505.201 319.615 325.79 325.79 6.17567 971.195 320.047 326.655 325.79 12.0409 12.0409 4.76215e-06 0.141817 0.141816 1.56605e-06
0.0126235 0.0126245 0.025246 0 1.03507e-06 0 304.514 302.181 505.183 319.631 325.827 325.827 6.19629 971.286 320.066 326.698 325.827 12.1181 12.1181 4.8263e-06 0.142962 0.14296 1.58729e-06
0.012703 0.012704 0.025405 0 1.04547e-06 0 304.467 302.12 505.165 319.648 325.864 325.864 6.21684 971.376 320.086 326.74 325.864 12.1953 12.1953 4.89088e-06 0.144107 0.144106 1.60867e-06
0.0127825 0.0127836 0.0255639 0 1.05591e-06 0 304.421 302.059 505.147 319.664 325.901 325.901 6.23733 971.466 320.105 326.783 325.901 12.2725 12.2725 4.95588e-06 0.145253 0.145251 1.63019e-06
0.012862 0.0128631 0.0257229 0 1.06638e-06 0 304.374 301.998 505.129 319.68 325.938 325.938 6.25774 971.556 320.124 326.825 325.938 12.3498 12.3497 5.0213e-06 0.146399 0.146398 1.65185e-06
0.0129415 0.0129426 0.0258819 0 1.07689e-06 0 304.327 301.937 505.11 319.696 325.974 325.974 6.27808 971.645 320.142 326.867 325.974 12.427 12.427 5.08714e-06 0.147546 0.147544 1.67365e-06
0.013021 0.0130221 0.0260409 0 1.08742e-06 0 304.28 301.876 505.092 319.712 326.01 326.01 6.29836 971.733 320.161 326.908 326.01 12.5042 12.5042 5.15339e-06 0.148693 0.148692 1.69559e-06
0.0131005 0.0131016 0.0261999 0 1.09799e-06 0 304.234 301.814 505.074 319.728 326.046 326.046 6.31856 971.821 320.18 326.95 326.046 12.5815 12.5815 5.22007e-06 0.149841 0.149839 1.71767e-06
0.01318 0.0131811 0.0263589 0 1.1086e-06 0 304.187 301.753 505.056 319.744 326.082 326.082 6.3387 971.908 320.198 326.991 326.082 12.6588 12.6588 5.28717e-06 0.150989 0.150987 1.73989e-06
0.0132595 0.0132606 0.0265179 0 1.11923e-06 0 304.14 301.692 505.038 319.759 326.118 326.118 6.35878 971.995 320.216 327.032 326.118 12.736 12.736 5.35469e-06 0.152137 0.152136 1.76225e-06
0.013339 0.0133401 0.0266769 0 1.1299e-06 0 304.093 301.631 505.02 319.775 326.153 326.153 6.37878 972.081 320.235 327.073 326.153 12.8133 12.8133 5.42262e-06 0.153286 0.153284 1.78475e-06
0.0134185 0.0134196 0.0268359 0 1.1406e-06 0 304.047 301.57 505.001 319.79 326.189 326.189 6.39872 972.167 320.253 327.114 326.189 12.8906 12.8906 5.49097e-06 0.154435 0.154433 1.80738e-06
0.013498 0.0134992 0.0269949 0 1.15133e-06 0 304 301.509 504.983 319.805 326.224 326.224 6.4186 972.253 320.271 327.155 326.224 12.9679 12.9679 5.55975e-06 0.155585 0.155583 1.83016e-06
0.0135775 0.0135787 0.0271538 0 1.16209e-06 0 303.953 301.448 504.965 319.82 326.259 326.259 6.43841 972.338 320.288 327.195 326.259 13.0452 13.0452 5.62893e-06 0.156734 0.156733 1.85308e-06
0.013657 0.0136582 0.0273128 0 1.17288e-06 0 303.907 301.387 504.947 319.835 326.293 326.293 6.45816 972.422 320.306 327.235 326.293 13.1225 13.1225 5.69854e-06 0.157884 0.157882 1.87614e-06
0.0137365 0.0137377 0.0274718 0 1.18371e-06 0 303.86 301.326 504.929 319.85 326.328 326.328 6.47785 972.506 320.324 327.275 326.328 13.1998 13.1998 5.76857e-06 0.159035 0.159033 1.89933e-06
0.013816 0.0138172 0.0276308 0 1.19457e-06 0 303.813 301.265 504.911 319.865 326.362 326.362 6.49747 972.59 320.341 327.315 326.362 13.2771 13.2771 5.83901e-06 0.160185 0.160183 1.92267e-06
0.0138955 0.0138967 0.0277898 0 1.20546e-06 0 303.766 301.204 504.892 319.88 326.397 326.397 6.51703 972.673 320.359 327.355 326.397 13.3544 13.3544 5.90986e-06 0.161336 0.161334 1.94614e-06
0.013975 0.0139762 0.0279488 0 1.21638e-06 0 303.72 301.143 504.874 319.894 326.431 326.431 6.53653 972.755 320.376 327.394 326.431 13.4318 13.4318 5.98114e-06 0.162486 0.162485 1.96975e-06
0.0140545 0.0140557 0.0281078 0 1.22733e-06 0 303.673 301.082 504.856 319.908 326.464 326.464 6.55597 972.837 320.393 327.434 326.464 13.5091 13.5091 6.05283e-06 0.163637 0.163635 1.9935e-06
0.014134 0.0141352 0.0282668 0 1.23831e-06 0 303.626 301.021 504.838 319.923 326.498 326.498 6.57535 972.919 320.41 327.473 326.498 13.5865 13.5864 6.12494e-06 0.164789 0.164787 2.01739e-06
0.0142135 0.0142148 0.0284258 0 1.24932e-06 0 303.579 300.96 504.82 319.937 326.532 326.532 6.59467 973 320.427 327.512 326.532 13.6638 13.6638 6.19746e-06 0.16594 0.165938 2.04142e-06
0.014293 0.0142943 0.0285847 0 1.26037e-06 0 303.533 300.899 504.802 319.951 326.565 326.565 6.61393 973.081 320.444 327.551 326.565 13.7412 13.7412 6.27039e-06 0.167091 0.167089 2.06559e-06
0.0143725 0.0143738 0.0287437 0 1.27144e-06 0 303.486 300.838 504.783 319.965 326.598 326.598 6.63313 973.161 320.461 327.589 326.598 13.8185 13.8185 6.34375e-06 0.168243 0.16824 2.08989e-06
0.014452 0.0144533 0.0289027 0 1.28255e-06 0 303.439 300.777 504.765 319.979 326.631 326.631 6.65227 973.241 320.477 327.628 326.631 13.8959 13.8959 6.41751e-06 0.169394 0.169392 2.11434e-06
0.0145315 0.0145328 0.0290617 0 1.29368e-06 0 303.392 300.716 504.747 319.993 326.664 326.664 6.67135 973.321 320.494 327.666 326.664 13.9733 13.9733 6.4917e-06 0.170546 0.170543 2.13892e-06
0.014611 0.0146123 0.0292207 0 1.30485e-06 0 303.346 300.655 504.729 320.006 326.697 326.697 6.69038 973.4 320.51 327.704 326.697 14.0506 14.0506 6.56629e-06 0.171697 0.171695 2.16364e-06
0.0146905 0.0146918 0.0293797 0 1.31604e-06 0 303.299 300.594 504.711 320.02 326.729 326.729 6.70935 973.478 320.526 327.742 326.729 14.128 14.128 6.6413e-06 0.172849 0.172846 2.1885e-06
0.01477 0.0147713 0.0295387 0 1.32727e-06 0 303.252 300.533 504.693 320.033 326.762 326.762 6.72826 973.557 320.543 327.78 326.762 14.2054 14.2054 6.71673e-06 0.174 0.173998 2.21349e-06
0.0148495 0.0148508 0.0296977 0 1.33853e-06 0 303.205 300.472 504.675 320.047 326.794 326.794 6.74712 973.634 320.559 327.818 326.794 14.2828 14.2828 6.79257e-06 0.175152 0.175149 2.23863e-06
0.014929 0.0149304 0.0298567 0 1.34981e-06 0 303.158 300.411 504.657 320.06 326.826 326.826 6.76592 973.712 320.575 327.855 326.826 14.3602 14.3602 6.86882e-06 0.176303 0.176301 2.2639e-06
0.0150085 0.0150099 0.0300156 0 1.36113e-06 0 303.112 300.35 504.638 320.073 326.858 326.858 6.78466 973.789 320.591 327.893 326.858 14.4377 14.4376 6.94548e-06 0.177454 0.177452 2.28931e-06
0.015088 0.0150894 0.0301746 0 1.37247e-06 0 303.065 300.289 504.62 320.086 326.889 326.889 6.80336 973.865 320.606 327.93 326.889 14.5151 14.5151 7.02256e-06 0.178605 0.178603 2.31486e-06
0.0151675 0.0151689 0.0303336 0 1.38385e-06 0 303.018 300.228 504.602 320.099 326.921 326.921 6.82199 973.941 320.622 327.967 326.921 14.5925 14.5925 7.10005e-06 0.179757 0.179754 2.34054e-06
0.015247 0.0152484 0.0304926 0 1.39525e-06 0 302.971 300.167 504.584 320.112 326.952 326.952 6.84058 974.017 320.638 328.004 326.952 14.6699 14.6699 7.17795e-06 0.180907 0.180905 2.36636e-06
0.0153265 0.0153279 0.0306516 0 1.40668e-06 0 302.925 300.106 504.566 320.125 326.984 326.984 6.85911 974.092 320.653 328.041 326.984 14.7474 14.7474 7.25626e-06 0.182058 0.182056 2.39232e-06
0.015406 0.0154074 0.0308106 0 1.41814e-06 0 302.878 300.045 504.548 320.137 327.015 327.015 6.87758 974.167 320.669 328.077 327.015 14.8248 14.8248 7.33499e-06 0.183209 0.183206 2.41842e-06
0.0154855 0.0154869 0.0309696 0 1.42964e-06 0 302.831 299.984 504.53 320.15 327.046 327.046 6.89601 974.242 320.684 328.114 327.046 14.9023 14.9023 7.41413e-06 0.184359 0.184357 2.44465e-06
0.015565 0.0155664 0.0311286 0 1.44116e-06 0 302.784 299.923 504.512 320.162 327.077 327.077 6.91438 974.316 320.699 328.15 327.077 14.9797 14.9797 7.49367e-06 0.18551 0.185507 2.47102e-06
0.0156445 0.015646 0.0312875 0 1.45271e-06 0 302.738 299.862 504.494 320.175 327.107 327.107 6.9327 974.389 320.714 328.186 327.107 15.0572 15.0572 7.57363e-06 0.18666 0.186657 2.49753e-06
0.015724 0.0157255 0.0314465 0 1.46428e-06 0 302.691 299.801 504.476 320.187 327.138 327.138 6.95097 974.463 320.729 328.222 327.138 15.1346 15.1346 7.65401e-06 0.187809 0.187807 2.52418e-06
