dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.010001 0.019999 0 9.50983e-07 0 306.056 304.198 505.786 319.56 325.585 325.585 6.02493 970.731 319.353 325.172 325.585 9.58789 9.58788 4.31242e-06 0.119421 0.11942 1.41719e-06
0.0100795 0.0100805 0.020158 0 9.64253e-07 0 306.009 304.137 505.767 319.586 325.639 325.639 6.05263 970.864 319.378 325.222 325.639 9.66507 9.66506 4.39256e-06 0.120756 0.120755 1.44371e-06
0.010159 0.01016 0.020317 0 9.77599e-07 0 305.963 304.076 505.749 319.612 325.692 325.692 6.08023 970.996 319.402 325.272 325.692 9.74226 9.74225 4.47352e-06 0.122093 0.122091 1.47051e-06
0.0102385 0.0102395 0.020476 0 9.9102e-07 0 305.916 304.014 505.731 319.637 325.745 325.745 6.10773 971.127 319.425 325.321 325.745 9.81946 9.81945 4.5553e-06 0.123432 0.12343 1.49758e-06
0.010318 0.010319 0.020635 0 1.00451e-06 0 305.869 303.953 505.712 319.662 325.798 325.798 6.13513 971.258 319.449 325.371 325.798 9.89667 9.89666 4.63791e-06 0.124774 0.124773 1.52492e-06
0.0103975 0.0103985 0.020794 0 1.01808e-06 0 305.822 303.892 505.694 319.688 325.85 325.85 6.16244 971.388 319.472 325.42 325.85 9.97389 9.97388 4.72133e-06 0.12612 0.126118 1.55254e-06
0.010477 0.010478 0.020953 0 1.03172e-06 0 305.776 303.831 505.676 319.713 325.902 325.902 6.18965 971.517 319.496 325.469 325.902 10.0511 10.0511 4.80558e-06 0.127469 0.127467 1.58043e-06
0.0105565 0.0105576 0.021112 0 1.04544e-06 0 305.729 303.77 505.658 319.737 325.954 325.954 6.21677 971.645 319.519 325.517 325.954 10.1284 10.1284 4.89066e-06 0.12882 0.128819 1.60859e-06
0.010636 0.0106371 0.0212709 0 1.05923e-06 0 305.682 303.709 505.639 319.762 326.006 326.006 6.2438 971.773 319.542 325.566 326.006 10.2056 10.2056 4.97656e-06 0.130175 0.130173 1.63704e-06
0.0107155 0.0107166 0.0214299 0 1.07309e-06 0 305.635 303.648 505.621 319.786 326.057 326.057 6.27074 971.9 319.565 325.614 326.057 10.2829 10.2829 5.0633e-06 0.131533 0.131531 1.66575e-06
0.010795 0.0107961 0.0215889 0 1.08702e-06 0 305.589 303.586 505.603 319.811 326.108 326.108 6.29758 972.027 319.587 325.662 326.108 10.3601 10.3601 5.15086e-06 0.132894 0.132892 1.69475e-06
0.0108745 0.0108756 0.0217479 0 1.10103e-06 0 305.542 303.525 505.584 319.835 326.159 326.159 6.32434 972.153 319.61 325.709 326.159 10.4374 10.4374 5.23926e-06 0.134257 0.134255 1.72402e-06
0.010954 0.0109551 0.0219069 0 1.11511e-06 0 305.495 303.464 505.566 319.859 326.21 326.21 6.35101 972.278 319.632 325.756 326.21 10.5147 10.5147 5.32849e-06 0.135624 0.135622 1.75357e-06
0.0110335 0.0110346 0.0220659 0 1.12926e-06 0 305.449 303.403 505.548 319.882 326.26 326.26 6.37759 972.403 319.654 325.804 326.26 10.592 10.592 5.41855e-06 0.136993 0.136991 1.7834e-06
0.011113 0.0111141 0.0222249 0 1.14348e-06 0 305.402 303.342 505.53 319.906 326.31 326.31 6.40408 972.527 319.676 325.85 326.31 10.6693 10.6693 5.50945e-06 0.138365 0.138363 1.8135e-06
0.0111925 0.0111937 0.0223838 0 1.15778e-06 0 305.355 303.281 505.511 319.93 326.36 326.36 6.43049 972.65 319.698 325.897 326.36 10.7466 10.7466 5.60119e-06 0.13974 0.139738 1.84389e-06
0.011272 0.0112732 0.0225428 0 1.17214e-06 0 305.308 303.22 505.493 319.953 326.41 326.41 6.45681 972.772 319.72 325.943 326.41 10.824 10.824 5.69376e-06 0.141118 0.141116 1.87455e-06
0.0113515 0.0113527 0.0227018 0 1.18658e-06 0 305.262 303.158 505.475 319.976 326.459 326.459 6.48305 972.895 319.741 325.99 326.459 10.9013 10.9013 5.78718e-06 0.142499 0.142497 1.9055e-06
0.011431 0.0114322 0.0228608 0 1.20109e-06 0 305.215 303.097 505.457 319.999 326.508 326.508 6.50921 973.016 319.763 326.035 326.508 10.9787 10.9787 5.88144e-06 0.143882 0.14388 1.93672e-06
0.0115105 0.0115117 0.0230198 0 1.21567e-06 0 305.168 303.036 505.438 320.022 326.557 326.557 6.53528 973.137 319.784 326.081 326.557 11.056 11.056 5.97654e-06 0.145268 0.145266 1.96823e-06
0.01159 0.0115912 0.0231788 0 1.23033e-06 0 305.122 302.975 505.42 320.045 326.606 326.606 6.56127 973.257 319.805 326.127 326.606 11.1334 11.1334 6.07249e-06 0.146656 0.146654 2.00002e-06
0.0116695 0.0116707 0.0233378 0 1.24505e-06 0 305.075 302.914 505.402 320.067 326.655 326.655 6.58718 973.377 319.826 326.172 326.655 11.2108 11.2108 6.16929e-06 0.148048 0.148045 2.03209e-06
0.011749 0.0117503 0.0234967 0 1.25984e-06 0 305.028 302.853 505.384 320.09 326.703 326.703 6.61302 973.496 319.847 326.217 326.703 11.2882 11.2882 6.26693e-06 0.149441 0.149439 2.06444e-06
0.0118285 0.0118298 0.0236557 0 1.27471e-06 0 304.981 302.792 505.365 320.112 326.751 326.751 6.63877 973.614 319.867 326.262 326.751 11.3656 11.3656 6.36542e-06 0.150838 0.150836 2.09708e-06
0.011908 0.0119093 0.0238147 0 1.28964e-06 0 304.935 302.731 505.347 320.134 326.799 326.799 6.66444 973.732 319.888 326.306 326.799 11.443 11.443 6.46476e-06 0.152237 0.152235 2.13e-06
0.0119875 0.0119888 0.0239737 0 1.30465e-06 0 304.888 302.67 505.329 320.156 326.846 326.846 6.69004 973.849 319.908 326.351 326.846 11.5204 11.5204 6.56496e-06 0.153638 0.153636 2.1632e-06
0.012067 0.0120683 0.0241327 0 1.31972e-06 0 304.841 302.609 505.311 320.178 326.894 326.894 6.71556 973.966 319.929 326.395 326.894 11.5978 11.5978 6.666e-06 0.155042 0.15504 2.19668e-06
0.0121465 0.0121478 0.0242917 0 1.33487e-06 0 304.794 302.547 505.293 320.2 326.941 326.941 6.741 974.082 319.949 326.439 326.941 11.6752 11.6752 6.76791e-06 0.156448 0.156446 2.23046e-06
0.012226 0.0122274 0.0244507 0 1.35008e-06 0 304.748 302.486 505.274 320.222 326.988 326.988 6.76637 974.198 319.969 326.482 326.988 11.7527 11.7527 6.87066e-06 0.157857 0.157855 2.26451e-06
0.0123055 0.0123069 0.0246096 0 1.36537e-06 0 304.701 302.425 505.256 320.243 327.035 327.035 6.79167 974.313 319.989 326.526 327.035 11.8301 11.8301 6.97428e-06 0.159269 0.159266 2.29885e-06
0.012385 0.0123864 0.0247686 0 1.38072e-06 0 304.654 302.364 505.238 320.265 327.081 327.081 6.81689 974.427 320.008 326.569 327.081 11.9076 11.9076 7.07875e-06 0.160682 0.16068 2.33348e-06
0.0124645 0.0124659 0.0249276 0 1.39615e-06 0 304.607 302.303 505.22 320.286 327.128 327.128 6.84203 974.541 320.028 326.612 327.128 11.9851 11.9851 7.18409e-06 0.162098 0.162096 2.3684e-06
0.012544 0.0125454 0.0250866 0 1.41164e-06 0 304.561 302.242 505.201 320.307 327.174 327.174 6.86711 974.655 320.047 326.655 327.174 12.0626 12.0625 7.29029e-06 0.163516 0.163514 2.4036e-06
0.0126235 0.0126249 0.0252456 0 1.4272e-06 0 304.514 302.181 505.183 320.328 327.22 327.22 6.89211 974.768 320.067 326.698 327.22 12.14 12.14 7.39735e-06 0.164937 0.164935 2.43909e-06
0.012703 0.0127044 0.0254046 0 1.44283e-06 0 304.467 302.12 505.165 320.349 327.266 327.266 6.91704 974.88 320.086 326.74 327.266 12.2175 12.2175 7.50527e-06 0.16636 0.166358 2.47487e-06
0.0127825 0.012784 0.0255635 0 1.45853e-06 0 304.421 302.059 505.147 320.369 327.311 327.311 6.94191 974.992 320.105 326.782 327.311 12.2951 12.295 7.61406e-06 0.167785 0.167783 2.51093e-06
0.012862 0.0128635 0.0257225 0 1.4743e-06 0 304.374 301.998 505.129 320.39 327.357 327.357 6.9667 975.103 320.124 326.825 327.357 12.3726 12.3726 7.72372e-06 0.169213 0.16921 2.54729e-06
0.0129415 0.012943 0.0258815 0 1.49014e-06 0 304.327 301.937 505.11 320.41 327.402 327.402 6.99142 975.214 320.143 326.866 327.402 12.4501 12.4501 7.83424e-06 0.170642 0.17064 2.58393e-06
0.013021 0.0130225 0.0260405 0 1.50604e-06 0 304.28 301.876 505.092 320.431 327.447 327.447 7.01608 975.324 320.161 326.908 327.447 12.5276 12.5276 7.94564e-06 0.172074 0.172072 2.62087e-06
0.0131005 0.013102 0.0261995 0 1.52202e-06 0 304.234 301.815 505.074 320.451 327.492 327.492 7.04066 975.434 320.18 326.95 327.492 12.6052 12.6052 8.05791e-06 0.173508 0.173506 2.65809e-06
0.01318 0.0131815 0.0263585 0 1.53806e-06 0 304.187 301.753 505.056 320.471 327.536 327.536 7.06518 975.543 320.198 326.991 327.536 12.6827 12.6827 8.17105e-06 0.174944 0.174942 2.69561e-06
0.0132595 0.0132611 0.0265174 0 1.55417e-06 0 304.14 301.692 505.038 320.491 327.581 327.581 7.08963 975.652 320.217 327.032 327.581 12.7603 12.7603 8.28506e-06 0.176383 0.17638 2.73341e-06
0.013339 0.0133406 0.0266764 0 1.57034e-06 0 304.093 301.631 505.02 320.511 327.625 327.625 7.11402 975.761 320.235 327.073 327.625 12.8378 12.8378 8.39995e-06 0.177823 0.17782 2.77151e-06
0.0134185 0.0134201 0.0268354 0 1.58659e-06 0 304.047 301.57 505.001 320.531 327.669 327.669 7.13834 975.868 320.253 327.114 327.669 12.9154 12.9154 8.51572e-06 0.179266 0.179263 2.8099e-06
0.013498 0.0134996 0.0269944 0 1.6029e-06 0 304 301.509 504.983 320.55 327.713 327.713 7.1626 975.976 320.271 327.154 327.713 12.993 12.993 8.63236e-06 0.18071 0.180707 2.84859e-06
0.0135775 0.0135791 0.0271534 0 1.61928e-06 0 303.953 301.448 504.965 320.57 327.756 327.756 7.18679 976.083 320.289 327.195 327.756 13.0706 13.0706 8.74988e-06 0.182157 0.182154 2.88756e-06
0.013657 0.0136586 0.0273124 0 1.63573e-06 0 303.906 301.387 504.947 320.589 327.8 327.8 7.21092 976.189 320.306 327.235 327.8 13.1482 13.1482 8.86829e-06 0.183605 0.183602 2.92683e-06
0.0137365 0.0137382 0.0274713 0 1.65224e-06 0 303.86 301.326 504.929 320.608 327.843 327.843 7.23498 976.295 320.324 327.275 327.843 13.2258 13.2258 8.98757e-06 0.185056 0.185053 2.96639e-06
0.013816 0.0138177 0.0276303 0 1.66883e-06 0 303.813 301.265 504.911 320.627 327.886 327.886 7.25899 976.4 320.342 327.315 327.886 13.3034 13.3034 9.10774e-06 0.186508 0.186505 3.00625e-06
0.0138955 0.0138972 0.0277893 0 1.68548e-06 0 303.766 301.204 504.892 320.646 327.929 327.929 7.28293 976.505 320.359 327.355 327.929 13.3811 13.3811 9.2288e-06 0.187963 0.18796 3.0464e-06
0.013975 0.0139767 0.0279483 0 1.70219e-06 0 303.719 301.143 504.874 320.665 327.972 327.972 7.30681 976.61 320.376 327.394 327.972 13.4587 13.4587 9.35073e-06 0.189419 0.189416 3.08685e-06
0.0140545 0.0140562 0.0281073 0 1.71897e-06 0 303.673 301.082 504.856 320.684 328.015 328.015 7.33062 976.714 320.393 327.433 328.015 13.5363 13.5363 9.47356e-06 0.190877 0.190874 3.12759e-06
0.014134 0.0141357 0.0282663 0 1.73582e-06 0 303.626 301.021 504.838 320.703 328.057 328.057 7.35438 976.817 320.41 327.473 328.057 13.614 13.614 9.59728e-06 0.192337 0.192334 3.16863e-06
0.0142135 0.0142153 0.0284252 0 1.75274e-06 0 303.579 300.96 504.82 320.721 328.1 328.1 7.37808 976.921 320.427 327.512 328.1 13.6917 13.6917 9.72188e-06 0.193799 0.193796 3.20997e-06
0.014293 0.0142948 0.0285842 0 1.76972e-06 0 303.532 300.899 504.802 320.74 328.142 328.142 7.40172 977.023 320.444 327.55 328.142 13.7693 13.7693 9.84738e-06 0.195263 0.19526 3.2516e-06
0.0143725 0.0143743 0.0287432 0 1.78677e-06 0 303.486 300.838 504.783 320.758 328.184 328.184 7.4253 977.125 320.461 327.589 328.184 13.847 13.847 9.97377e-06 0.196729 0.196726 3.29353e-06
0.014452 0.0144538 0.0289022 0 1.80388e-06 0 303.439 300.777 504.765 320.777 328.225 328.225 7.44882 977.227 320.478 327.627 328.225 13.9247 13.9247 1.01011e-05 0.198196 0.198193 3.33576e-06
0.0145315 0.0145333 0.0290612 0 1.82107e-06 0 303.392 300.716 504.747 320.795 328.267 328.267 7.47228 977.329 320.494 327.666 328.267 14.0024 14.0024 1.02292e-05 0.199666 0.199662 3.37828e-06
0.014611 0.0146128 0.0292202 0 1.83831e-06 0 303.345 300.655 504.729 320.813 328.308 328.308 7.49569 977.43 320.51 327.704 328.308 14.0801 14.0801 1.03583e-05 0.201137 0.201133 3.42111e-06
0.0146905 0.0146924 0.0293791 0 1.85562e-06 0 303.299 300.594 504.711 320.831 328.35 328.35 7.51904 977.53 320.527 327.742 328.35 14.1578 14.1578 1.04883e-05 0.202609 0.202606 3.46423e-06
0.01477 0.0147719 0.0295381 0 1.873e-06 0 303.252 300.533 504.693 320.849 328.391 328.391 7.54233 977.63 320.543 327.78 328.391 14.2355 14.2355 1.06192e-05 0.204084 0.20408 3.50765e-06
0.0148495 0.0148514 0.0296971 0 1.89045e-06 0 303.205 300.472 504.675 320.866 328.432 328.432 7.56556 977.73 320.559 327.817 328.432 14.3132 14.3132 1.07509e-05 0.20556 0.205556 3.55138e-06
0.014929 0.0149309 0.0298561 0 1.90796e-06 0 303.158 300.411 504.657 320.884 328.473 328.473 7.58874 977.829 320.575 327.855 328.473 14.391 14.391 1.08836e-05 0.207038 0.207034 3.5954e-06
0.0150085 0.0150104 0.0300151 0 1.92553e-06 0 303.112 300.35 504.638 320.901 328.513 328.513 7.61187 977.928 320.591 327.892 328.513 14.4687 14.4687 1.10172e-05 0.208517 0.208514 3.63972e-06
0.015088 0.0150899 0.0301741 0 1.94317e-06 0 303.065 300.289 504.62 320.919 328.554 328.554 7.63494 978.026 320.607 327.93 328.554 14.5465 14.5465 1.11517e-05 0.209999 0.209995 3.68435e-06
0.0151675 0.0151695 0.030333 0 1.96088e-06 0 303.018 300.228 504.602 320.936 328.594 328.594 7.65796 978.124 320.622 327.967 328.594 14.6242 14.6242 1.1287e-05 0.211481 0.211478 3.72928e-06
0.015247 0.015249 0.030492 0 1.97865e-06 0 302.971 300.167 504.584 320.953 328.634 328.634 7.68092 978.222 320.638 328.004 328.634 14.702 14.702 1.14233e-05 0.212966 0.212962 3.77451e-06
0.0153265 0.0153285 0.030651 0 1.99649e-06 0 302.925 300.106 504.566 320.971 328.674 328.674 7.70383 978.319 320.653 328.04 328.674 14.7798 14.7797 1.15605e-05 0.214452 0.214448 3.82004e-06
