dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.010001 0.019999 0 1.039e-06 0 306.056 304.198 505.786 319.74 325.944 325.944 6.20407 971.627 319.354 325.172 325.944 9.59237 9.59237 4.85068e-06 0.123903 0.123901 1.59536e-06
0.0100795 0.0100806 0.0201579 0 1.0538e-06 0 306.009 304.137 505.767 319.767 326 326 6.23319 971.767 319.378 325.222 326 9.66962 9.66962 4.9427e-06 0.12531 0.125308 1.62582e-06
0.010159 0.0101601 0.0203169 0 1.06869e-06 0 305.963 304.076 505.749 319.794 326.056 326.056 6.26221 971.906 319.402 325.272 326.056 9.74688 9.74688 5.03572e-06 0.126718 0.126716 1.65662e-06
0.0102385 0.0102396 0.0204759 0 1.08366e-06 0 305.916 304.014 505.731 319.821 326.112 326.112 6.29114 972.045 319.425 325.321 326.112 9.82415 9.82415 5.12973e-06 0.12813 0.128128 1.68775e-06
0.010318 0.0103191 0.0206349 0 1.09873e-06 0 305.869 303.953 505.712 319.848 326.168 326.168 6.31996 972.183 319.449 325.371 326.168 9.90144 9.90143 5.22472e-06 0.129546 0.129544 1.71921e-06
0.0103975 0.0103986 0.0207939 0 1.11388e-06 0 305.822 303.892 505.694 319.874 326.223 326.223 6.3487 972.32 319.473 325.42 326.223 9.97873 9.97873 5.3207e-06 0.130965 0.130963 1.75099e-06
0.010477 0.0104781 0.0209529 0 1.12912e-06 0 305.776 303.831 505.676 319.9 326.278 326.278 6.37733 972.456 319.496 325.469 326.278 10.056 10.056 5.41768e-06 0.132388 0.132386 1.78311e-06
0.0105565 0.0105576 0.0211119 0 1.14445e-06 0 305.729 303.77 505.658 319.927 326.333 326.333 6.40588 972.592 319.519 325.517 326.333 10.1334 10.1333 5.51564e-06 0.133815 0.133813 1.81556e-06
0.010636 0.0106372 0.0212708 0 1.15986e-06 0 305.682 303.709 505.639 319.953 326.387 326.387 6.43433 972.727 319.542 325.566 326.387 10.2107 10.2107 5.61461e-06 0.135245 0.135243 1.84834e-06
0.0107155 0.0107167 0.0214298 0 1.17537e-06 0 305.635 303.648 505.621 319.979 326.441 326.441 6.46269 972.861 319.565 325.614 326.441 10.288 10.288 5.71458e-06 0.136679 0.136677 1.88145e-06
