dens densu densd denss dense densm xmu xmd xms muu mud mus mue mun nuu nud nus E Eq El P Pq Pl
0.01 0.0100012 0.0199988 0 1.19998e-06 0 306.056 304.198 505.786 320.043 326.551 326.551 6.5072 973.144 319.354 325.171 326.551 9.59996 9.59995 5.87417e-06 0.131488 0.131486 1.93432e-06
0.0100795 0.0100807 0.0201578 0 1.21761e-06 0 306.009 304.137 505.767 320.073 326.612 326.612 6.53873 973.296 319.378 325.222 326.612 9.67733 9.67732 5.9892e-06 0.133015 0.133013 1.97242e-06
0.010159 0.0101602 0.0203168 0 1.23536e-06 0 305.963 304.076 505.749 320.102 326.673 326.673 6.57016 973.447 319.402 325.272 326.673 9.75471 9.7547 6.10555e-06 0.134546 0.134544 2.01097e-06
0.0102385 0.0102398 0.0204757 0 1.25323e-06 0 305.916 304.014 505.731 320.132 326.733 326.733 6.60149 973.598 319.426 325.321 326.733 9.8321 9.8321 6.22322e-06 0.136081 0.136079 2.04996e-06
0.010318 0.0103193 0.0206347 0 1.27121e-06 0 305.869 303.953 505.712 320.161 326.794 326.794 6.63273 973.748 319.449 325.371 326.794 9.90951 9.90951 6.3422e-06 0.13762 0.137618 2.08938e-06
0.0103975 0.0103988 0.0207937 0 1.28931e-06 0 305.822 303.892 505.694 320.19 326.854 326.854 6.66386 973.897 319.473 325.42 326.854 9.98693 9.98692 6.46251e-06 0.139165 0.139163 2.12925e-06
0.010477 0.0104783 0.0209527 0 1.30752e-06 0 305.776 303.831 505.676 320.218 326.913 326.913 6.69491 974.045 319.496 325.469 326.913 10.0644 10.0644 6.58415e-06 0.140714 0.140711 2.16956e-06
0.0105565 0.0105578 0.0211117 0 1.32584e-06 0 305.729 303.77 505.658 320.247 326.973 326.973 6.72586 974.193 319.519 325.517 326.973 10.1418 10.1418 6.70712e-06 0.142267 0.142265 2.21031e-06
0.010636 0.0106373 0.0212707 0 1.34428e-06 0 305.682 303.709 505.639 320.276 327.032 327.032 6.75672 974.34 319.542 325.566 327.032 10.2193 10.2193 6.83143e-06 0.143825 0.143823 2.25151e-06
0.0107155 0.0107169 0.0214296 0 1.36284e-06 0 305.635 303.648 505.621 320.304 327.091 327.091 6.78749 974.486 319.565 325.614 327.091 10.2967 10.2967 6.95709e-06 0.145388 0.145385 2.29316e-06
0.010795 0.0107964 0.0215886 0 1.38151e-06 0 305.589 303.586 505.603 320.332 327.15 327.15 6.81817 974.632 319.587 325.661 327.15 10.3742 10.3742 7.08408e-06 0.146955 0.146952 2.33525e-06
0.0108745 0.0108759 0.0217476 0 1.40029e-06 0 305.542 303.525 505.584 320.36 327.209 327.209 6.84875 974.777 319.61 325.709 327.209 10.4517 10.4517 7.21243e-06 0.148526 0.148524 2.37779e-06
0.010954 0.0109554 0.0219066 0 1.41918e-06 0 305.495 303.464 505.566 320.388 327.267 327.267 6.87925 974.922 319.632 325.756 327.267 10.5292 10.5292 7.34214e-06 0.150102 0.1501 2.42079e-06
0.0110335 0.0110349 0.0220656 0 1.43819e-06 0 305.449 303.403 505.548 320.415 327.325 327.325 6.90966 975.065 319.654 325.803 327.325 10.6067 10.6067 7.4732e-06 0.151682 0.15168 2.46424e-06
0.011113 0.0111145 0.0222245 0 1.45732e-06 0 305.402 303.342 505.53 320.443 327.383 327.383 6.93999 975.208 319.676 325.85 327.383 10.6842 10.6842 7.60563e-06 0.153267 0.153265 2.50814e-06
0.0111925 0.011194 0.0223835 0 1.47655e-06 0 305.355 303.281 505.511 320.47 327.44 327.44 6.97023 975.351 319.698 325.897 327.44 10.7618 10.7618 7.73942e-06 0.154856 0.154853 2.5525e-06
0.011272 0.0112735 0.0225425 0 1.4959e-06 0 305.308 303.22 505.493 320.497 327.498 327.498 7.00038 975.493 319.72 325.943 327.498 10.8393 10.8393 7.87459e-06 0.156449 0.156447 2.59731e-06
0.0113515 0.011353 0.0227015 0 1.51537e-06 0 305.262 303.159 505.475 320.524 327.555 327.555 7.03045 975.634 319.742 325.989 327.555 10.9169 10.9169 8.01113e-06 0.158047 0.158044 2.64258e-06
0.011431 0.0114325 0.0228605 0 1.53494e-06 0 305.215 303.097 505.457 320.551 327.612 327.612 7.06044 975.775 319.763 326.035 327.612 10.9944 10.9944 8.14906e-06 0.159649 0.159646 2.68832e-06
0.0115105 0.0115121 0.0230194 0 1.55463e-06 0 305.168 303.036 505.438 320.578 327.668 327.668 7.09034 975.915 319.784 326.081 327.668 11.072 11.072 8.28837e-06 0.161255 0.161252 2.73451e-06
0.01159 0.0115916 0.0231784 0 1.57444e-06 0 305.121 302.975 505.42 320.605 327.725 327.725 7.12016 976.054 319.805 326.126 327.725 11.1496 11.1496 8.42908e-06 0.162865 0.162862 2.78117e-06
0.0116695 0.0116711 0.0233374 0 1.59435e-06 0 305.075 302.914 505.402 320.631 327.781 327.781 7.1499 976.193 319.826 326.172 327.781 11.2272 11.2272 8.57117e-06 0.164479 0.164476 2.82829e-06
0.011749 0.0117506 0.0234964 0 1.61438e-06 0 305.028 302.853 505.384 320.657 327.837 327.837 7.17957 976.331 319.847 326.217 327.837 11.3048 11.3048 8.71467e-06 0.166097 0.166095 2.87588e-06
0.0118285 0.0118301 0.0236554 0 1.63452e-06 0 304.981 302.792 505.365 320.683 327.893 327.893 7.20915 976.469 319.868 326.261 327.893 11.3824 11.3824 8.85956e-06 0.16772 0.167717 2.92394e-06
0.011908 0.0119097 0.0238143 0 1.65477e-06 0 304.935 302.731 505.347 320.709 327.948 327.948 7.23865 976.606 319.888 326.306 327.948 11.4601 11.4601 9.00587e-06 0.169347 0.169344 2.97246e-06
0.0119875 0.0119892 0.0239733 0 1.67514e-06 0 304.888 302.67 505.329 320.735 328.003 328.003 7.26808 976.742 319.909 326.35 328.003 11.5377 11.5377 9.15359e-06 0.170977 0.170974 3.02146e-06
0.012067 0.0120687 0.0241323 0 1.69562e-06 0 304.841 302.609 505.311 320.761 328.059 328.059 7.29743 976.878 319.929 326.394 328.059 11.6154 11.6154 9.30272e-06 0.172612 0.172609 3.07092e-06
0.0121465 0.0121482 0.0242913 0 1.71621e-06 0 304.794 302.547 505.293 320.787 328.113 328.113 7.32671 977.013 319.949 326.438 328.113 11.693 11.693 9.45327e-06 0.174251 0.174248 3.12086e-06
0.012226 0.0122277 0.0244503 0 1.73691e-06 0 304.748 302.486 505.274 320.812 328.168 328.168 7.35591 977.148 319.969 326.482 328.168 11.7707 11.7707 9.60525e-06 0.175893 0.17589 3.17127e-06
0.0123055 0.0123073 0.0246092 0 1.75772e-06 0 304.701 302.425 505.256 320.837 328.223 328.223 7.38503 977.283 319.989 326.526 328.223 11.8484 11.8484 9.75865e-06 0.17754 0.177537 3.22216e-06
0.012385 0.0123868 0.0247682 0 1.77865e-06 0 304.654 302.364 505.238 320.863 328.277 328.277 7.41408 977.416 320.009 326.569 328.277 11.9261 11.9261 9.91349e-06 0.17919 0.179187 3.27353e-06
0.0124645 0.0124663 0.0249272 0 1.79968e-06 0 304.607 302.303 505.22 320.888 328.331 328.331 7.44306 977.549 320.028 326.612 328.331 12.0038 12.0038 1.00698e-05 0.180845 0.180841 3.32538e-06
0.012544 0.0125458 0.0250862 0 1.82083e-06 0 304.561 302.242 505.201 320.913 328.385 328.385 7.47196 977.682 320.048 326.655 328.385 12.0815 12.0815 1.02275e-05 0.182503 0.1825 3.3777e-06
0.0126235 0.0126253 0.0252452 0 1.84209e-06 0 304.514 302.181 505.183 320.937 328.438 328.438 7.5008 977.814 320.067 326.697 328.438 12.1593 12.1593 1.03866e-05 0.184165 0.184162 3.43051e-06
0.012703 0.0127049 0.0254041 0 1.86346e-06 0 304.467 302.12 505.165 320.962 328.492 328.492 7.52956 977.946 320.086 326.74 328.492 12.237 12.237 1.05473e-05 0.185831 0.185827 3.4838e-06
0.0127825 0.0127844 0.0255631 0 1.88495e-06 0 304.42 302.059 505.147 320.987 328.545 328.545 7.55825 978.077 320.105 326.782 328.545 12.3148 12.3148 1.07093e-05 0.187501 0.187497 3.53757e-06
0.012862 0.0128639 0.0257221 0 1.90654e-06 0 304.374 301.998 505.129 321.011 328.598 328.598 7.58687 978.207 320.124 326.824 328.598 12.3925 12.3925 1.08728e-05 0.189174 0.18917 3.59183e-06
0.0129415 0.0129434 0.0258811 0 1.92825e-06 0 304.327 301.937 505.11 321.035 328.651 328.651 7.61543 978.337 320.143 326.866 328.651 12.4703 12.4703 1.10378e-05 0.190851 0.190847 3.64658e-06
