dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.404388 0.39702 0.875468 0.0408009 0.09459 0.260219 0.00982151 0.00388415 54.5738 37.6721 445.563 235.927 322.907 434.141 434.141 1079.96 1191.19 111.234 434.85 487.225 352.399 1.86971 69.4644 68.9336 68.9336 0.530815 0.808776 1.07904 0.329415 0.0313322 434.85 487.225 352.399 1.86971 0.597669 27.9581
0.404236 0.396816 0.875307 0.0407813 0.0945449 0.260193 0.00982917 0.00388934 54.6189 37.699 445.568 235.995 322.848 434.109 434.109 1079.8 1191.07 111.261 434.661 487.084 352.323 1.87198 69.4212 68.8897 68.8897 0.531461 0.808473 1.07913 0.329499 0.0313624 434.661 487.084 352.322 1.87198 0.597106 27.9671
0.404085 0.396613 0.875146 0.0407617 0.0945 0.260168 0.00983681 0.00389452 54.664 37.7261 445.574 236.063 322.789 434.076 434.076 1079.65 1190.94 111.287 434.473 486.942 352.246 1.87425 69.378 68.8459 68.8459 0.532107 0.80817 1.07922 0.329583 0.0313925 434.473 486.942 352.246 1.87425 0.596545 27.9762
0.403934 0.396409 0.874985 0.0407421 0.094455 0.260142 0.00984445 0.00389969 54.7091 37.7531 445.58 236.131 322.73 434.043 434.043 1079.5 1190.82 111.313 434.284 486.801 352.17 1.87652 69.3348 68.8021 68.802 0.532753 0.807868 1.07931 0.329667 0.0314227 434.284 486.801 352.169 1.87652 0.595984 27.9852
0.403783 0.396206 0.874824 0.0407224 0.0944101 0.260117 0.00985208 0.00390487 54.7543 37.7802 445.585 236.2 322.67 434.01 434.01 1079.35 1190.69 111.34 434.096 486.659 352.093 1.87879 69.2916 68.7583 68.7582 0.533399 0.807565 1.0794 0.32975 0.0314528 434.096 486.659 352.093 1.87879 0.595424 27.9943
0.403632 0.396003 0.874663 0.0407027 0.0943652 0.260091 0.00985972 0.00391005 54.7996 37.8074 445.591 236.268 322.611 433.977 433.977 1079.2 1190.57 111.366 433.907 486.517 352.017 1.88106 69.2485 68.7144 68.7144 0.534045 0.807263 1.07949 0.329834 0.0314829 433.907 486.517 352.016 1.88106 0.594865 28.0033
0.403481 0.395799 0.874502 0.0406831 0.0943203 0.260066 0.00986734 0.00391522 54.8449 37.8345 445.597 236.337 322.552 433.944 433.944 1079.05 1190.44 111.392 433.719 486.376 351.94 1.88333 69.2053 68.6707 68.6706 0.534691 0.806962 1.07958 0.329918 0.0315129 433.719 486.376 351.94 1.88333 0.594306 28.0124
0.40333 0.395596 0.87434 0.0406634 0.0942755 0.26004 0.00987497 0.0039204 54.8903 37.8617 445.602 236.405 322.493 433.911 433.911 1078.9 1190.32 111.418 433.532 486.234 351.864 1.8856 69.1622 68.6269 68.6268 0.535337 0.80666 1.07967 0.330001 0.031543 433.531 486.234 351.863 1.8856 0.593748 28.0214
0.403179 0.395393 0.874179 0.0406437 0.0942307 0.260014 0.00988259 0.00392557 54.9357 37.889 445.608 236.474 322.434 433.878 433.878 1078.75 1190.19 111.444 433.344 486.093 351.787 1.88787 69.1191 68.5831 68.5831 0.535983 0.806359 1.07976 0.330085 0.0315731 433.344 486.093 351.787 1.88787 0.59319 28.0304
0.403029 0.39519 0.874018 0.040624 0.0941858 0.259989 0.00989021 0.00393075 54.9812 37.9163 445.613 236.543 322.375 433.845 433.845 1078.59 1190.07 111.47 433.156 485.951 351.711 1.89014 69.076 68.5393 68.5393 0.536629 0.806058 1.07985 0.330168 0.0316032 433.156 485.951 351.71 1.89014 0.592633 28.0395
0.402879 0.394987 0.873856 0.0406043 0.0941411 0.259963 0.00989782 0.00393592 55.0268 37.9436 445.619 236.611 322.316 433.812 433.812 1078.44 1189.94 111.497 432.969 485.81 351.634 1.89241 69.0329 68.4956 68.4956 0.537275 0.805757 1.07994 0.330252 0.0316332 432.969 485.81 351.634 1.89241 0.592077 28.0485
0.402728 0.394784 0.873695 0.0405845 0.0940963 0.259937 0.00990544 0.0039411 55.0724 37.971 445.625 236.68 322.257 433.779 433.779 1078.29 1189.82 111.523 432.781 485.668 351.557 1.89467 68.9898 68.4519 68.4518 0.537921 0.805456 1.08003 0.330335 0.0316633 432.781 485.668 351.557 1.89467 0.591522 28.0575
0.402578 0.394581 0.873533 0.0405648 0.0940515 0.259912 0.00991304 0.00394627 55.1181 37.9984 445.63 236.749 322.198 433.746 433.746 1078.14 1189.69 111.549 432.594 485.526 351.481 1.89694 68.9467 68.4081 68.4081 0.538567 0.805156 1.08011 0.330418 0.0316934 432.594 485.526 351.481 1.89694 0.590967 28.0665
0.402428 0.394378 0.873371 0.0405451 0.0940068 0.259886 0.00992065 0.00395144 55.1639 38.0258 445.636 236.818 322.139 433.713 433.713 1077.99 1189.57 111.575 432.407 485.385 351.404 1.89921 68.9036 68.3644 68.3644 0.539213 0.804856 1.0802 0.330501 0.0317234 432.407 485.385 351.404 1.89921 0.590412 28.0755
0.402278 0.394176 0.87321 0.0405253 0.0939621 0.25986 0.00992825 0.00395661 55.2097 38.0533 445.642 236.887 322.08 433.68 433.68 1077.84 1189.44 111.601 432.221 485.243 351.328 1.90148 68.8606 68.3207 68.3207 0.539859 0.804556 1.08029 0.330584 0.0317534 432.22 485.243 351.328 1.90148 0.589859 28.0845
0.402128 0.393973 0.873048 0.0405055 0.0939174 0.259834 0.00993585 0.00396178 55.2555 38.0808 445.647 236.955 322.021 433.647 433.647 1077.69 1189.32 111.627 432.034 485.102 351.251 1.90375 68.8175 68.277 68.277 0.540506 0.804256 1.08037 0.330667 0.0317835 432.034 485.102 351.251 1.90375 0.589306 28.0935
0.401978 0.39377 0.872886 0.0404858 0.0938728 0.259808 0.00994344 0.00396695 55.3014 38.1084 445.653 237.024 321.962 433.614 433.614 1077.54 1189.19 111.653 431.847 484.96 351.175 1.90602 68.7745 68.2334 68.2333 0.541152 0.803957 1.08046 0.33075 0.0318135 431.847 484.96 351.175 1.90602 0.588753 28.1025
0.401829 0.393568 0.872724 0.040466 0.0938282 0.259783 0.00995104 0.00397212 55.3474 38.136 445.659 237.093 321.903 433.581 433.581 1077.39 1189.07 111.678 431.661 484.818 351.098 1.90829 68.7315 68.1897 68.1897 0.541798 0.803657 1.08054 0.330833 0.0318435 431.661 484.818 351.098 1.90829 0.588202 28.1115
0.401679 0.393365 0.872562 0.0404462 0.0937835 0.259757 0.00995862 0.00397729 55.3934 38.1636 445.665 237.162 321.844 433.548 433.548 1077.24 1188.94 111.704 431.475 484.677 351.022 1.91056 68.6885 68.146 68.146 0.542444 0.803358 1.08063 0.330915 0.0318735 431.475 484.677 351.022 1.91056 0.58765 28.1204
0.40153 0.393163 0.8724 0.0404264 0.0937389 0.259731 0.00996621 0.00398246 55.4395 38.1913 445.67 237.231 321.785 433.515 433.515 1077.08 1188.82 111.73 431.289 484.535 350.945 1.91282 68.6455 68.1024 68.1024 0.543091 0.803059 1.08071 0.330998 0.0319035 431.289 484.535 350.945 1.91282 0.5871 28.1294
0.40138 0.392961 0.872238 0.0404066 0.0936944 0.259705 0.00997379 0.00398763 55.4857 38.219 445.676 237.3 321.726 433.482 433.482 1076.93 1188.69 111.756 431.103 484.394 350.869 1.91509 68.6025 68.0588 68.0587 0.543737 0.802761 1.0808 0.331081 0.0319335 431.103 484.394 350.868 1.91509 0.58655 28.1384
0.401231 0.392758 0.872076 0.0403868 0.0936498 0.259679 0.00998137 0.0039928 55.5319 38.2468 445.682 237.37 321.667 433.449 433.449 1076.78 1188.57 111.782 430.917 484.252 350.792 1.91736 68.5595 68.0151 68.0151 0.544383 0.802462 1.08088 0.331163 0.0319635 430.917 484.252 350.792 1.91736 0.586001 28.1473
0.401082 0.392556 0.871913 0.040367 0.0936053 0.259653 0.00998894 0.00399797 55.5782 38.2746 445.687 237.439 321.608 433.416 433.416 1076.63 1188.44 111.808 430.731 484.11 350.715 1.91963 68.5166 67.9715 67.9715 0.54503 0.802164 1.08097 0.331246 0.0319935 430.731 484.11 350.715 1.91963 0.585452 28.1563
0.400933 0.392354 0.871751 0.0403471 0.0935608 0.259627 0.00999651 0.00400313 55.6246 38.3024 445.693 237.508 321.549 433.383 433.383 1076.48 1188.32 111.833 430.546 483.969 350.639 1.9219 68.4736 67.9279 67.9279 0.545676 0.801866 1.08105 0.331328 0.0320234 430.546 483.969 350.639 1.9219 0.584904 28.1652
0.400784 0.392152 0.871588 0.0403273 0.0935163 0.259601 0.0100041 0.0040083 55.671 38.3303 445.699 237.577 321.491 433.35 433.35 1076.33 1188.19 111.859 430.361 483.827 350.562 1.92417 68.4307 67.8844 67.8843 0.546322 0.801568 1.08113 0.33141 0.0320534 430.361 483.827 350.562 1.92417 0.584357 28.1742
0.400635 0.39195 0.871426 0.0403074 0.0934719 0.259574 0.0100116 0.00401346 55.7174 38.3582 445.704 237.646 321.432 433.317 433.317 1076.18 1188.07 111.885 430.175 483.685 350.486 1.92643 68.3877 67.8408 67.8408 0.546969 0.801271 1.08121 0.331493 0.0320834 430.175 483.685 350.486 1.92643 0.58381 28.1831
0.400487 0.391748 0.871263 0.0402875 0.0934274 0.259548 0.0100192 0.00401863 55.764 38.3861 445.71 237.716 321.373 433.283 433.283 1076.03 1187.94 111.91 429.99 483.544 350.409 1.9287 68.3448 67.7972 67.7972 0.547615 0.800973 1.0813 0.331575 0.0321133 429.99 483.544 350.409 1.9287 0.583264 28.192
0.400338 0.391546 0.871101 0.0402677 0.093383 0.259522 0.0100268 0.00402379 55.8105 38.4141 445.716 237.785 321.314 433.25 433.25 1075.88 1187.82 111.936 429.806 483.402 350.333 1.93097 68.3019 67.7537 67.7537 0.548262 0.800676 1.08138 0.331657 0.0321433 429.806 483.402 350.332 1.93097 0.582718 28.201
0.40019 0.391344 0.870938 0.0402478 0.0933386 0.259496 0.0100343 0.00402895 55.8572 38.4422 445.722 237.855 321.256 433.217 433.217 1075.73 1187.69 111.961 429.621 483.26 350.256 1.93324 68.259 67.7101 67.7101 0.548908 0.800379 1.08146 0.331739 0.0321732 429.621 483.26 350.256 1.93324 0.582173 28.2099
0.400041 0.391142 0.870775 0.0402279 0.0932942 0.25947 0.0100419 0.00403412 55.9039 38.4703 445.727 237.924 321.197 433.184 433.184 1075.58 1187.57 111.987 429.436 483.119 350.179 1.93551 68.2162 67.6666 67.6666 0.549554 0.800082 1.08154 0.331821 0.0322031 429.436 483.119 350.179 1.93551 0.581629 28.2188
0.399893 0.39094 0.870613 0.040208 0.0932499 0.259443 0.0100494 0.00403928 55.9507 38.4984 445.733 237.994 321.138 433.151 433.151 1075.43 1187.44 112.012 429.252 482.977 350.103 1.93777 68.1733 67.6231 67.6231 0.550201 0.799786 1.08162 0.331903 0.032233 429.252 482.977 350.103 1.93777 0.581085 28.2277
0.399745 0.390738 0.87045 0.0401881 0.0932055 0.259417 0.010057 0.00404444 55.9975 38.5265 445.739 238.063 321.08 433.118 433.118 1075.28 1187.32 112.038 429.068 482.835 350.026 1.94004 68.1304 67.5796 67.5796 0.550847 0.79949 1.0817 0.331985 0.032263 429.067 482.835 350.026 1.94004 0.580542 28.2366
0.399597 0.390537 0.870287 0.0401682 0.0931612 0.259391 0.0100645 0.0040496 56.0444 38.5547 445.745 238.133 321.021 433.084 433.084 1075.13 1187.19 112.063 428.883 482.694 349.95 1.94231 68.0876 67.5361 67.5361 0.551494 0.799194 1.08178 0.332066 0.0322929 428.883 482.694 349.949 1.94231 0.579999 28.2455
0.399449 0.390335 0.870124 0.0401482 0.0931169 0.259364 0.010072 0.00405476 56.0914 38.5829 445.751 238.202 320.962 433.051 433.051 1074.98 1187.07 112.089 428.699 482.552 349.873 1.94458 68.0448 67.4926 67.4926 0.55214 0.798898 1.08186 0.332148 0.0323228 428.699 482.552 349.873 1.94458 0.579457 28.2544
0.399301 0.390134 0.869961 0.0401283 0.0930727 0.259338 0.0100796 0.00405992 56.1384 38.6112 445.756 238.272 320.904 433.018 433.018 1074.83 1186.94 112.114 428.516 482.41 349.796 1.94684 68.0019 67.4492 67.4491 0.552787 0.798602 1.08194 0.33223 0.0323527 428.516 482.41 349.796 1.94684 0.578916 28.2633
0.399153 0.389932 0.869797 0.0401084 0.0930284 0.259311 0.0100871 0.00406508 56.1855 38.6395 445.762 238.342 320.845 432.985 432.985 1074.68 1186.82 112.14 428.332 482.269 349.72 1.94911 67.9591 67.4057 67.4057 0.553433 0.798306 1.08202 0.332311 0.0323825 428.332 482.269 349.72 1.94911 0.578375 28.2722
0.399006 0.389731 0.869634 0.0400884 0.0929842 0.259285 0.0100946 0.00407024 56.2326 38.6679 445.768 238.411 320.787 432.952 432.952 1074.53 1186.69 112.165 428.148 482.127 349.643 1.95138 67.9163 67.3623 67.3622 0.55408 0.798011 1.0821 0.332393 0.0324124 428.148 482.127 349.643 1.95138 0.577835 28.2811
0.398858 0.389529 0.869471 0.0400684 0.09294 0.259259 0.0101021 0.00407539 56.2798 38.6963 445.774 238.481 320.728 432.918 432.918 1074.37 1186.57 112.19 427.965 481.985 349.567 1.95365 67.8735 67.3188 67.3188 0.554726 0.797716 1.08218 0.332474 0.0324423 427.965 481.985 349.566 1.95365 0.577296 28.29
0.398711 0.389328 0.869307 0.0400485 0.0928958 0.259232 0.0101097 0.00408055 56.3271 38.7247 445.779 238.551 320.67 432.885 432.885 1074.22 1186.44 112.216 427.782 481.844 349.49 1.95591 67.8308 67.2754 67.2754 0.555373 0.797421 1.08225 0.332555 0.0324721 427.782 481.844 349.49 1.95591 0.576757 28.2988
0.398563 0.389127 0.869144 0.0400285 0.0928516 0.259206 0.0101172 0.00408571 56.3744 38.7532 445.785 238.621 320.611 432.852 432.852 1074.07 1186.32 112.241 427.599 481.702 349.413 1.95818 67.788 67.232 67.232 0.556019 0.797127 1.08233 0.332636 0.032502 427.598 481.702 349.413 1.95818 0.576218 28.3077
0.398416 0.388926 0.868981 0.0400085 0.0928075 0.259179 0.0101247 0.00409086 56.4218 38.7817 445.791 238.691 320.553 432.819 432.819 1073.92 1186.19 112.266 427.416 481.56 349.337 1.96045 67.7453 67.1886 67.1886 0.556666 0.796832 1.08241 0.332718 0.0325318 427.415 481.56 349.336 1.96045 0.575681 28.3165
0.398269 0.388724 0.868817 0.0399885 0.0927634 0.259152 0.0101322 0.00409601 56.4693 38.8103 445.797 238.761 320.494 432.785 432.785 1073.77 1186.07 112.291 427.233 481.418 349.26 1.96271 67.7025 67.1452 67.1452 0.557312 0.796538 1.08249 0.332799 0.0325617 427.233 481.418 349.26 1.96271 0.575143 28.3254
0.398122 0.388523 0.868653 0.0399685 0.0927193 0.259126 0.0101397 0.00410117 56.5168 38.8389 445.803 238.831 320.436 432.752 432.752 1073.62 1185.94 112.316 427.05 481.277 349.183 1.96498 67.6598 67.1018 67.1018 0.557959 0.796244 1.08256 0.33288 0.0325915 427.05 481.277 349.183 1.96498 0.574607 28.3343
0.397975 0.388322 0.86849 0.0399485 0.0926752 0.259099 0.0101472 0.00410632 56.5644 38.8675 445.809 238.901 320.377 432.719 432.719 1073.47 1185.82 112.342 426.867 481.135 349.107 1.96725 67.6171 67.0585 67.0585 0.558605 0.79595 1.08264 0.332961 0.0326213 426.867 481.135 349.107 1.96725 0.574071 28.3431
0.397828 0.388121 0.868326 0.0399284 0.0926312 0.259072 0.0101547 0.00411147 56.6121 38.8962 445.814 238.971 320.319 432.686 432.686 1073.32 1185.69 112.367 426.685 480.993 349.03 1.96951 67.5744 67.0151 67.0151 0.559252 0.795656 1.08271 0.333042 0.0326512 426.685 480.993 349.03 1.96951 0.573535 28.3519
0.397681 0.387921 0.868162 0.0399084 0.0925871 0.259046 0.0101622 0.00411662 56.6598 38.9249 445.82 239.041 320.26 432.652 432.652 1073.17 1185.57 112.392 426.503 480.851 348.953 1.97178 67.5317 66.9718 66.9718 0.559899 0.795363 1.08279 0.333122 0.032681 426.503 480.851 348.953 1.97178 0.573001 28.3608
0.397535 0.38772 0.867998 0.0398884 0.0925431 0.259019 0.0101697 0.00412177 56.7076 38.9537 445.826 239.111 320.202 432.619 432.619 1073.02 1185.44 112.417 426.321 480.709 348.877 1.97405 67.489 66.9285 66.9284 0.560545 0.79507 1.08286 0.333203 0.0327108 426.321 480.709 348.877 1.97405 0.572466 28.3696
0.397388 0.387519 0.867834 0.0398683 0.0924991 0.258992 0.0101772 0.00412692 56.7554 38.9825 445.832 239.181 320.144 432.586 432.586 1072.87 1185.32 112.442 426.139 480.568 348.8 1.97631 67.4463 66.8851 66.8851 0.561192 0.794777 1.08294 0.333284 0.0327406 426.139 480.568 348.8 1.97631 0.571933 28.3784
0.397242 0.387318 0.86767 0.0398483 0.0924551 0.258965 0.0101847 0.00413207 56.8033 39.0114 445.838 239.252 320.085 432.552 432.552 1072.72 1185.19 112.467 425.957 480.426 348.723 1.97858 67.4037 66.8418 66.8418 0.561838 0.794484 1.08301 0.333364 0.0327703 425.957 480.426 348.723 1.97858 0.5714 28.3872
0.397096 0.387117 0.867506 0.0398282 0.0924112 0.258938 0.0101921 0.00413722 56.8513 39.0403 445.844 239.322 320.027 432.519 432.519 1072.57 1185.07 112.492 425.775 480.284 348.647 1.98084 67.361 66.7985 66.7985 0.562485 0.794191 1.08309 0.333445 0.0328001 425.775 480.284 348.647 1.98084 0.570867 28.396
0.396949 0.386917 0.867342 0.0398081 0.0923673 0.258912 0.0101996 0.00414237 56.8993 39.0692 445.849 239.392 319.969 432.486 432.486 1072.42 1184.94 112.517 425.593 480.142 348.57 1.98311 67.3184 66.7553 66.7552 0.563131 0.793899 1.08316 0.333525 0.0328299 425.593 480.142 348.57 1.98311 0.570335 28.4048
0.396803 0.386716 0.867177 0.039788 0.0923233 0.258885 0.0102071 0.00414751 56.9474 39.0982 445.855 239.462 319.911 432.452 432.452 1072.27 1184.82 112.542 425.412 480 348.493 1.98538 67.2758 66.712 66.712 0.563778 0.793607 1.08323 0.333606 0.0328596 425.412 480 348.493 1.98538 0.569804 28.4136
0.396657 0.386516 0.867013 0.0397679 0.0922795 0.258858 0.0102146 0.00415266 56.9956 39.1272 445.861 239.533 319.852 432.419 432.419 1072.12 1184.69 112.567 425.231 479.859 348.417 1.98764 67.2331 66.6687 66.6687 0.564424 0.793314 1.08331 0.333686 0.0328894 425.231 479.859 348.417 1.98764 0.569273 28.4224
0.396511 0.386315 0.866849 0.0397478 0.0922356 0.258831 0.010222 0.0041578 57.0438 39.1562 445.867 239.603 319.794 432.385 432.385 1071.97 1184.57 112.591 425.05 479.717 348.34 1.98991 67.1905 66.6255 66.6255 0.565071 0.793023 1.08338 0.333766 0.0329191 425.049 479.717 348.34 1.98991 0.568743 28.4312
0.396365 0.386115 0.866684 0.0397277 0.0921917 0.258804 0.0102295 0.00416295 57.0921 39.1853 445.873 239.674 319.736 432.352 432.352 1071.82 1184.44 112.616 424.869 479.575 348.263 1.99217 67.148 66.5822 66.5822 0.565717 0.792731 1.08345 0.333847 0.0329489 424.868 479.575 348.263 1.99217 0.568213 28.44
0.39622 0.385914 0.86652 0.0397076 0.0921479 0.258777 0.0102369 0.00416809 57.1405 39.2145 445.879 239.744 319.678 432.319 432.319 1071.67 1184.32 112.641 424.688 479.433 348.187 1.99444 67.1054 66.539 66.539 0.566364 0.79244 1.08352 0.333927 0.0329786 424.688 479.433 348.187 1.99444 0.567684 28.4488
