dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.390412 0.390823 0.825438 0.0134215 0.0954795 0.233334 0.00647777 0.00197526 58.416 41.4963 450.955 256.599 315.964 410.803 410.803 1042.73 1137.57 94.839 412.471 439.951 321.284 1.0327 51.7579 51.4628 51.4628 0.295143 0.780825 0.905666 0.301061 0.0204324 412.471 439.951 321.284 1.0327 0.75972 25.7513
0.390215 0.39058 0.825276 0.0134222 0.0954242 0.233311 0.00648499 0.00197931 58.474 41.5316 450.957 256.69 315.9 410.773 410.773 1042.57 1137.44 94.8732 412.237 439.812 321.202 1.03447 51.7172 51.4215 51.4215 0.295642 0.780431 0.905821 0.301163 0.02046 412.237 439.812 321.202 1.03447 0.758789 25.7616
0.390019 0.390337 0.825114 0.0134228 0.095369 0.233288 0.00649221 0.00198336 58.532 41.5669 450.96 256.781 315.835 410.742 410.742 1042.41 1137.32 94.9073 412.003 439.673 321.121 1.03625 51.6764 51.3803 51.3803 0.296142 0.780038 0.905976 0.301264 0.0204875 412.003 439.673 321.121 1.03625 0.757859 25.7719
0.389823 0.390094 0.824951 0.0134234 0.0953138 0.233265 0.00649942 0.00198742 58.5901 41.6023 450.962 256.872 315.771 410.712 410.712 1042.25 1137.19 94.9414 411.77 439.534 321.039 1.03803 51.6357 51.3391 51.3391 0.296641 0.779645 0.90613 0.301366 0.0205149 411.769 439.534 321.039 1.03803 0.756931 25.7821
0.389626 0.389851 0.824789 0.0134239 0.0952586 0.233241 0.00650662 0.00199147 58.6483 41.6377 450.964 256.963 315.706 410.682 410.682 1042.09 1137.07 94.9754 411.536 439.395 320.958 1.03981 51.595 51.2979 51.2978 0.297141 0.779253 0.906283 0.301467 0.0205424 411.536 439.395 320.958 1.03981 0.756004 25.7924
0.389431 0.389609 0.824626 0.0134245 0.0952034 0.233218 0.00651383 0.00199553 58.7066 41.6732 450.967 257.054 315.642 410.651 410.651 1041.94 1136.94 95.0094 411.303 439.255 320.877 1.04159 51.5543 51.2566 51.2566 0.297641 0.778861 0.906436 0.301568 0.0205699 411.303 439.255 320.877 1.04159 0.755079 25.8026
0.389235 0.389366 0.824463 0.013425 0.0951483 0.233195 0.00652103 0.00199959 58.765 41.7088 450.969 257.145 315.578 410.621 410.621 1041.78 1136.82 95.0433 411.071 439.116 320.795 1.04337 51.5136 51.2155 51.2155 0.298141 0.77847 0.906588 0.301669 0.0205974 411.071 439.116 320.795 1.04337 0.754156 25.8129
0.389039 0.389123 0.8243 0.0134255 0.0950932 0.233171 0.00652824 0.00200365 58.8235 41.7444 450.971 257.236 315.513 410.591 410.591 1041.62 1136.69 95.0773 410.839 438.977 320.714 1.04515 51.4729 51.1743 51.1743 0.298641 0.778079 0.90674 0.30177 0.0206249 410.839 438.977 320.714 1.04515 0.753234 25.8231
0.388844 0.388881 0.824137 0.013426 0.0950381 0.233148 0.00653544 0.00200771 58.8821 41.7801 450.974 257.328 315.449 410.56 410.56 1041.46 1136.57 95.1111 410.606 438.837 320.632 1.04693 51.4323 51.1331 51.1331 0.299141 0.777688 0.906891 0.301871 0.0206524 410.606 438.837 320.632 1.04693 0.752313 25.8333
0.388649 0.388638 0.823974 0.0134265 0.094983 0.233124 0.00654263 0.00201177 58.9407 41.8158 450.976 257.419 315.385 410.53 410.53 1041.3 1136.44 95.145 410.375 438.698 320.551 1.04871 51.3916 51.092 51.092 0.299642 0.777298 0.907042 0.301972 0.0206799 410.375 438.698 320.551 1.04871 0.751394 25.8436
