dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.417172 0.416577 0.880453 0.0332119 0.0995687 0.256423 0.00822317 0.00288274 51.0645 35.8882 446.86 233.252 327.284 431.953 431.953 1086.52 1191.19 104.669 449.519 488.941 352.835 1.43332 69.5018 69.0944 69.0944 0.407446 0.834344 1.02118 0.313391 0.025621 449.519 488.941 352.835 1.43332 0.699831 26.4755
0.416998 0.416357 0.880298 0.0332012 0.0995192 0.256402 0.00823098 0.00288764 51.1063 35.913 446.864 233.321 327.222 431.922 431.922 1086.37 1191.07 104.7 449.303 488.802 352.758 1.43545 69.4579 69.0499 69.0499 0.408044 0.833997 1.02133 0.313487 0.025651 449.303 488.802 352.758 1.43545 0.69911 26.4854
0.416825 0.416139 0.880143 0.0331904 0.0994699 0.25638 0.00823877 0.00289252 51.1481 35.9379 446.868 233.389 327.16 431.89 431.89 1086.21 1190.94 104.731 449.087 488.663 352.681 1.43757 69.4141 69.0055 69.0054 0.408642 0.833649 1.02148 0.313582 0.0256808 449.087 488.663 352.681 1.43757 0.698391 26.4953
0.416651 0.41592 0.879989 0.0331796 0.0994206 0.256358 0.00824656 0.00289741 51.19 35.9628 446.872 233.458 327.097 431.859 431.859 1086.05 1190.82 104.761 448.871 488.523 352.604 1.43969 69.3702 68.961 68.961 0.409241 0.833302 1.02162 0.313677 0.0257107 448.871 488.523 352.604 1.43969 0.697673 26.5052
0.416478 0.415701 0.879834 0.0331687 0.0993714 0.256336 0.00825435 0.0029023 51.232 35.9878 446.875 233.526 327.035 431.827 431.827 1085.9 1190.69 104.792 448.655 488.384 352.528 1.44181 69.3264 68.9166 68.9165 0.409839 0.832955 1.02177 0.313773 0.0257406 448.655 488.384 352.527 1.44181 0.696956 26.5151
0.416305 0.415483 0.879679 0.0331579 0.0993221 0.256314 0.00826214 0.00290719 51.274 36.0128 446.879 233.594 326.973 431.796 431.796 1085.74 1190.57 104.823 448.44 488.245 352.451 1.44393 69.2826 68.8722 68.8721 0.410437 0.832609 1.02191 0.313868 0.0257705 448.44 488.245 352.45 1.44393 0.69624 26.525
0.416132 0.415264 0.879524 0.033147 0.0992729 0.256293 0.00826992 0.00291208 51.316 36.0378 446.883 233.663 326.911 431.765 431.765 1085.59 1190.44 104.854 448.225 488.106 352.374 1.44605 69.2388 68.8277 68.8277 0.411036 0.832263 1.02206 0.313963 0.0258004 448.225 488.106 352.373 1.44605 0.695525 26.5348
0.415959 0.415046 0.879369 0.0331361 0.0992237 0.256271 0.00827771 0.00291697 51.3581 36.0628 446.886 233.732 326.849 431.733 431.733 1085.43 1190.32 104.885 448.01 487.967 352.297 1.44817 69.195 68.7833 68.7833 0.411635 0.831917 1.02221 0.314058 0.0258302 448.01 487.967 352.296 1.44817 0.694811 26.5447
0.415786 0.414828 0.879214 0.0331252 0.0991746 0.256249 0.00828549 0.00292186 51.4003 36.0879 446.89 233.8 326.786 431.702 431.702 1085.27 1190.19 104.915 447.795 487.827 352.22 1.45029 69.1512 68.739 68.7389 0.412234 0.831572 1.02235 0.314153 0.0258601 447.795 487.827 352.22 1.45029 0.694099 26.5545
0.415613 0.414609 0.879059 0.0331142 0.0991254 0.256227 0.00829326 0.00292676 51.4425 36.1131 446.894 233.869 326.724 431.67 431.67 1085.12 1190.07 104.946 447.581 487.688 352.143 1.45242 69.1074 68.6946 68.6946 0.412833 0.831227 1.02249 0.314248 0.02589 447.581 487.688 352.143 1.45242 0.693387 26.5644
0.415441 0.414391 0.878903 0.0331033 0.0990763 0.256205 0.00830104 0.00293165 51.4848 36.1382 446.898 233.938 326.662 431.639 431.639 1084.96 1189.94 104.977 447.366 487.549 352.066 1.45454 69.0637 68.6502 68.6502 0.413432 0.830882 1.02264 0.314343 0.0259198 447.366 487.549 352.066 1.45454 0.692676 26.5742
0.415269 0.414173 0.878748 0.0330923 0.0990273 0.256183 0.00830881 0.00293654 51.5271 36.1634 446.901 234.006 326.6 431.607 431.607 1084.81 1189.82 105.007 447.152 487.41 351.989 1.45666 69.0199 68.6059 68.6059 0.414031 0.830538 1.02278 0.314437 0.0259497 447.152 487.41 351.989 1.45666 0.691967 26.5841
0.415097 0.413955 0.878593 0.0330813 0.0989782 0.256161 0.00831658 0.00294144 51.5695 36.1886 446.905 234.075 326.538 431.576 431.576 1084.65 1189.69 105.038 446.939 487.271 351.912 1.45879 68.9762 68.5616 68.5615 0.41463 0.830193 1.02292 0.314532 0.0259795 446.938 487.271 351.912 1.45879 0.691258 26.5939
0.414925 0.413737 0.878437 0.0330702 0.0989292 0.256138 0.00832434 0.00294633 51.6119 36.2139 446.909 234.144 326.476 431.544 431.544 1084.5 1189.57 105.068 446.725 487.131 351.835 1.46091 68.9325 68.5172 68.5172 0.41523 0.82985 1.02307 0.314626 0.0260094 446.725 487.131 351.835 1.46091 0.690551 26.6037
0.414753 0.41352 0.878281 0.0330592 0.0988802 0.256116 0.00833211 0.00295123 51.6544 36.2392 446.913 234.213 326.414 431.513 431.513 1084.34 1189.44 105.099 446.512 486.992 351.758 1.46303 68.8887 68.4729 68.4729 0.41583 0.829506 1.02321 0.314721 0.0260392 446.512 486.992 351.758 1.46303 0.689844 26.6136
0.414582 0.413302 0.878126 0.0330481 0.0988312 0.256094 0.00833987 0.00295612 51.6969 36.2646 446.917 234.282 326.352 431.481 431.481 1084.19 1189.32 105.129 446.298 486.853 351.681 1.46516 68.8451 68.4286 68.4286 0.41643 0.829163 1.02335 0.314815 0.0260691 446.298 486.853 351.681 1.46516 0.689139 26.6234
0.41441 0.413084 0.87797 0.0330371 0.0987823 0.256072 0.00834763 0.00296102 51.7395 36.2899 446.92 234.351 326.29 431.45 431.45 1084.03 1189.19 105.16 446.086 486.714 351.604 1.46728 68.8014 68.3844 68.3843 0.41703 0.828821 1.02349 0.314909 0.0260989 446.085 486.714 351.604 1.46728 0.688434 26.6332
0.414239 0.412867 0.877814 0.033026 0.0987334 0.25605 0.00835538 0.00296592 51.7822 36.3153 446.924 234.42 326.228 431.418 431.418 1083.87 1189.07 105.19 445.873 486.575 351.527 1.46941 68.7577 68.3401 68.3401 0.41763 0.828478 1.02363 0.315003 0.0261288 445.873 486.575 351.527 1.46941 0.687731 26.643
0.414068 0.41265 0.877658 0.0330148 0.0986845 0.256027 0.00836313 0.00297082 51.8249 36.3408 446.928 234.489 326.166 431.387 431.387 1083.72 1188.94 105.221 445.66 486.435 351.45 1.47154 68.714 68.2958 68.2958 0.41823 0.828136 1.02377 0.315097 0.0261586 445.66 486.435 351.45 1.47154 0.687028 26.6528
0.413897 0.412432 0.877503 0.0330037 0.0986356 0.256005 0.00837088 0.00297571 51.8676 36.3663 446.932 234.558 326.104 431.355 431.355 1083.56 1188.82 105.251 445.448 486.296 351.373 1.47366 68.6704 68.2516 68.2516 0.41883 0.827794 1.02391 0.315191 0.0261884 445.448 486.296 351.373 1.47366 0.686327 26.6626
0.413727 0.412215 0.877347 0.0329926 0.0985868 0.255983 0.00837863 0.00298061 51.9104 36.3918 446.936 234.627 326.042 431.324 431.324 1083.41 1188.69 105.281 445.236 486.157 351.296 1.47579 68.6268 68.2073 68.2073 0.419431 0.827453 1.02405 0.315285 0.0262182 445.236 486.157 351.296 1.47579 0.685626 26.6723
0.413556 0.411998 0.87719 0.0329814 0.0985379 0.25596 0.00838638 0.00298551 51.9533 36.4173 446.939 234.696 325.981 431.292 431.292 1083.25 1188.57 105.312 445.024 486.018 351.219 1.47792 68.5832 68.1631 68.1631 0.420031 0.827112 1.02419 0.315379 0.0262481 445.024 486.018 351.219 1.47792 0.684927 26.6821
0.413386 0.411781 0.877034 0.0329702 0.0984892 0.255938 0.00839412 0.00299041 51.9962 36.4429 446.943 234.765 325.919 431.261 431.261 1083.1 1188.44 105.342 444.813 485.879 351.142 1.48004 68.5395 68.1189 68.1189 0.420632 0.826771 1.02433 0.315473 0.0262779 444.813 485.879 351.142 1.48004 0.684228 26.6919
0.413215 0.411564 0.876878 0.032959 0.0984404 0.255915 0.00840186 0.00299531 52.0392 36.4685 446.947 234.834 325.857 431.229 431.229 1082.94 1188.32 105.372 444.601 485.739 351.065 1.48217 68.496 68.0747 68.0747 0.421233 0.826431 1.02447 0.315566 0.0263077 444.601 485.739 351.065 1.48217 0.683531 26.7016
0.413045 0.411347 0.876722 0.0329477 0.0983916 0.255893 0.0084096 0.00300021 52.0822 36.4942 446.951 234.904 325.795 431.197 431.197 1082.79 1188.19 105.402 444.39 485.6 350.988 1.4843 68.4524 68.0305 68.0305 0.421834 0.826091 1.02461 0.31566 0.0263375 444.39 485.6 350.988 1.4843 0.682834 26.7114
0.412876 0.41113 0.876565 0.0329365 0.0983429 0.25587 0.00841733 0.00300512 52.1253 36.5199 446.955 234.973 325.733 431.166 431.166 1082.63 1188.07 105.432 444.179 485.461 350.911 1.48643 68.4088 67.9864 67.9864 0.422435 0.825751 1.02474 0.315753 0.0263673 444.179 485.461 350.911 1.48643 0.682139 26.7212
0.412706 0.410914 0.876409 0.0329252 0.0982942 0.255848 0.00842506 0.00301002 52.1684 36.5456 446.959 235.042 325.672 431.134 431.134 1082.48 1187.94 105.463 443.969 485.322 350.834 1.48855 68.3652 67.9422 67.9422 0.423036 0.825411 1.02488 0.315847 0.0263971 443.968 485.322 350.834 1.48855 0.681444 26.7309
0.412536 0.410697 0.876252 0.0329139 0.0982456 0.255825 0.00843279 0.00301492 52.2116 36.5714 446.962 235.112 325.61 431.103 431.103 1082.32 1187.82 105.493 443.758 485.183 350.757 1.49068 68.3217 67.8981 67.8981 0.423638 0.825072 1.02502 0.31594 0.0264269 443.758 485.183 350.757 1.49068 0.680751 26.7406
0.412367 0.41048 0.876096 0.0329026 0.0981969 0.255803 0.00844052 0.00301982 52.2549 36.5972 446.966 235.181 325.548 431.071 431.071 1082.17 1187.69 105.523 443.548 485.043 350.68 1.49281 68.2782 67.8539 67.8539 0.424239 0.824733 1.02515 0.316033 0.0264567 443.548 485.043 350.68 1.49281 0.680058 26.7504
0.412198 0.410264 0.875939 0.0328913 0.0981483 0.25578 0.00844824 0.00302473 52.2982 36.623 446.97 235.251 325.487 431.039 431.039 1082.01 1187.57 105.553 443.338 484.904 350.603 1.49494 68.2347 67.8098 67.8098 0.424841 0.824395 1.02529 0.316126 0.0264865 443.338 484.904 350.603 1.49494 0.679367 26.7601
0.412028 0.410048 0.875782 0.03288 0.0980998 0.255757 0.00845596 0.00302963 52.3415 36.6489 446.974 235.32 325.425 431.008 431.008 1081.86 1187.44 105.583 443.128 484.765 350.526 1.49707 68.1911 67.7657 67.7657 0.425443 0.824057 1.02543 0.316219 0.0265163 443.128 484.765 350.526 1.49707 0.678676 26.7698
0.41186 0.409831 0.875626 0.0328686 0.0980512 0.255735 0.00846368 0.00303454 52.385 36.6748 446.978 235.39 325.363 430.976 430.976 1081.7 1187.32 105.613 442.918 484.626 350.449 1.4992 68.1477 67.7216 67.7216 0.426044 0.823719 1.02556 0.316312 0.026546 442.918 484.626 350.449 1.4992 0.677987 26.7795
0.411691 0.409615 0.875469 0.0328572 0.0980027 0.255712 0.0084714 0.00303944 52.4284 36.7007 446.982 235.459 325.302 430.944 430.944 1081.55 1187.19 105.643 442.709 484.486 350.372 1.50133 68.1042 67.6775 67.6775 0.426646 0.823381 1.02569 0.316405 0.0265758 442.709 484.486 350.372 1.50133 0.677298 26.7892
0.411522 0.409399 0.875312 0.0328458 0.0979541 0.255689 0.00847911 0.00304435 52.472 36.7267 446.986 235.529 325.24 430.912 430.912 1081.39 1187.07 105.672 442.5 484.347 350.295 1.50346 68.0607 67.6335 67.6335 0.427249 0.823044 1.02583 0.316498 0.0266056 442.499 484.347 350.295 1.50346 0.676611 26.7989
0.411354 0.409183 0.875155 0.0328344 0.0979057 0.255666 0.00848682 0.00304925 52.5155 36.7527 446.99 235.599 325.178 430.881 430.881 1081.24 1186.94 105.702 442.291 484.208 350.218 1.5056 68.0173 67.5894 67.5894 0.427851 0.822707 1.02596 0.31659 0.0266353 442.29 484.208 350.218 1.5056 0.675924 26.8086
0.411185 0.408967 0.874998 0.032823 0.0978572 0.255643 0.00849453 0.00305416 52.5592 36.7788 446.994 235.669 325.117 430.849 430.849 1081.08 1186.82 105.732 442.082 484.069 350.141 1.50773 67.9738 67.5454 67.5453 0.428453 0.82237 1.0261 0.316683 0.0266651 442.082 484.069 350.141 1.50773 0.675238 26.8183
0.411017 0.408751 0.874841 0.0328115 0.0978088 0.255621 0.00850223 0.00305906 52.6029 36.8049 446.997 235.738 325.055 430.817 430.817 1080.93 1186.69 105.762 441.873 483.929 350.064 1.50986 67.9304 67.5013 67.5013 0.429056 0.822034 1.02623 0.316776 0.0266949 441.873 483.929 350.064 1.50986 0.674553 26.828
