dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl S Sq Sh Sl U Uq Uh Ul chi T
0.505043 0.506043 0.984709 0.207472 0.116486 0.307695 0.0111774 0.00471508 35.7906 25.3172 413.838 190.748 366.253 483.524 483.524 1216.03 1333.3 117.271 577.509 678.851 438.054 2.23157 124.498 123.865 123.865 0.633019 1.01008 1.44377 0.353401 0.0353061 577.509 678.851 438.054 2.23157 0.569873 28.3481
0.504859 0.505816 0.984596 0.207359 0.11643 0.307686 0.0111892 0.00472313 35.8125 25.3291 413.861 190.789 366.183 483.496 483.496 1215.86 1333.17 117.313 577.254 678.662 437.976 2.2351 124.444 123.811 123.81 0.634026 1.00972 1.44393 0.35349 0.0353483 577.254 678.662 437.975 2.2351 0.569384 28.3576
0.504675 0.50559 0.984482 0.207245 0.116374 0.307676 0.0112011 0.00473116 35.8345 25.341 413.883 190.831 366.113 483.468 483.468 1215.69 1333.05 117.355 576.999 678.474 437.898 2.23862 124.391 123.756 123.756 0.635029 1.00935 1.44408 0.353578 0.0353903 576.998 678.474 437.897 2.23862 0.568894 28.367
0.504492 0.505364 0.984368 0.207131 0.116319 0.307666 0.0112129 0.00473919 35.8565 25.3529 413.905 190.873 366.043 483.441 483.441 1215.53 1332.92 117.397 576.744 678.285 437.82 2.24214 124.337 123.701 123.701 0.636034 1.00898 1.44423 0.353667 0.0354324 576.743 678.285 437.819 2.24214 0.568405 28.3765
0.504308 0.505138 0.984255 0.207017 0.116264 0.307656 0.0112247 0.00474722 35.8785 25.3649 413.928 190.915 365.974 483.413 483.413 1215.36 1332.8 117.439 576.489 678.097 437.742 2.24567 124.284 123.647 123.647 0.637038 1.00862 1.44439 0.353755 0.0354744 576.489 678.097 437.742 2.24567 0.567916 28.3859
0.504125 0.504912 0.984141 0.206903 0.116208 0.307647 0.0112365 0.00475526 35.9005 25.3768 413.95 190.957 365.904 483.385 483.385 1215.19 1332.67 117.481 576.235 677.908 437.664 2.24919 124.23 123.592 123.592 0.638043 1.00825 1.44454 0.353843 0.0355164 576.234 677.908 437.664 2.24919 0.567428 28.3953
0.503942 0.504686 0.984027 0.206789 0.116153 0.307637 0.0112484 0.00476329 35.9225 25.3887 413.972 190.999 365.835 483.358 483.358 1215.03 1332.55 117.523 575.981 677.719 437.587 2.25272 124.177 123.538 123.538 0.639048 1.00788 1.44469 0.353932 0.0355585 575.98 677.719 437.586 2.25272 0.566941 28.4047
0.50376 0.50446 0.983913 0.206675 0.116098 0.307627 0.0112602 0.00477133 35.9445 25.4007 413.995 191.04 365.765 483.33 483.33 1214.86 1332.42 117.565 575.727 677.531 437.509 2.25625 124.123 123.483 123.483 0.640054 1.00752 1.44484 0.35402 0.0356005 575.726 677.531 437.508 2.25625 0.566454 28.4142
0.503577 0.504235 0.983799 0.206561 0.116042 0.307617 0.011272 0.00477936 35.9666 25.4127 414.017 191.082 365.695 483.302 483.302 1214.69 1332.3 117.607 575.473 677.343 437.431 2.25978 124.07 123.429 123.429 0.64106 1.00715 1.44499 0.354108 0.0356425 575.473 677.343 437.43 2.25978 0.565968 28.4236
0.503395 0.504009 0.983684 0.206447 0.115987 0.307607 0.0112838 0.0047874 35.9887 25.4247 414.04 191.124 365.626 483.275 483.275 1214.53 1332.17 117.649 575.22 677.154 437.353 2.26331 124.016 123.374 123.374 0.642066 1.00679 1.44514 0.354196 0.0356845 575.22 677.154 437.353 2.26331 0.565483 28.433
0.503213 0.503784 0.98357 0.206332 0.115932 0.307597 0.0112956 0.00479544 36.0108 25.4366 414.062 191.166 365.556 483.247 483.247 1214.36 1332.05 117.69 574.967 676.966 437.276 2.26684 123.963 123.32 123.32 0.643072 1.00642 1.44529 0.354284 0.0357266 574.967 676.966 437.275 2.26684 0.564998 28.4424
0.503031 0.503559 0.983456 0.206218 0.115877 0.307587 0.0113074 0.00480348 36.0329 25.4487 414.084 191.208 365.487 483.219 483.219 1214.19 1331.92 117.732 574.714 676.777 437.198 2.27037 123.91 123.265 123.265 0.644079 1.00606 1.44543 0.354372 0.0357686 574.714 676.777 437.197 2.27037 0.564514 28.4518
0.502849 0.503334 0.983341 0.206104 0.115822 0.307577 0.0113192 0.00481152 36.055 25.4607 414.107 191.25 365.418 483.191 483.191 1214.03 1331.8 117.774 574.462 676.589 437.12 2.2739 123.856 123.211 123.211 0.645087 1.0057 1.44558 0.35446 0.0358106 574.461 676.589 437.119 2.2739 0.564031 28.4612
0.502667 0.50311 0.983227 0.20599 0.115767 0.307567 0.011331 0.00481957 36.0772 25.4727 414.129 191.292 365.348 483.163 483.163 1213.86 1331.67 117.815 574.21 676.401 437.042 2.27744 123.803 123.157 123.157 0.646094 1.00533 1.44573 0.354548 0.0358526 574.209 676.401 437.042 2.27744 0.563548 28.4706
0.502486 0.502885 0.983112 0.205876 0.115712 0.307557 0.0113428 0.00482761 36.0993 25.4848 414.151 191.334 365.279 483.136 483.136 1213.69 1331.55 117.857 573.958 676.212 436.965 2.28097 123.749 123.102 123.102 0.647102 1.00497 1.44588 0.354636 0.0358946 573.957 676.212 436.964 2.28097 0.563065 28.48
0.502305 0.502661 0.982998 0.205762 0.115657 0.307547 0.0113546 0.00483566 36.1215 25.4968 414.174 191.376 365.21 483.108 483.108 1213.53 1331.42 117.898 573.706 676.024 436.887 2.28451 123.696 123.048 123.048 0.64811 1.00461 1.44603 0.354723 0.0359367 573.706 676.024 436.886 2.28451 0.562584 28.4894
0.502124 0.502436 0.982883 0.205648 0.115602 0.307536 0.0113664 0.00484371 36.1437 25.5089 414.196 191.418 365.14 483.08 483.08 1213.36 1331.3 117.94 573.455 675.836 436.809 2.28804 123.643 122.994 122.993 0.649119 1.00425 1.44617 0.354811 0.0359787 573.455 675.836 436.809 2.28804 0.562103 28.4988
0.501943 0.502212 0.982768 0.205534 0.115547 0.307526 0.0113782 0.00485176 36.1659 25.521 414.219 191.46 365.071 483.052 483.052 1213.19 1331.17 117.981 573.204 675.648 436.732 2.29158 123.589 122.939 122.939 0.650128 1.00389 1.44632 0.354899 0.0360207 573.203 675.648 436.731 2.29158 0.561622 28.5082
0.501762 0.501988 0.982654 0.20542 0.115493 0.307516 0.01139 0.00485981 36.1882 25.533 414.241 191.502 365.002 483.024 483.024 1213.03 1331.05 118.022 572.953 675.459 436.654 2.29512 123.536 122.885 122.885 0.651137 1.00352 1.44646 0.354986 0.0360627 572.953 675.459 436.653 2.29512 0.561143 28.5176
0.501582 0.501764 0.982539 0.205306 0.115438 0.307506 0.0114018 0.00486786 36.2104 25.5452 414.263 191.544 364.933 482.996 482.996 1212.86 1330.92 118.063 572.702 675.271 436.576 2.29866 123.483 122.831 122.83 0.652147 1.00316 1.44661 0.355074 0.0361047 572.702 675.271 436.576 2.29866 0.560663 28.5269
0.501402 0.501541 0.982424 0.205192 0.115383 0.307495 0.0114135 0.00487591 36.2327 25.5573 414.286 191.586 364.864 482.968 482.968 1212.7 1330.8 118.105 572.452 675.083 436.499 2.3022 123.429 122.776 122.776 0.653157 1.0028 1.44676 0.355161 0.0361467 572.452 675.083 436.498 2.3022 0.560185 28.5363
0.501221 0.501317 0.982309 0.205077 0.115329 0.307485 0.0114253 0.00488397 36.255 25.5694 414.308 191.628 364.794 482.94 482.94 1212.53 1330.67 118.146 572.202 674.895 436.421 2.30574 123.376 122.722 122.722 0.654167 1.00244 1.4469 0.355249 0.0361887 572.202 674.895 436.42 2.30574 0.559707 28.5457
0.501041 0.501094 0.982194 0.204963 0.115274 0.307474 0.0114371 0.00489202 36.2773 25.5815 414.331 191.67 364.725 482.912 482.912 1212.36 1330.55 118.187 571.953 674.707 436.343 2.30928 123.323 122.668 122.668 0.655177 1.00208 1.44704 0.355336 0.0362307 571.952 674.707 436.343 2.30928 0.55923 28.555
0.500862 0.50087 0.982078 0.204849 0.11522 0.307464 0.0114489 0.00490008 36.2996 25.5937 414.353 191.712 364.656 482.884 482.884 1212.2 1330.42 118.228 571.703 674.519 436.266 2.31282 123.27 122.613 122.613 0.656188 1.00172 1.44719 0.355423 0.0362727 571.703 674.519 436.265 2.31282 0.558753 28.5644
0.500682 0.500647 0.981963 0.204735 0.115165 0.307453 0.0114606 0.00490814 36.322 25.6058 414.375 191.754 364.587 482.856 482.856 1212.03 1330.3 118.269 571.454 674.331 436.188 2.31637 123.216 122.559 122.559 0.6572 1.00136 1.44733 0.355511 0.0363147 571.454 674.331 436.188 2.31637 0.558277 28.5738
0.500503 0.500424 0.981848 0.204621 0.115111 0.307442 0.0114724 0.00491619 36.3443 25.618 414.398 191.796 364.518 482.828 482.828 1211.86 1330.17 118.31 571.205 674.143 436.11 2.31991 123.163 122.505 122.505 0.658211 1.00101 1.44747 0.355598 0.0363567 571.205 674.143 436.11 2.31991 0.557802 28.5831
0.500324 0.500201 0.981732 0.204507 0.115056 0.307432 0.0114841 0.00492425 36.3667 25.6302 414.42 191.838 364.449 482.8 482.8 1211.7 1330.05 118.351 570.957 673.955 436.033 2.32346 123.11 122.451 122.451 0.659223 1.00065 1.44762 0.355685 0.0363987 570.956 673.955 436.032 2.32346 0.557327 28.5925
0.500145 0.499979 0.981617 0.204392 0.115002 0.307421 0.0114959 0.00493232 36.3891 25.6424 414.443 191.881 364.38 482.772 482.772 1211.53 1329.92 118.392 570.708 673.767 435.955 2.327 123.057 122.397 122.397 0.660235 1.00029 1.44776 0.355772 0.0364407 570.708 673.767 435.955 2.327 0.556852 28.6018
0.499966 0.499756 0.981501 0.204278 0.114947 0.30741 0.0115076 0.00494038 36.4115 25.6546 414.465 191.923 364.311 482.744 482.744 1211.37 1329.8 118.433 570.46 673.579 435.878 2.33055 123.004 122.342 122.342 0.661248 0.999931 1.4479 0.355859 0.0364827 570.46 673.579 435.877 2.33055 0.556379 28.6112
0.499787 0.499534 0.981386 0.204164 0.114893 0.3074 0.0115194 0.00494844 36.4339 25.6668 414.487 191.965 364.243 482.716 482.716 1211.2 1329.67 118.474 570.212 673.391 435.8 2.3341 122.951 122.288 122.288 0.662261 0.999574 1.44804 0.355946 0.0365246 570.212 673.391 435.8 2.3341 0.555906 28.6205
0.499609 0.499312 0.98127 0.20405 0.114839 0.307389 0.0115311 0.00495651 36.4564 25.6791 414.51 192.007 364.174 482.688 482.688 1211.04 1329.55 118.514 569.965 673.203 435.723 2.33765 122.897 122.234 122.234 0.663274 0.999217 1.44818 0.356033 0.0365666 569.965 673.203 435.722 2.33765 0.555433 28.6299
0.49943 0.49909 0.981154 0.203936 0.114785 0.307378 0.0115429 0.00496457 36.4788 25.6913 414.532 192.049 364.105 482.66 482.66 1210.87 1329.42 118.555 569.718 673.015 435.645 2.3412 122.844 122.18 122.18 0.664287 0.99886 1.44833 0.35612 0.0366086 569.717 673.015 435.645 2.3412 0.554961 28.6392
0.499252 0.498868 0.981039 0.203821 0.114731 0.307367 0.0115546 0.00497264 36.5013 25.7036 414.555 192.091 364.036 482.632 482.632 1210.7 1329.3 118.596 569.471 672.828 435.568 2.34475 122.791 122.126 122.126 0.665301 0.998504 1.44847 0.356207 0.0366506 569.47 672.828 435.567 2.34475 0.55449 28.6485
0.499074 0.498646 0.980923 0.203707 0.114677 0.307356 0.0115664 0.00498071 36.5238 25.7159 414.577 192.134 363.967 482.604 482.604 1210.54 1329.17 118.637 569.224 672.64 435.49 2.3483 122.738 122.072 122.072 0.666315 0.998148 1.44861 0.356293 0.0366926 569.224 672.64 435.489 2.3483 0.55402 28.6579
0.498897 0.498424 0.980807 0.203593 0.114623 0.307345 0.0115781 0.00498877 36.5463 25.7282 414.6 192.176 363.899 482.576 482.576 1210.37 1329.05 118.677 568.978 672.452 435.413 2.35186 122.685 122.018 122.018 0.667329 0.997793 1.44874 0.35638 0.0367345 568.977 672.452 435.412 2.35186 0.55355 28.6672
0.498719 0.498203 0.980691 0.203479 0.114569 0.307334 0.0115898 0.00499684 36.5689 25.7404 414.622 192.218 363.83 482.548 482.548 1210.21 1328.92 118.718 568.731 672.264 435.335 2.35541 122.632 121.964 121.964 0.668344 0.997438 1.44888 0.356467 0.0367765 568.731 672.264 435.334 2.35541 0.55308 28.6765
0.498542 0.497981 0.980575 0.203365 0.114515 0.307323 0.0116016 0.00500491 36.5914 25.7528 414.644 192.26 363.761 482.519 482.519 1210.04 1328.8 118.758 568.485 672.077 435.258 2.35896 122.579 121.91 121.91 0.669359 0.997083 1.44902 0.356553 0.0368185 568.485 672.077 435.257 2.35896 0.552611 28.6858
0.498364 0.49776 0.980459 0.20325 0.114461 0.307312 0.0116133 0.00501299 36.614 25.7651 414.667 192.303 363.693 482.491 482.491 1209.88 1328.67 118.799 568.24 671.889 435.18 2.36252 122.526 121.856 121.856 0.670374 0.996728 1.44916 0.35664 0.0368604 568.24 671.889 435.179 2.36252 0.552143 28.6952
0.498187 0.497539 0.980342 0.203136 0.114407 0.307301 0.011625 0.00502106 36.6366 25.7774 414.689 192.345 363.624 482.463 482.463 1209.71 1328.55 118.839 567.994 671.701 435.103 2.36607 122.473 121.802 121.802 0.67139 0.996374 1.4493 0.356726 0.0369024 567.994 671.701 435.102 2.36607 0.551675 28.7045
0.49801 0.497318 0.980226 0.203022 0.114353 0.30729 0.0116367 0.00502913 36.6592 25.7898 414.712 192.387 363.555 482.435 482.435 1209.55 1328.42 118.879 567.749 671.514 435.025 2.36963 122.42 121.748 121.748 0.672406 0.99602 1.44944 0.356813 0.0369443 567.749 671.514 435.025 2.36963 0.551208 28.7138
